Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1408A-2H-6-A,342,U1408,A,2,2-6,H,6,A,0,42,11.8,12.22,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 6/3 (light brown),,,,heavy_339 [DB91],5,,"Abundant black flecks, presumably Mn oxides. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-2H-6-A,342,U1408,A,2,2-6,H,6,A,42,59,12.22,12.39,clayey [Leg339],silt [Leg339],,clayey  silt ,2.5Y 6/6 (moderate gamboge),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   silt ,silt ,,,,,,
342-U1408A-2H-6-A,342,U1408,A,2,2-6,H,6,A,59,93,12.39,12.73,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 7/3 (pale yellow),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1408A-2H-7-A,342,U1408,A,2,2-7,H,7,A,0,76,12.81,13.57,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 7/3 (pale yellow),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1408A-2H-CC-A,342,U1408,A,2,2-CC,H,CC,A,0,25,13.57,13.82,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 7/3 (pale yellow),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1408A-3H-1-A,342,U1408,A,3,3-1,H,1,A,0,150,13.8,15.3,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,2.5Y 7/2 (light gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,
342-U1408A-3H-2-A,342,U1408,A,3,3-2,H,2,A,0,150,15.3,16.8,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,2.5Y 7/2 (light gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,
342-U1408A-3H-3-A,342,U1408,A,3,3-3,H,3,A,0,150,16.8,18.3,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,2.5Y 6/2 (light brownish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,
342-U1408A-3H-4-A,342,U1408,A,3,3-4,H,4,A,0,150,18.3,19.8,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,10YR 5/3 (brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,
342-U1408A-3H-5-A,342,U1408,A,3,3-5,H,5,A,0,150,19.8,21.3,nannofossil [Leg339],clay [Leg339],with silt [Leg339],nannofossil  clay  with silt ,10YR 5/3 (brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay   with silt ,,,,,,
342-U1408A-3H-6-A,342,U1408,A,3,3-6,H,6,A,0,92,21.3,22.22,nannofossil [Leg339],clay [Leg339],with silt [Leg339],nannofossil  clay  with silt ,10YR 5/3 (brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay   with silt ,,,,,,
342-U1408A-3H-7-A,342,U1408,A,3,3-7,H,7,A,0,81,22.3,23.11,nannofossil [Leg339],clay [Leg339],with silt [Leg339],nannofossil  clay  with silt ,10Y 5/1 (greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay   with silt ,,,,,,
342-U1408A-3H-CC-A,342,U1408,A,3,3-CC,H,CC,A,0,20,23.11,23.31,nannofossil [Leg339],clay [Leg339],with silt [Leg339],nannofossil  clay  with silt ,10Y 5/1 (greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay   with silt ,,,,,,
342-U1408A-4H-1-A,342,U1408,A,4,4-1,H,1,A,78,150,24.08,24.8,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 5/1 (greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-4H-2-A,342,U1408,A,4,4-2,H,2,A,0,150,24.8,26.3,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 5/1 (greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-4H-3-A,342,U1408,A,4,4-3,H,3,A,0,150,26.3,27.8,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,10Y 6/1 (greenish gray),,,,heavy_339 [DB91],5,,Large (2cm) rusty Mn bleb at 140cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-4H-4-A,342,U1408,A,4,4-4,H,4,A,0,150,27.8,29.3,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,10Y 6/1 (greenish gray),,,,heavy_339 [DB91],5,,"Prominent layer of green (5G 5/1) at 35 cm. Many more, smaller green layers below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-4H-5-A,342,U1408,A,4,4-5,H,5,A,0,15,29.3,29.45,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,10Y 6/1 (greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-4H-5-A,342,U1408,A,4,4-5,H,5,A,15,70,29.45,30,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,2.5Y 6/4 (light yellowish brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-4H-5-A,342,U1408,A,4,4-5,H,5,A,70,142,30,30.72,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,10Y 6/1 (greenish gray),,,,heavy_339 [DB91],5,,Many green (5G 5/1) layers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-4H-6-A,342,U1408,A,4,4-6,H,6,A,0,63,30.81,31.44,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,10Y 6/1 (greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-4H-CC-A,342,U1408,A,4,4-CC,H,CC,A,0,29,31.44,31.73,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,10Y 6/1 (greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-5H-1-A,342,U1408,A,5,5-1,H,1,A,0,150,32.8,34.3,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-5H-2-A,342,U1408,A,5,5-2,H,2,A,0,63,34.3,34.93,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,microfault at 37cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-5H-2-A,342,U1408,A,5,5-2,H,2,A,63,75,34.93,35.05,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10Y 7/1 (light greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1408A-5H-2-A,342,U1408,A,5,5-2,H,2,A,75,150,35.05,35.8,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-5H-3-A,342,U1408,A,5,5-3,H,3,A,0,75,35.8,36.55,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-5H-3-A,342,U1408,A,5,5-3,H,3,A,75,110,36.55,36.9,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-5H-3-A,342,U1408,A,5,5-3,H,3,A,110,150,36.9,37.3,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-5H-4-A,342,U1408,A,5,5-4,H,4,A,0,30,37.3,37.6,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,microfault at 5cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-5H-4-A,342,U1408,A,5,5-4,H,4,A,30,40,37.6,37.7,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5GY 8/1 (light greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1408A-5H-4-A,342,U1408,A,5,5-4,H,4,A,40,150,37.7,38.8,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-5H-5-A,342,U1408,A,5,5-5,H,5,A,0,150,38.8,40.3,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-5H-6-A,342,U1408,A,5,5-6,H,6,A,0,39,40.3,40.69,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-5H-6-A,342,U1408,A,5,5-6,H,6,A,39,68,40.69,40.98,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5GY 7/1 (light greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1408A-5H-6-A,342,U1408,A,5,5-6,H,6,A,68,87,40.98,41.17,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-5H-7-A,342,U1408,A,5,5-7,H,7,A,0,69,41.3,41.99,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-5H-CC-A,342,U1408,A,5,5-CC,H,CC,A,0,10,41.99,42.09,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-6H-1-A,342,U1408,A,6,6-1,H,1,A,0,140,42.3,43.7,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-6H-1-A,342,U1408,A,6,6-1,H,1,A,140,150,43.7,43.8,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1408A-6H-2-A,342,U1408,A,6,6-2,H,2,A,0,150,43.8,45.3,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-6H-3-A,342,U1408,A,6,6-3,H,3,A,0,80,45.3,46.1,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-6H-3-A,342,U1408,A,6,6-3,H,3,A,80,100,46.1,46.3,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1408A-6H-3-A,342,U1408,A,6,6-3,H,3,A,100,150,46.3,46.8,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-6H-4-A,342,U1408,A,6,6-4,H,4,A,0,20,46.8,47,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-6H-4-A,342,U1408,A,6,6-4,H,4,A,20,62,47,47.42,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5GY 7/1 (light greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1408A-6H-4-A,342,U1408,A,6,6-4,H,4,A,62,140,47.42,48.2,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-6H-4-A,342,U1408,A,6,6-4,H,4,A,140,150,48.2,48.3,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1408A-6H-5-A,342,U1408,A,6,6-5,H,5,A,0,59,48.3,48.89,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-6H-5-A,342,U1408,A,6,6-5,H,5,A,59,89,48.89,49.19,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1408A-6H-5-A,342,U1408,A,6,6-5,H,5,A,89,150,49.19,49.8,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-6H-6-A,342,U1408,A,6,6-6,H,6,A,0,45,49.8,50.25,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1408A-6H-6-A,342,U1408,A,6,6-6,H,6,A,45,92,50.25,50.72,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-6H-7-A,342,U1408,A,6,6-7,H,7,A,0,35,50.8,51.15,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-6H-7-A,342,U1408,A,6,6-7,H,7,A,35,66,51.15,51.46,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-6H-CC-A,342,U1408,A,6,6-CC,H,CC,A,0,21,51.46,51.67,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5GY 7/1 (light greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1408A-7H-3-A,342,U1408,A,7,7-3,H,3,A,37,82,55.17,55.62,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,10Y 6/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-7H-3-A,342,U1408,A,7,7-3,H,3,A,82,121,55.62,56.01,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-7H-3-A,342,U1408,A,7,7-3,H,3,A,121,150,56.01,56.3,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5GY 8/1 (light greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1408A-7H-4-A,342,U1408,A,7,7-4,H,4,A,0,40,56.3,56.7,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1408A-7H-4-A,342,U1408,A,7,7-4,H,4,A,40,60,56.7,56.9,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5GY 8/1 (light greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1408A-7H-4-A,342,U1408,A,7,7-4,H,4,A,60,114,56.9,57.44,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
