Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data
359-U1471D-2H-1-A,0,150,1,2.5,planktic foraminifer rich,Packstone,3,planktic foraminifer rich Packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,otoliths,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE Fine grained, light brownish gray. Planktic foraminifera are abundant. Benthic foraminifera, otolith, mollusk fragments, otoliths are common.",,,
359-U1471D-2H-2-A,0,150,2.5,4,planktic foraminifer rich,Packstone,3,planktic foraminifer rich Packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,otoliths,,,,,,,,complete,6,,,,"Planktic foraminifera-rich Packstone Fine grained, light brownish gray. Planktic foraminifera are abundant. Benthic foraminifera, otolith, mollusk fragments, otoliths are common.",,,
359-U1471D-2H-3-A,0,150,4,5.5,planktic foraminifer rich,Packstone,3,planktic foraminifer rich Packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,"Planktic foraminifera-rich Packstone Fine grained, light brownish gray. Planktic foraminifera are abundant. Benthic foraminifera. Mottling",,,
359-U1471D-2H-4-A,0,150,5.5,7,planktic foraminifer rich,Packstone,3,planktic foraminifer rich Packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE Fine grained, light brownish gray. Planktic foraminifera are abundant. Benthic foraminifera.",,,
359-U1471D-2H-5-A,0,150,7,8.5,planktic foraminifer rich,Packstone,3,planktic foraminifer rich Packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE Fine grained, light brownish gray. Planktic foraminifera are abundant. Benthic foraminifera.",,,
359-U1471D-2H-6-A,0,150,8.5,10,planktic foraminifer rich,Packstone,3,planktic foraminifer rich Packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE Fine grained, light brownish gray. Planktic foraminifera are abundant. Benthic foraminifera.",,,
359-U1471D-2H-7-A,0,74,10,10.74,planktic foraminifer rich,Packstone,3,planktic foraminifer rich Packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE Fine grained, light brownish gray. Planktic foraminifera are abundant. Benthic foraminifera.",,,
359-U1471D-2H-CC-A,0,13,1,1.13,planktic foraminifer rich,Packstone,3,planktic foraminifer rich Packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE Fine grained, light brownish gray. Planktic foraminifera are abundant. Benthic foraminifera.",,,
359-U1471D-3H-1-A,0,150,10.5,12,planktic foraminifer rich,Packstone,3,planktic foraminifer rich Packstone,unlithified,1,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE medium-grained, light brownish gray. Planktic foraminifera are abundant. Benthic foraminifera.",,,
359-U1471D-3H-2-A,0,150,12,13.5,planktic foraminifer rich,Packstone,3,planktic foraminifer rich Packstone,unlithified,1,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE medium-grained, light brownish gray. Planktic foraminifera are abundant. Benthic foraminifera.",,,
