Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
363-U1486C-1H-1-A,0,5,0.0,0.05,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10YR 6/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,1,H,1,A
363-U1486C-1H-1-A,5,53,0.05,0.53,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10YR 6/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,1,H,1,A
363-U1486C-1H-1-A,53,57,0.53,0.57,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,1,H,1,A
363-U1486C-1H-1-A,57,145,0.57,1.45,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,1,H,1,A
363-U1486C-1H-1-A,145,150,1.45,1.5,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,1,H,1,A
363-U1486C-1H-2-A,0,150,1.5,3.0,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,1,H,2,A
363-U1486C-1H-3-A,0,150,3.0,4.5,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,1,H,3,A
363-U1486C-1H-4-A,0,15,4.5,4.65,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,1,H,4,A
363-U1486C-1H-4-A,15,20,4.65,4.7,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,1,H,4,A
363-U1486C-1H-4-A,20,150,4.7,6.0,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,1,H,4,A
363-U1486C-1H-5-A,0,115,6.0,7.15,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,1,H,5,A
363-U1486C-1H-CC-A,0,18,7.15,7.33,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,1,H,CC,A
363-U1486C-2H-1-A,0,28,7.3,7.58,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,1,A
363-U1486C-2H-1-A,28,55,7.58,7.85,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,1,A
363-U1486C-2H-1-A,55,150,7.85,8.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,1,A
363-U1486C-2H-2-A,0,27,8.8,9.07,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,2,A
363-U1486C-2H-2-A,27,150,9.07,10.3,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,2,A
363-U1486C-2H-3-A,0,150,10.3,11.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,3,A
363-U1486C-2H-4-A,0,40,11.8,12.2,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,4,A
363-U1486C-2H-4-A,40,100,12.2,12.8,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,4,A
363-U1486C-2H-4-A,100,135,12.8,13.15,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,4,A
363-U1486C-2H-4-A,135,141,13.15,13.21,,ash(tuff) [MMK88m],ash(tuff),,5YR 4/2 (dark reddish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1486,C,2,H,4,A
