Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Zone name,Age,Preservation,Nannofossil abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 μm),Calcidiscus macintyrei,Gephyrocapsa (> 5.5 μm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Clausicoccus fenestratus,Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus (> 7 μm),Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,Small Gephyrocapsa (< 4 μm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle-like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Zone name (short)
320-U1336A-1H-1-W 110/110-NANNO,320,U1336,A,1,1-1,H,1,W,110/110-NANNO,0,0,1.1,1.1,PB - v rare coronocyclus and premac.,NN6,middle Miocene,P [320_N],A [320_Ng],,,,,,,,F,C,R,R,,R,,,,,,,,,R,,C,,,,,,,,,,,,,,,,,,,C,,F,,,,,,,,A,R,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,C,,,,,R,,,,,,,,,,F,,,,,,,,,,,
320-U1336A-1H-3-W 110/110-NANNO,320,U1336,A,1,1-3,H,3,W,110/110-NANNO,0,0,4.1,4.1,PB - coronocyclus and rare premacintyrei,NN6,middle Miocene,M [320_N],A [320_Ng],,,,,,,,C,F,R,C,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,C,,F,,,,,,,,C,R,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,R,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,C,,,A,A,,,,R,,,,R,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,D,C,,,
320-U1336A-1H-5-W 110/110-NANNO,320,U1336,A,1,1-5,H,5,W,110/110-NANNO,0,0,7.1,7.1,"PB - coronocyclus, premacintyrei present; no heteromorphus",NN6,middle Miocene,M [320_N],A [320_Ng],,,,,,,,F,,F,C,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,C,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,R,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,A,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,C,C,,,
320-U1336A-1H-CC-PAL-NANNO,320,U1336,A,1,1-CC,H,CC,PAL,NANNO,0,0,8.19,8.19,"TDJ - coronocyclus, premacintyrei present; no heteromorphus",NN6,middle Miocene,M [320_N],A [320_Ng],,,,,,,,C,,F,C,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,C,,,C,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,F,,,,,,,R,F,,,
320-U1336A-2H-2-W 80/80-NANNO,320,U1336,A,2,2-2,H,2,W,80/80-NANNO,0,0,10.3,10.3,"PB - coronocyclus, premacintyrei present; no heteromorphus",NN6,middle Miocene,M [320_N],A [320_Ng],,,,,,,,F,,F,C,,F,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,C,,F,,,,,,,,A,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,F,,,F,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,A,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,C,C,,,
320-U1336A-2H-4-W 80/80-NANNO,320,U1336,A,2,2-4,H,4,W,80/80-NANNO,0,0,13.3,13.3,"PB - coronocyclus, premacintyrei present; no heteromorphus",NN6,middle Miocene,M [320_N],A [320_Ng],,,,,,,,R,,F,C,,C,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,C,,F,,,,,,,,A,R,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,R,R,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,C,F,,,,,,,C,C,,,
320-U1336A-2H-6-W 80/80-NANNO,320,U1336,A,2,2-6,H,6,W,80/80-NANNO,0,0,16.3,16.3,"PB - coronocyclus, premacintyrei present; no heteromorphus",NN6,middle Miocene,M [320_N],A [320_Ng],,,,,,,,F,C,F,C,,F,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,A,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,F,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,R,F,,,,,,,C,C,,,
320-U1336A-2H-CC-PAL-NANNO,320,U1336,A,2,2-CC,H,CC,PAL,NANNO,0,0,17.68,17.68,TDJ - rare-frequent floridanus; no heteromorphous,NN6,middle Miocene,M [320_N],A [320_Ng],,,,,,,,R,C,F,C,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,F,,,
320-U1336A-3H-2-W 90/90-NANNO,320,U1336,A,3,3-2,H,2,W,90/90-NANNO,0,0,19.9,19.9,"PB - heteromorphous, premacintyrei present",NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,F,,A,F,F,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,C,R,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,,,,,,,,,,,,C,,,,,F,,,,,,,,,,,,,,,,,C,C,,,
320-U1336A-3H-4-W 90/90-NANNO,320,U1336,A,3,3-4,H,4,W,90/90-NANNO,0,0,22.9,22.9,"PB - heteromorphous, premacintyrei present",NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,A,F,A,F,C,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,C,,,,,,,,,,,,,,A,,,,F,,,,,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,,,,,,,C,C,,,
