Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
363-U1482A-1H-2-W 50/50-NANNO,0,0,2.0,2.0,NN21 [M71],AGSF - common Gephyrocapsa size is 4 to 5 microns; Ceratolithus cristatus HET coccolithomoprha present; Thoracosphaera fragments present - Braarudosphaera pentalith present (fragment),G [P33],A [A22],A,C,F,C,,,,,,,,,,,P,,R,,F,,,,R,R,R,,,,,,,,,,,,,F,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,1,H,2,W
363-U1482A-1H-CC-PAL-NANNO,0,5,2.93,2.98,NN21 [M71],TDJ - VG preservation need to add category,G [P41],A [A112],A,A,,A,,,,,,,,,,,,,F,,F,,,,F,,,,,,,,,,,,,,,R,P,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,363,U1482,A,1,H,CC,P
363-U1482A-2H-2-W 75/75-NANNO,0,0,5.15,5.15,,AGSF - Common Gephyrocapsa 3-4 microns in length - abundant; Pontosphaera sp. - Pontosphaera plana - Ceratolithus cristatus (including hoop-like coccoliths); B. bigelowii coccosphere,G [P33],D [A22],A,C,F,A,,,,,,,,,,,,,F,,C,,,P,R,R,P,,,,,,P,,R,P,,,,R,R,R,,F,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,363,U1482,A,2,H,2,W
363-U1482A-2H-5-W 75/75-NANNO,0,0,9.65,9.65,,AGSF - P lacunosa present; Gephyrocapsa 4-5 um common; Gephyrocapsa <4 um also common; Reworked Discoaster pentaradiatus and W. barnesiae and Sphenolithus; Ceratolithus hoop like coccoliths,G [P33],A [A22],A,,F,A,C,F,,,,,,,,,,,F,,F,,,,F,F,,,,,,,P,,,,,,,R,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,2,H,5,W
363-U1482A-2H-CC-PAL-NANNO,0,5,12.7,12.75,NN21 [M71],TDJ - VG pres; small Gephyro with low angle bar <3um; Ceratolithus cristatus HET coccolithomorpha type,G [P41],A [A112],A,A,,A,,,,,,,,,,,,,,,F,,,,C,,,,,,,,,,,,,,,F,P,,,F,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,2,H,CC,P
363-U1482A-3H-2-W 75/75-NANNO,0,0,14.65,14.65,,AGSF - abundant to very abundant small Gephyrocapsa spp.; possible Reticulofenestra asanoi; Scyphosphaera sp.; Gephyrocapsa sp 4 to 5 microns also common to abundant; Pontosphaera plana; Ceratolithus hoop like coccoliths; NOTE: P lacunosa not observed in the sample LB -Above Ac G.caribbenica,G [P33],D [A22],A,,A,A,C,,,P,,,,,,,P,,F,,F,,,,F,R,,,,,,,P,,,,,,,R,,,,R,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,3,H,2,W
363-U1482A-3H-4-W 75/75-NANNO,0,0,17.65,17.65,,"AGSF - Ceratolithus telesmus - 2; Thoracosphaera; Gephyrocapsa size disrtibution: a. Gephyrocapsa 4 to 5 um - C to A, b. Gephyrocapsa < 4 um - C to A, c. small Gephyrocapsa spp, - A to VA; Note: in terms of the abundance of the 2 larger Gephyrocapsa, it seems that they are almost equal in abundance; Helicosphaera sp.; Rewoked taxa - Prediscosphaera and Watzanaueria; encountered 1 P. lacunosa LB-In Ac G.caribbeanica",G [P33],D [A22],A,,A,A,C,P,,,,,,,,,,,R,,F,,,,F,P,,,,,,,P,,,,,,,R,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,3,H,4,W
363-U1482A-3H-6-W 75/75-NANNO,0,0,20.65,20.65,,"AGSF - Reworked taxa: R. pseudoumbilicus, Discoaster spp., Watznaueria; Ceratolithus hoop like coccoliths; Thoracosphaera fragments; Gephyrocapsa <4 and 4-5 um both present, but the former is more common than the latter",G [P33],D [A22],A,,A,A,C,,,,,,,,,,,,F,,F,,,,F,P,,,,,,,P,,,P,,,,R,P,,,R,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,3,H,6,W
363-U1482A-3H-CC-PAL-NANNO,0,5,22.12,22.17,NN21 [M71],TDJ - E. hux present; C. cristatus holo hoop; coccospheres present,VG [P33],D [A22],V,A,,A,C,,,,,,,,,,,,F,,A,,,,C,R,,,,,,,,,,,,,,F,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,3,H,CC,P
363-U1482A-4H-2-W 75/75-NANNO,0,0,24.15,24.15,,"AGSF - The sample contains rounded P. lacunosa specimens rare to few; Reworked taxa: Discoasters, Sphenolithus; Pontosphaera plana; Holodiscolithus macroporus; with occurrene of G. parallela (~5.5 um) - these are large Gephyrocapsa sp with large central area spanned by almost horizontal bridge/bar - few to common In the sample; Gephyrocapsa <4 microns, although there are significant numbers of large (>5 um) Gephyrocapsa; small Gephyrocapsa also common in occurence LB-No E.huxleyi",G [P33],D [A22],A,,C,A,C,F,,,,,,,,,,,F,,C,,,,F,,,,,,,,P,P,,,,,,R,,,P,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,4,H,2,W
