Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Comments,Arkhangelskiella cymbiformis,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia brasiliensis,Ceratolithus cristatus,Chiasmolithus solitus,Chiasmolithus spp.,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus (w/bar),Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Discoaster barbadiensis,Discoaster braarudii,Discoaster brouweri,Discoaster deflandrei,Discoaster exilis,Discoaster kuepperi,Discoaster loeblichii,Discoaster moorei,Discoaster pentaradiatus,Discoaster saipanensis,Discoaster spp.,Discoaster spp. (five-rayed),Discoaster triradiatus,Discoaster variabilis,Gephyrocapsa sp. 3,Gephyrocapsa spp. (medium 4-5.5 microns),Gephyrocapsa spp. (small <3.5 microns),Girgisia gammation,Helicosphaera carteri,Helicosphaera hyalina,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera seminulum,Helicosphaera stalis,Helicosphaera wallichii,Isthmolithus recurvus,Markalius inversus,Neococcolithes spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera pulchra,Pontosphaera spp.,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra bisecta,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra perplexa,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 um),Reticulofenestra pseudoumbilicus (5-7 um),Reticulofenestra reticulata,Reticulofenestra rotaria,Reticulofenestra stavensis,Reticulofenestra umbilicus,Rhabdosphaera clavigera,Scyphosphaera lagena,Scyphosphaera spp.,Scyphosphaera ventriosa,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus spp.,Syracosphaera pulchra,Toweius eminens,Toweius occultatus,Tribrachiatus absidatus,Tribrachiatus orthostylus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
375-U1519C-2R-CC-PAL-NANNO,0,5,111.69,111.74,M/P,C,,,,F,,,F,,,,*,*,,C,F,,*,*,,,,*,*,,,,,*,,,,*,,,F,,F,,,,R,,,,,,,,,R,,,,,*,*,F,,,R,,,*,,,*,,,,,,*,,*,,,F,,,,,F,,,,,375,U1519,C,2,R,CC,PAL,NANNO,,
375-U1519C-3R-CC-PAL-NANNO,0,5,116.08,116.13,M/P,C,,,,F,,,R,,,,,,,,,,*,,,,,,,,,,,,,,,*,,R,F,,,R,*,,,,,,,,,,,R,,,,,,*,,,,,,*,*,,,*,,R,,,,*,,,*,,,,,,*,,,,,,375,U1519,C,3,R,CC,PAL,NANNO,,
375-U1519C-5R-CC-PAL-NANNO,0,5,135.93,135.98,M/P,C,,,,F,*,,R,,,*,,*,,C,F,,,*,*,,*,,,,,,,,,,,,,,C,,F,,*,,R,,,,,,,R,,F,,,,,*,*,C,C,,R,F,*,*,,,*,,R,,,,*,,*,,,R,,,,,F,,,,,375,U1519,C,5,R,CC,PAL,NANNO,,
375-U1519C-9R-CC-PAL-NANNO,0,10,256.76,256.86,M/P,C,,,,R,*,*,F,,,*,*,,*,C,,,,*,,,*,*,*,,,,,,,,,*,,,F,,F,R,*,,F,,,,,,,,,R,,,,,*,*,,,,,,*,,,,*,*,,*,,,*,,*,,,R,,,,,R,,,,,375,U1519,C,9,R,CC,PAL,NANNO,,
375-U1519C-11R-CC-PAL-NANNO,0,10,272.46,272.56,M/P,C,,,R,F,,*,R,R,,,,,*,C,F,,,*,,,,,,,,,,,,,,*,,,F,,F,R,*,,,,,,,,,,R,F,,,,,,*,,,,,F,*,*,,,*,*,R,,,,*,,,*,,,,,,,R,,,,,375,U1519,C,11,R,CC,PAL,NANNO,,
375-U1519C-15R-CC-PAL-NANNO,0,9,536.32,536.41,M/P,C,,,,F,*,,F,,,,*,,,C,F,,*,*,,,,*,,,,,,,,,,,,,,,F,F,,,,,,,,,,F,F,,,,C,C,*,,,,,,,,*,,,*,*,F,,,,,,,,,,,,,,F,,,,,375,U1519,C,15,R,CC,PAL,NANNO,,
375-U1519C-17R-CC-PAL-NANNO,0,10,553.37,553.47,M/P,C,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,17,R,CC,PAL,NANNO,,
375-U1519C-19R-CC-PAL-NANNO,0,10,574.93,575.03,M/P,C,,,,F,,,,,,,,,,,R,,,,,,,*,,,,,,,*,,,,,,,,F,F,,,,,,,,,,F,,,,,,,,,,,,F,,*,,,,*,*,,,,,*,,,,,,,,,,,R,,,,375,U1519,C,19,R,CC,PAL,NANNO,,
375-U1519C-20R-CC-PAL-NANNO,0,10,580.38,580.48,M/P,C,,,,F,,,R,,,,,,,F,F,,,,,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,375,U1519,C,20,R,CC,PAL,NANNO,,
375-U1519C-21R-CC-PAL-NANNO,0,12,591.56,591.68,M/P,C,,,,,*,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,21,R,CC,PAL,NANNO,,
375-U1519C-22R-CC-PAL-NANNO,0,10,602.98,603.08,M/P,C,,,,F,*,,R,,,,,,,C,F,,,*,,,,*,,,,,,,,,,,,F,,,F,F,,,F,,,,*,,,F,R,,,,F,,,*,,,,,,*,,,,*,,,,,,*,,,*,,,,,,*,,,,,,375,U1519,C,22,R,CC,PAL,NANNO,,
375-U1519C-24R-CC-PAL-NANNO,0,5,618.8,618.85,M/P,C,,,,R,*,,R,,,,,,,,,,,*,,,,,,,,,,,,,,,,F,,,,F,,,F,,,,,,,,R,R,,,F,,,,,,,,,*,,,,*,*,R,,,,,,,,,R,,,,,R,,,,,375,U1519,C,24,R,CC,PAL,NANNO,,
375-U1519C-26R-CC-PAL-NANNO,0,5,635.6,635.65,M/P,C,,,,F,,,R,,,,,,*,C,,,,*,,,,,,,,,,,*,,,,,C,,,F,,,,F,,,,,,,,,,,,R,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,26,R,CC,PAL,NANNO,,
