Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Zone,Age,Preservation,Nannofossil abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 μm),Calcidiscus macintyrei,Gephyrocapsa (> 5.5 μm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Clausicoccus fenestratus,Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus (> 7 μm),Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,Small Gephyrocapsa (< 4 μm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle-like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus
320-U1335B-11H-CC-PAL-NANNO,320,U1335,B,11,11-CC,H,CC,PAL,NANNO,0,0,98.97,98.97,"TDJ - coronocyclus, no heteromorphus, rare floridanus",NN6,middle Miocene,M [320_N],A [320_Ng],,,,,,,,,R,,F,,F,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,A,,,A,A,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,F,,
320-U1335B-12H-CC-PAL-NANNO,320,U1335,B,12,12-CC,H,CC,PAL,NANNO,0,0,108.08,108.08,TDJ - premacintyrei; no heteromorphus,NN6,middle Miocene,M [320_N],A [320_Ng],,,,,,,,,F,F,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,,,,,,,,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,C,,
320-U1335B-13H-CC-PAL-NANNO,320,U1335,B,13,13-CC,H,CC,PAL,NANNO,0,0,117.65,117.65,TDJ - heteromorphus,NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,C,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,C,,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,F,,
320-U1335B-14H-CC-PAL-NANNO,320,U1335,B,14,14-CC,H,CC,PAL,NANNO,0,0,127.01,127.01,"TDJ - heteromorphus, petaliformis",NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,C,,C,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,C,,,,,,,,,,,,,,C,,,,F,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,F,C,,
320-U1335B-15H-CC-PAL-NANNO,320,U1335,B,15,15-CC,H,CC,PAL,NANNO,0,0,136.78,136.78,"PB - heteromorphus, petaliformis",NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,A,C,C,R,C,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,A,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,
320-U1335B-16H-CC-PAL-NANNO,320,U1335,B,16,16-CC,H,CC,PAL,NANNO,0,0,146.17,146.17,"PB - heteromorphus, petaliformis",NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,A,C,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,A,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,,,C,,,
320-U1335B-17H-CC-PAL-NANNO,320,U1335,B,17,17-CC,H,CC,PAL,NANNO,0,0,155.64,155.64,"PB - heteromorphus, petaliformis",NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,C,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,A,F,,,,,,,,,,,,,C,,,,F,,,,,,,,,,,,,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,A,C,,
320-U1335B-18H-CC-PAL-NANNO,320,U1335,B,18,18-CC,H,CC,PAL,NANNO,0,0,164.78,164.78,"PB - heteromorphus, NO petaliformis",NN4,early Miocene,M [320_N],A [320_Ng],,,,,,,A,C,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,A,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,,,,,,,,,,,,,,,,,A,,,,,R,,,,,,,,,,,,,F,,
320-U1335B-19H-CC-PAL-NANNO,320,U1335,B,19,19-CC,H,CC,PAL,NANNO,0,0,174.81,174.81,"PB - heteromorphus, NO petaliformis",NN4,early Miocene,M [320_N],A [320_Ng],,,,,,,A,A,A,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,
320-U1335B-20H-CC-PAL-NANNO,320,U1335,B,20,20-CC,H,CC,PAL,NANNO,0,0,184.35,184.35,"PB - heteromorphus, NO petaliformis",NN4,early Miocene,M [320_N],A [320_Ng],,,,,,,C,A,A,,C,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,R,,,,,,,,C,C,,
320-U1335B-21H-CC-PAL-NANNO,320,U1335,B,21,21-CC,H,CC,PAL,NANNO,0,0,193.42,193.42,"PB - belemnos, carinatus",NN2,early Miocene,M [320_N],A [320_Ng],,,,,A,C,,A,A,,C,,R,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,A,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,R,,R,,,,,,,R,,
320-U1335B-22H-CC-PAL-NANNO,320,U1335,B,22,22-CC,H,CC,PAL,NANNO,0,0,202.81,202.81,"PB - belemnos, carinatus",NN2,early Miocene,M [320_N],A [320_Ng],,,,,C,C,,C,A,,C,,R,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,A,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,
320-U1335B-23H-CC-PAL-NANNO,320,U1335,B,23,23-CC,H,CC,PAL,NANNO,0,0,211.78,211.78,PB - disbelemnos,NN2,early Miocene,M [320_N],A [320_Ng],,,C,,,F,,C,C,,C,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,F,,,,,,,,R,,,,,,,,,,,F,,,,R,,,,,,,C,,,C,C,,,,,,,,,,,,,,,,R,,,,C,,,,,,,,,,,R,,,,,,C,C,,
320-U1335B-24H-CC-PAL-NANNO,320,U1335,B,24,24-CC,H,CC,PAL,NANNO,0,0,222.11,222.11,PB - disbelemnos,NN2,early Miocene,M [320_N],A [320_Ng],,,R,,,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,A,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335B-25H-CC-PAL-NANNO,320,U1335,B,25,25-CC,H,CC,PAL,NANNO,0,0,231.42,231.42,PB/TDJ - but no disbelemnos,NN2,early Miocene,M [320_N],A [320_Ng],,,R,,,C,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,C,,
320-U1335B-26H-CC-PAL-NANNO,320,U1335,B,26,26-CC,H,CC,PAL,NANNO,0,0,241.4,241.4,TDJ - but no disbelemnos,NN2,early Miocene,M [320_N],A [320_Ng],,,,,,F,,C,C,,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,C,,F,F,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,R,,,,,,F,F,,
320-U1335B-27H-CC-PAL-NANNO,320,U1335,B,27,27-CC,H,CC,PAL,NANNO,0,0,250.9,250.9,TDJ - but no disbelemnos,NN2,early Miocene,M [320_N],A [320_Ng],,,,,,F,,C,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,A,C,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,R,,,,,,,,F,C,,
320-U1335B-28H-CC-PAL-NANNO,320,U1335,B,28,28-CC,H,CC,PAL,NANNO,0,0,260.4,260.4,TDJ/PB - but no disbelemnos,NN2,early Miocene,M [320_N],A [320_Ng],,,,,,F,,C,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,
320-U1335B-29H-CC-PAL-NANNO,320,U1335,B,29,29-CC,H,CC,PAL,NANNO,0,0,269.69,269.69,TDJ - but no disbelemnos,NN2,early Miocene,M [320_N],A [320_Ng],,,,,,,,C,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,R,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,F,R,,,A,,,,,,,,,,,,,,,,,C,,,
320-U1335B-30H-CC-PAL-NANNO,320,U1335,B,30,30-CC,H,CC,PAL,NANNO,0,0,279.09,279.09,TDJ - disbelemnos,NN2,early Miocene,M [320_N],A [320_Ng],,,C,,,R,,C,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,R,,A,,,,,,,,,,,,,,,,,,,,,,R,A,,,,,,,,,F,,,,,,,,F,,,
320-U1335B-31H-CC-PAL-NANNO,320,U1335,B,31,31-CC,H,CC,PAL,NANNO,0,0,288.52,288.52,TDJ - disbelemnos,NN2,early Miocene,M [320_N],A [320_Ng],,,R,,,R,,C,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,R,,,,R,,,,,,,,,F,F,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,,,
320-U1335B-32H-CC-PAL-NANNO,320,U1335,B,32,32-CC,H,CC,PAL,NANNO,0,0,297.96,297.96,TDJ - disbelemnos,NN2,early Miocene,M [320_N],A [320_Ng],,,R,,,C,,C,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,R,,,,F,,,,,,,,C,,,
320-U1335B-33H-CC-PAL-NANNO,320,U1335,B,33,33-CC,H,CC,PAL,NANNO,0,0,307.87,307.87,TDJ - no disbelemnos,NN2,early Miocene,M [320_N],A [320_Ng],,,,,,F,,F,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,R,R,,,,,,,,R,,,,,,,,,,F,R,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,C,,,,,,,,C,,,
320-U1335B-34H-CC-PAL-NANNO,320,U1335,B,34,34-CC,H,CC,PAL,NANNO,0,0,316.95,316.95,PB - disbelemnos,NN2,early Miocene,M [320_N],A [320_Ng],,,R,,,F,,F,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,C,F,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,A,,,
