Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Comments,Arkhangelskiella cymbiformis,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia brasiliensis,Ceratolithus cristatus,Chiasmolithus solitus,Chiasmolithus spp.,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus (w/bar),Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Discoaster barbadiensis,Discoaster braarudii,Discoaster brouweri,Discoaster deflandrei,Discoaster exilis,Discoaster kuepperi,Discoaster loeblichii,Discoaster moorei,Discoaster pentaradiatus,Discoaster saipanensis,Discoaster spp.,Discoaster spp. (five-rayed),Discoaster triradiatus,Discoaster variabilis,Gephyrocapsa sp. 3,Gephyrocapsa spp. (medium 4-5.5 microns),Gephyrocapsa spp. (small <3.5 microns),Girgisia gammation,Helicosphaera carteri,Helicosphaera hyalina,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera seminulum,Helicosphaera stalis,Helicosphaera wallichii,Isthmolithus recurvus,Markalius inversus,Neococcolithes spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera pulchra,Pontosphaera spp.,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra bisecta,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra perplexa,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 um),Reticulofenestra pseudoumbilicus (5-7 um),Reticulofenestra reticulata,Reticulofenestra rotaria,Reticulofenestra stavensis,Reticulofenestra umbilicus,Rhabdosphaera clavigera,Scyphosphaera lagena,Scyphosphaera spp.,Scyphosphaera ventriosa,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus spp.,Syracosphaera pulchra,Toweius eminens,Toweius occultatus,Tribrachiatus absidatus,Tribrachiatus orthostylus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
375-U1520C-2R-CC-PAL-NANNO,0,5,647.7,647.75,M/P,C,,,,F,R,F,F,,,,,,,C,,,,,,R,,,F,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,375,U1520,C,2,R,CC,P
375-U1520C-3R-CC-PAL-NANNO,0,5,657.79,657.84,M/P,C,,,,,C,F,F,,,,,,,F,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,375,U1520,C,3,R,CC,P
375-U1520C-4R-CC-PAL-NANNO,0,5,667.94,667.99,M/P,C,,,,R,R,,R,,,,,,,F,,,,,,,,,R,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,*,C,C,,,F,R,C,C,,,,,,,,,,,,F,,,,,,,,,,,,375,U1520,C,4,R,CC,P
375-U1520C-5R-CC-PAL-NANNO,0,5,676.32,676.37,M/P,F,,,,F,F,,F,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,5,R,CC,P
375-U1520C-6R-CC-PAL-NANNO,0,5,685.85,685.9,M/P,C,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,,,,,,C,C,,,F,R,F,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,6,R,CC,P
375-U1520C-7R-CC-PAL-NANNO,0,5,693.05,693.1,M/P,F,,,,F,F,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,C,,,,,,,,,,,,,F,,,,,,,,,,,,375,U1520,C,7,R,CC,P
375-U1520C-8R-CC-PAL-NANNO,0,5,706.02,706.07,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,8,R,CC,P
375-U1520C-9R-CC-PAL-NANNO,0,5,713.69,713.74,M/P,F,,,,F,,,,,,,,,R,F,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,9,R,CC,P
375-U1520C-10R-CC-PAL-NANNO,0,5,726.98,727.03,M/P,C,,,,,,R,R,,,,,,,C,,,R,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,F,F,,,,,,,R,,,,,375,U1520,C,10,R,CC,P
375-U1520C-11R-2-A 69/69-NANNO,0,0,730.19,730.19,M/P,F,,,,R,,,R,,,,,,,F,,R,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,R,R,R,,,,,,R,,,,,375,U1520,C,11,R,2,A
375-U1520C-11R-4-A 105/105-NANNO,0,0,733.5,733.5,M/P,C,,,,,,,R,,,,,,,C,,,,C,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,R,R,F,F,,,*,,,,,,,,R,F,,,,,,,,,,,,375,U1520,C,11,R,4,A
375-U1520C-11R-5-A 66/66-NANNO,0,0,734.61,734.61,M/P,F,,,,,,,F,,,,,,,C,,R,R,C,,,,C,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,*,C,C,,F,R,,F,F,,,,,,,,,,,F,R,,,,,,,,,,,,375,U1520,C,11,R,5,A
375-U1520C-11R-CC-PAL-NANNO,0,5,737.38,737.43,M/P,C,,,,,,,R,,,,,,,C,,,R,C,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,C,,,,,,,,,,,,375,U1520,C,11,R,CC,P
375-U1520C-12R-CC-PAL-NANNO,0,7,746.82,746.89,M/P,C,,,,,,,,,,,,,R,C,,,,C,,,,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,*,,C,,,F,,,,,,*,,,,,,,,,F,,,,,,,,,,,,375,U1520,C,12,R,CC,P
375-U1520C-13R-1-W 46/46-NANNO,0,0,747.56,747.56,M/P,C,,,,R,,,,,,,,,R,C,,,,C,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,F,F,F,,,,,,,,,,,,,,C,,,,,,,,,,,,375,U1520,C,13,R,1,W
375-U1520C-13R-3-W 45/45-NANNO,0,0,750.55,750.55,M/P,C,,,,,,,,,,,,,,C,,,,C,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,C,,F,F,F,,,,,,,,,,,,,,F,F,,,,,,,,,,,375,U1520,C,13,R,3,W
375-U1520C-13R-5-W 97/97-NANNO,0,0,754.08,754.08,M/P,C,,,,,,,,,,,,,R,C,,,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,F,F,C,C,,,,,,,,,,,,,,F,,,,,,,,,,,,375,U1520,C,13,R,5,W
375-U1520C-13R-6-W 18/18-NANNO,0,0,754.79,754.79,M/P,C,,,,,,,,,,,,,R,C,,,F,C,,,,F,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,F,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,13,R,6,W
375-U1520C-13R-CC-PAL-NANNO,0,5,756.62,756.67,M/P,C,,,,F,,,,,,,,,,C,,,R,C,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,C,,,,,,,,,,,,375,U1520,C,13,R,CC,P
375-U1520C-14R-1-W 74/74-NANNO,0,0,757.44,757.44,M/P,C,,,,,,,,,,,,,,C,,,C,C,*,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,375,U1520,C,14,R,1,W
375-U1520C-14R-3-W 61/61-NANNO,0,0,760.31,760.31,M/P,C,,,,,,,,,,,,,,C,,,R,A,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,C,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,375,U1520,C,14,R,3,W
375-U1520C-14R-5-W 92/92-NANNO,0,0,763.34,763.34,M/P,F,,,,,,,,,,,R,,R,C,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,F,,,,,,,,,F,,,,,,,,,,,,375,U1520,C,14,R,5,W
375-U1520C-14R-6-A 99/99-NANNO,0,0,764.92,764.92,M/P,C,,,,R,,,,,,,,,R,C,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,F,F,F,,,,,R,,,,,,,,,F,,,,,,,,,,,,375,U1520,C,14,R,6,A
375-U1520C-14R-7-A 6/6-NANNO,0,0,765.34,765.34,M/P,A,,,,,,,,,,,,,R,C,,R,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,R,,,,,,,,,F,F,,,,,,,,,,,375,U1520,C,14,R,7,A
375-U1520C-14R-CC-PAL-NANNO,0,5,766.15,766.2,M/P,C,,,,,,,,,,,R,,,C,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,F,,,F,,,,,,,,,R,,,,,,,,F,,,,,,,,,,,,375,U1520,C,14,R,CC,P
375-U1520C-15R-3-W 101/101-NANNO,0,0,769.99,769.99,M/P,C,,,,,,,,,,,,,,C,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,375,U1520,C,15,R,3,W
375-U1520C-15R-4-W 112/112-NANNO,0,0,771.6,771.6,M/P,C,,,,,,,,,,,,,F,C,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,F,R,,,,,,,,,,,375,U1520,C,15,R,4,W
375-U1520C-15R-7-PAL-NANNO,0,4,775.17,775.21,M/P,C,,,,,,,,,,,,,,C,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,,,,,,,F,R,,,,,,,,,,,375,U1520,C,15,R,7,P
375-U1520C-16R-3-W 52/52-NANNO,0,0,779.33,779.33,M/P,C,,,,,,,,,,,F,F,,C,,,,,?,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,C,,,,,,,,F,,,,,,,,,,,,375,U1520,C,16,R,3,W
