Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data,Zone name
320-U1334A-22H-4-W 105/107,320,U1334,A,22,22-4,H,4,W,105/107,105,107,204.8,204.82,RP20,F,P,,,R,,,,-,,,,-,-,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1334A-22H-CC-PAL-RADS,320,U1334,A,22,22-CC,H,CC,PAL,RADS,0,0,206.86,206.86,RP20,F,P,,,R,,,,,R,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""EYED"" DIATOMS",,
320-U1334A-23X-2-W 98/100,320,U1334,A,23,23-2,X,2,W,98/100,98,100,210.36,210.38,RP20,F,P,,,R,,,,,R,,,,R,,-,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1334A-23X-4-W 98/100,320,U1334,A,23,23-4,X,4,W,98/100,98,100,213.36,213.38,RP20,C,M,,,R,,,,,R,,,,F,R,,R,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1334A-23X-CC-PAL-RADS,320,U1334,A,23,23-CC,X,CC,PAL,RADS,0,0,216.17,216.17,RP20,C,G,,,R,,,,,R,R,,,F,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,"ABUND ""EYED"" DIATOMS; ABUND SPINES",,
320-U1334A-24X-2-W,320,U1334,A,24,24-2,X,2,W,,105,107,217.05,217.07,RP20,C,G,,,R,,,,,R,,,,F,R,,F,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,"COMM ""EYED"" DIATOMS",,
320-U1334A-24X-4-W,320,U1334,A,24,24-4,X,4,W,,105,107,220.05,220.07,RP20,C,G,,,R,,,,,R,,,,C,R,R,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,"COMM ""EYED"" DIATOMS",,
320-U1334A-24X-CC-PAL-RADS,320,U1334,A,24,24-CC,X,CC,PAL,RADS,0,0,224.22,224.22,RP20,F,M,,,R,,,,,R,,,,C,,,R,,,,,VR?,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,"COMM ""EYED"" DIATOMS",,
320-U1334A-25X-2-W 105/107,320,U1334,A,25,25-2,X,2,W,105/107,105,107,227.7,227.72,RP20,C,M,,,R,,,,,R,,,,C,vR,,R,,,,R,,,,R,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,"COMM ""EYED"" DIATOMS",,
320-U1334A-25X-4-W 105/107,320,U1334,A,25,25-4,X,4,W,105/107,105,107,230.7,230.72,RP20,C,M,,,R,,,,,R,,,,C,,,R,,,,R,R,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,"COMM ""EYED"" DIATOMS",,
320-U1334A-25X-CC-PAL-RADS,320,U1334,A,25,25-CC,X,CC,PAL,RADS,0,0,233.79,233.79,RP20,F,M,,,R,,,,,R,,,,F,,,,,,,R,R,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,"COMM ""EYED"" DIATOMS+SIMPLE CENTRIC",,
320-U1334A-26X-2-W 104/106,320,U1334,A,26,26-2,X,2,W,104/106,104,106,237.18,237.2,RP20,C,M,,,R,,,,,R,,,,R,,,,,,,vR,R,,,F,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1334A-26X-4-W 104/106,320,U1334,A,26,26-4,X,4,W,104/106,104,106,240.18,240.2,RP20,C,M,,,R,,,,,R,,,,-,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,vR,,,,,,,,,,,,R,,,,,
320-U1334A-26X-CC-PAL-RADS,320,U1334,A,26,26-CC,X,CC,PAL,RADS,0,0,243.36,243.36,RP20,F,M,,,R,,,,,R,,,,R,,,,,,,,,,,C,R,,,R,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,R,,,"COMM ""EYED"" DIATOMS+SIMPLE CENTRIC",,
320-U1334A-27X-CC-PAL-RADS,320,U1334,A,27,27-CC,X,CC,PAL,RADS,0,0,250.74,250.74,RP19,F,P,3,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,R,R,R,R,R,R,R,R,,R,,,,,,vR,R,,,,,,,,,R,R,,,,,
320-U1334A-28X-2-W 126/127,320,U1334,A,28,28-2,X,2,W,126/127,126,127,256.82,256.83,RP19,F,P,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,R,,,,R,R,,R,,R,-,,,-,,-,,-,-,,-,,,,,,,,,,,
320-U1334A-28X-3-W 105/107,320,U1334,A,28,28-3,X,3,W,105/107,105,107,257.9,257.92,RP18,C,M,2,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,R,,R,R,R,R,,R,,R,R,,,F,,R,R,F,R,,R,,,,,R,R,,,,,
320-U1334A-28X-5-W 105/107,320,U1334,A,28,28-5,X,5,W,105/107,105,107,260.9,260.92,RP18,C,M,2,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,R,,R,R,R,R,,R,,R,F,,,F,,R,R,F,R,,R,,,,R,R,R,,,PORED LEG LOPHOCYRTIS,,
320-U1334A-28X-CC-PAL-RADS,320,U1334,A,28,28-CC,X,CC,PAL,RADS,0,0,262.62,262.62,RP18,C,P,2,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,,R,R,R,R,R,R,R,R,R,,R,R,,,R,,R,R,R,R,R,R,,,,,R,,vR,,,,
320-U1334A-29X-2-W,320,U1334,A,29,29-2,X,2,W,,50,52,263.85,263.87,RP18,F,P,,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,,R,R,,R,R,R,R,,,,R,R,,,R,,R,R,,R,,R,,,,,,,,,,,
320-U1334A-29X-4-W,320,U1334,A,29,29-4,X,4,W,,104,106,266.45,266.47,RP18,C,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,R,R,,R,R,,,R,R,R,,,,R,R,R,,R,,R,R,R,R,R,R,,,R,R,R,,R,R,,,
320-U1334A-29X-CC-PAL-RADS,320,U1334,A,29,29-CC,X,CC,PAL,RADS,0,0,272,272,RP17,C,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,F,R,,R,R,,,,R,R,,,,R,R,,,,,,R,,R,,R,,,,R,R,,F,R,,,
320-U1334A-30X-2-W 120/122,320,U1334,A,30,30-2,X,2,W,120/122,120,122,276,276.02,RP17,F,P,,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,,,R,,,,R,R,,,,R,R,,,,,,R,,,,F,,,,,R,,R,,,,
320-U1334A-30X-4-W 124/125,320,U1334,A,30,30-4,X,4,W,124/125,124,125,279.08,279.09,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-30X-CC-PAL-RADS,320,U1334,A,30,30-CC,X,CC,PAL,RADS,0,0,281.5,281.5,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-31X-1-W 90/92,320,U1334,A,31,31-1,X,1,W,90/92,90,92,283.6,283.62,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-31X-CC-PAL-RADS,320,U1334,A,31,31-CC,X,CC,PAL,RADS,0,0,283.89,283.89,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
