Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum group,Datum group code,Datum type,Datum region,Datum name generic,Datum author year,Datum validation comment,Datum status,Datum comment,Datum age minimum [Ma],Datum age average [Ma],Datum age maximum [Ma],Datum occurrence,Zone name (short),Zone name,Zone author (year),Zone group,Type (upper zone),Genus/species (upper zone),Type (lower zone),Genus/species lower zone),Zone status,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,General comment,Percentage of nannos in total assemblage [%],Diatoms and siliceous plankton comment,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus pacificanus,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus cristatus,Ceratolithus larrymayeri,Ceratolithus rugosus,Ceratolithus telesmus,Chiasmolithus altus,Chiasmolithus consuetus,Chiasmolithus eograndis,Chiasmolithus gigas,Chiasmolithus nitidus,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiasmolithus spp.,Clausicoccus obrutus,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cryptococcolithus mediaperforatus,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites bisectus,Dictyococcites bisectus (>10µm),Dictyococcites haqii,Dictyococcites hesslandii,Dictyococcites perplexus,Dictyococcites scrippsae,Dictyococcites spp. (<6 microns),Discoaster adamanteus,Discoaster anartios,Discoaster asymmetricus,Discoaster aulakos,Discoaster barbadiensis,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster binodosus,Discoaster blackstockae,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei,Discoaster diastypus,Discoaster druggii,Discoaster elegans,Discoaster exilis,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lenticularis,Discoaster lodoensis,Discoaster loeblichii,Discoaster mediosus,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster salisburgensis,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster tanii nodifer,Discoaster tanii ornatus,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Ellipsolithus macellus,Emiliania huxleyi,Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa (small <4 microns),Gephyrocapsa aperta,Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Girgisia gammation,Hayaster perplexus,Hayella situliformis,Helicopontosphaera hyalina,Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera inversa,Helicosphaera recta,Helicosphaera sellii,Helicosphaera sp.,Helicosphaera wallichii,Hughesius gizoensis,Isthmolithus recurvus,Markalius inversus,Minylitha convallis,Nannotetrina alata,Nannotetrina fulgens,Nannotetrina spp.,Neocrepidolithus spp.,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra bisecta,Reticulofenestra circus,Reticulofenestra dictyoda,Reticulofenestra erbae,Reticulofenestra gelida,Reticulofenestra hillae,Reticulofenestra lockeri,Reticulofenestra minuta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra reticulata,Reticulofenestra rotaria,Reticulofenestra samodurovii,Reticulofenestra spp. small,Reticulofenestra stavensis,Reticulofenestra umbilicus (>14um),Rhabdosphaera clavigera,Rhabdosphaera gladius,Rhabdosphaera inflata,Rhomboaster cuspis,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conspicuus,Sphenolithus delphix,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus editus,Sphenolithus furcatolithoides,Sphenolithus heteromorphus,Sphenolithus intercalaris,Sphenolithus moriformis,Sphenolithus predistentus,Sphenolithus pseudoradians,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus spp.,Syracosphaera pulchra,Tetralithoides symeonidesii,Thoracosphaera spp.,Toweius callosus,Toweius crassus,Toweius pertusus,Toweius spp.,Tranolithus orionatus,Tribrachiatus bramlettei,Tribrachiatus contortus,Tribrachiatus digitalis,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbellosphaera tenuis,Umbilicosphaera hulburtiana,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Zygrhablithus bijugatus,Chiasmolithus danicus,Sphenolithus moriformis ,Fasciculithus tympaniformis,Discoaster mohleri ,Heliolithus kleinpellii,Discoaster multiradiatus,Ericsonia robusta,Rhomboaster bramlettei,Fasciculithus spp.,Tribrachiatus orthostylus ,Discoaster sublodoensis ,Reticulofenestra umbilicus (>14um) ,Isthmolithus recurvus ,Chiasmolithus grandis,Chiasmolithus oamaruensis ,Discoaster saipanensis ,Sphenolithus distentus ,Sphenolithus predistentus ,Chiasmolithus bidens ,Chiasmolithus californicus ,Chiasmolithus consuetus ,Chiasmolithus expansus,Coronocyclus nitescens ,Cyclicargolithus abisectus (11 microns),Ellipsolithus distichus,Ericsonia robusta ,Ericsonia subpertusa ,Fasciculithus involutus ,Helicosphaera euphratis ,Helicosphaera reticulata ,Markalius inversus ,Reticulofenestra daviesii ,Reticulofenestra dictyoda  (10-14 microns),Sphenolithus pseudoradians ,File Data,Shore File Links
351-U1438B-1H-CC-PAL-NANNO,351,U1438,B,1,1-CC,H,CC,PAL,NANNO,0,7,7.19,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B [A94],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-CC-PAL-NANNO,351,U1438,B,2,2-CC,H,CC,PAL,NANNO,0,7,16.22,16.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B [A94],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-3H-CC-PAL-NANNO,351,U1438,B,3,3-CC,H,CC,PAL,NANNO,0,8,25.67,25.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B [A94],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-4H-CC-PAL-NANNO,351,U1438,B,4,4-CC,H,CC,PAL,NANNO,0,8,35.73,35.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B [A94],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-5H-CC-PAL-NANNO,351,U1438,B,5,5-CC,H,CC,PAL,NANNO,0,7,44.89,44.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B [A94],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-6H-CC-PAL-NANNO,351,U1438,B,6,6-CC,H,CC,PAL,NANNO,0,7,54.96,55.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B [A94],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-7H-CC-PAL-NANNO,351,U1438,B,7,7-CC,H,CC,PAL,NANNO,0,10,64.09,64.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B [A94],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-8H-3-PAL-NANNO,351,U1438,B,8,8-3,H,3,PAL,NANNO,0,10,68.58,68.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B [A94],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-9H-CC-PAL-NANNO,351,U1438,B,9,9-CC,H,CC,PAL,NANNO,0,10,83.59,83.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B [A94],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-10H-CC-PAL-NANNO,351,U1438,B,10,10-CC,H,CC,PAL,NANNO,0,10,91.12,91.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B [A94],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
