taxon_group,verbatim_name,name,Comment,Notes (change to Internal only notes?),Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,pbdb_taxon_id,Corrections to pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name,unranked clade_taxon_id,unranked clade_taxon_name
diatoms,Actinocyclus ingens nodus,,,,,,Actinocyclus,,,,ingens,,nodus,,,82146,,Actinocyclus,genus,71207,Hemidiscaceae,426780,Coscinodiscales,69587,Bacillariophyceae,432613,Ochrophyta,,,28595,Life
diatoms,Actinocyclus senarius,,,,,,Actinocyclus,,,,senarius,,,,,82146,,Actinocyclus,genus,71207,Hemidiscaceae,426780,Coscinodiscales,69587,Bacillariophyceae,432613,Ochrophyta,,,28595,Life
diatoms,Actinocyclus vulgaris,,,,,,Actinocyclus,,,,vulgaris,,,,,82146,,Actinocyclus,genus,71207,Hemidiscaceae,426780,Coscinodiscales,69587,Bacillariophyceae,432613,Ochrophyta,,,28595,Life
diatoms,Aulacoseira sp.,,,,,,Aulacoseira,,,,sp.,,,,,432983,,Aulacoseira,genus,427312,Aulacoseiraceae,426698,Aulacoseirales,69587,Bacillariophyceae,432613,Ochrophyta,,,28595,Life
dinoflagellates,Impagidinium spp.,,,,,,Impagidinium,,,,spp.,,,,,276906,,Impagidinium,genus,321603,Gonyaulacaceae,321606,Gonyaulacales,321578,Dinophyceae,,,,,,
nannofossils,Coccolithus streckeri,,,,,,Coccolithus,,,,streckeri,,,,,87684,,Coccolithus,genus,,,,,418920,Coccolithophyceae,87644,Haptophyta,,,28595,Life
nannofossils,Discoaster spp. (six-rayed),,,,,,Discoaster,,,,spp.,,,(six-rayed),,87682,,Discoaster,genus,,,,,418920,Coccolithophyceae,87644,Haptophyta,,,28595,Life
nannofossils,Reticulofenestra sp.,,,,,,Reticulofenestra,,,,sp.,,,,,255392,,Reticulofenestra,genus,,,,,,,87644,Haptophyta,,,28595,Life
planktic_forams,Globoconella explicationis,,,,,,Globoconella,,,,explicationis,,,,,103797,,Globoconella,genus,82192,Globorotaliidae,,,,,288974,Foraminifera,212476,Rhizaria,,
planktic_forams,Parasubbotina griffinae,,,,,,Parasubbotina,,,,griffinae,,,,,71238,,Parasubbotina,genus,82191,Globigerinidae,,,,,288974,Foraminifera,212476,Rhizaria,,
planktic_forams,Tenuitella sp.,,,,,,Tenuitella,,,,sp.,,,,,2652,,Tenuitella,genus,422373,Globigerinitidae,,,,,288974,Foraminifera,212476,Rhizaria,,
planktic_forams,Tenuitella spp.,,,,,,Tenuitella,,,,spp.,,,,,2652,,Tenuitella,genus,422373,Globigerinitidae,,,,,288974,Foraminifera,212476,Rhizaria,,
radiolarians,Dorcadospyris scambos,,,,,,Dorcadospyris,,,,scambos,,,,,505,,Dorcadospyris,genus,85756,Triospyrididae,402,Nassellaria,,,4,Radiolaria,212476,Rhizaria,,
silicoflagellates,Distephanus boliviensis,,,,,,Distephanus,,,,boliviensis,,,,,82180,,Distephanus,genus,69592,Dictyochaceae,69591,Phytomastigophora,69590,Chrysophyceae,,,,,28595,Life
