Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Valvulineria gunjii A	Uvigerina hispidocostata	Sphaeroidina bulloides	Reussella aculeata	Pullenia quinqueloba	Pseudoparrella  exigua	Pseudononion grateloupi	Patellinella sp.	Oridorsalis tener	Melonis parkerae	Melonis barleeanus	Lernella seranensis	Gyroidinoides nipponicus	Gyroidina altiformis	Globocassidulina subglobosa	Globocassidulina sp.	Globocassidulina moluccensis	Globocassidulina crassa	Globobulimina pupoides	Globobulimina pacifica	Evolvocassidulina brevis	Elphidium advena	Cibicidoides mediocris	Cibicides aknerianus	Chilostomella ovoidea	Cassidulina norvangi	Cassidulina carinata	Bulimina marginata	Bulimina aculeata	Brizalina seminuda	Brizalina alata	Bolivinita quadrilatera	Bolivina subspinescens	Bolivina subangularis leneata	Astrononion stelligerum	Uvigerina hispida	Trifarina bradyi	Tosaia hanzawai	Pyrgo murrhina	Pullenia bulloides	Oolina globosa	Oolina apiopleura	Gyroidinoides lamarckianus	Gyroidina orbicularis	Fissurina sp.	Fissurina marginata	Cibicides wuellerstorfi	Cibicides lobatulus	Bulimina ampliaperture	Brizalina pygmaea	Brizalina hantkeniana	Bolivinita compressa	Bolivina robusta	Uvigerina peregrina	Robulus gibbus	Rectobolivina raphana	Pseudononion sp.	Paracassidulina neocarinata	Oolina hexagona	Nonion depressulum	Melonis pacificus	Lagena sulcata spicata	Lagena sulcata laevicostata	Hoeglundina elegans	Gavelinopsis sp.	Fijiella simplex	Bulimina striata	Brizalina subreticulata	Bolivina subangularis	Amphicoryna scalaris	Virgulina pauciloculata	Uvigerina interrupta	Triloculina tricarinata	Trifarina occidentalis	Stilostomella sp.	Stainforthia exilis	Sigmoilopsis schlumbergeri	Saracenaria latifrons	Rutherfordoides cornuta	Rosalina globularis	Quinqueloculina sp.	Parrelloides bradyi	Paracassidulina quasicarinata	Oolina sp.	Miliolinella inflata	Miliolinella circularis	Lagena laevis	Lagena gracilis	Hauerina bradyi	Globocassidulina brocha	Cyclogyra involvens	Anomalinoides globulosus	Anomalinoides cavus	Amphistegina radiata	Vaginulinopsis tasmanica	Rosalina sp.	Quinqueloculina seminulum	Quinqueloculina lamarckiana	Paracassidulina sulcata	Nonion sp.	Gyroidina cushmani	Globocassidulina ornata	Favocassidulina favus	Elphidium simplex	Ceratobolivina pacifica	Bulimina fijiensis	Brizalina plicatella	Lagena elongata	Fursenkoina complanata	Dentalina spp.	Brizalina sp.	Sigmavirgulina tortuosa	Rotalia murrayi	Globocassidulina elegans	Gavelinopsis praegeri	Cibicides refulgens	Burseolina pacifica	Bulimina sp. cf. B. aculeata	Paracassidulina sp.	Fursenkoina sp.	Discorbis mira	Rectobolivina columellaris	Oridorsalis umbonatus	Nonionella sp.	Lagena substriata	Ammonia beccarii	Ammomassilina alveoliniformis	Allomorphina pacifica	Abditodentrix asketocomptella	Valvulineria sp.	Uvigerina proboscidea	Rosalina vilardeboana	Paracassidulina nipponiensis	Bolivinella elegans	Anomalinoides glabrata	Amphicoryna hirsuta	Spiroloculina communis	Nonionella labradorica	Articulina mayori	Triloculina trigonula	Lagena parri	Guttulina sp.	Globobulimina sp.	Elphidium sp.	Cibicides sp.	Spirillina sp.	Sorites marginalis	Pleurostomella alternans	Hanzawaia sp.	Fissurina kerguelenensis	Ehrenbergina sp.	Discorbinella subbertheloti	Cibicides robertsonianus	Astacolus crepidulus	Quinqueloculina vulgaris	Parafissurina subcarinata	Osangularia culter	Heterolepa sp.	Globocassidulina sp. cf. G. crassa	Globocassidulina sp. cf G. brocha	Globocassidulina oriangulata	Elphidium? sp.	Elphidium poeyanum	Chilostomella oolina	Bulimina rostrata	Spiroloculina sp.	Rutherfordoides tenuis	Ramulina globulifera	Quinqueloculina bicostata	Planorbulina mediterreansis	Parafissurina lateralis	Melonis sphaeroides	Lagena sp.	Baggina philippinensis	Oolina melo	Marginulina tenuis	Lamarckina scabra	Gyroidina neosoldanii	Gaudryina sp.	Astacolus insolitus	Quinqueloculina akneriana	Nonionella miocenica	Saracenaria italica	Nonionella japonica mexicana	Neoconorbina terquemi	Brizalina karreriana	Rectobolivina dimorpha pacifica	Ehrenbergina marwicki	Bolivina spinescens	Trochammina globigeriniformis	Thalmannammina parkerae	Textularia sp.	Stilostomella lepidula	Quinqueloculina costata	Pullenia salisburyi	Operculina ammonoides	Lagena pliocenica	Lagena hispidula	Haplophragmoides sp.	Glomospira gordialis	Globobulimina auriculata	Brizalina sp. cf. B. hantkeniana	Bolivina earlandi	Amphicoryna bradii    	Alveolophragmium subglobosum	Comment



  SR	                 	                 	                  	              	134	 827	A	  1	H	 1	  48.00	      0.4800	Akimoto  	Benthic Foraminifers                         	               	                  	11                   	2                       	6                     	                  	                    	1                     	3                      	                	11               	                	11                	1                  	5                       	1                   	1                          	                    	3                           	                       	                      	2                     	                        	3               	1                     	                    	                     	                    	3                   	1                 	1                	5                 	4              	2                      	1                     	4                            	2                      	                 	1               	               	              	                  	              	                 	                          	                     	1            	                   	                       	                   	1                     	2                	6                    	                    	3               	                   	3             	                     	                	1                          	               	                  	14               	                      	                           	                   	                	5               	                	                       	6                    	1                   	2                      	2                   	                       	1                     	                 	                   	                          	                     	11                     	1                  	                   	                   	                             	          	                    	                       	2            	2              	               	1                      	                   	4                       	                   	                    	                        	            	                         	                           	                       	          	1                 	                       	                     	                 	                       	                  	                    	               	2                     	1             	1            	                       	1              	                        	                     	1                  	                   	                            	                   	               	              	2                         	                     	              	                 	                	                             	3                    	                             	                	2                    	                     	                            	                   	                      	                   	                      	2                     	                 	                     	            	             	                 	             	             	              	                  	1                       	             	                        	2               	                           	1                       	3                   	                        	                         	                  	              	                                  	                                 	                            	              	                  	2                   	1                	                 	1                     	                    	                         	                           	                       	                   	          	                      	           	                  	                 	                     	             	                   	                         	1                   	                   	1                           	                     	6                   	                               	                     	                   	4                            	1                      	1             	2                     	1                      	1                  	1                    	1                	1               	1                   	1                   	1                       	4                               	1                	1                     	2                           	Miscellaneous carcareous foraminifers = 4 ; from ODP Leg 134 SR Chapter 12 Table 2 back pocket

  SR	                 	                 	                  	              	134	 827	A	  2	H	 1	  50.00	     10.3000	Akimoto  	Benthic Foraminifers                         	               	                  	11                   	                        	                      	                  	                    	1                     	                       	                	3                	1               	7                 	                   	7                       	                    	1                          	                    	1                           	2                      	2                     	3                     	                        	                	2                     	                    	                     	                    	                    	2                 	                 	2                 	2              	2                      	                      	5                            	1                      	                 	                	               	              	                  	              	                 	2                         	1                    	             	                   	                       	                   	4                     	2                	3                    	                    	                	                   	1             	                     	1               	4                          	               	                  	                 	                      	                           	                   	                	1               	                	1                      	                     	                    	5                      	                    	                       	                      	                 	1                  	                          	                     	7                      	                   	                   	                   	                             	          	                    	                       	             	               	               	                       	                   	5                       	                   	                    	                        	            	                         	1                          	                       	          	                  	                       	                     	                 	                       	                  	                    	               	                      	              	             	                       	               	                        	2                    	                   	                   	                            	                   	               	              	1                         	                     	              	                 	1               	                             	2                    	                             	                	                     	                     	                            	                   	2                     	                   	                      	4                     	                 	                     	            	             	                 	             	             	              	                  	                        	             	                        	                	1                          	                        	                    	                        	                         	                  	              	                                  	                                 	                            	              	                  	                    	                 	                 	                      	                    	                         	                           	                       	                   	          	                      	           	                  	                 	                     	             	                   	                         	                    	                   	                            	                     	6                   	1                              	1                    	1                  	                             	                       	              	                      	                       	                   	                     	                 	                	                    	                    	                        	                                	                 	                      	                            	Miscellaneous carcareous foraminifers = 5 ; from ODP Leg 134 SR Chapter 12 Table 2 back pocket

  SR	                 	                 	                  	              	134	 827	A	  3	H	 1	  51.00	     19.8100	Akimoto  	Benthic Foraminifers                         	               	                  	6                    	                        	1                     	                  	1                   	3                     	                       	                	3                	                	19                	1                  	8                       	                    	1                          	                    	1                           	2                      	                      	                      	                        	                	1                     	                    	                     	                    	                    	1                 	1                	2                 	1              	10                     	                      	13                           	5                      	                 	1               	               	              	                  	              	                 	6                         	                     	             	                   	                       	                   	1                     	1                	4                    	                    	                	                   	1             	                     	1               	3                          	1              	                  	4                	                      	                           	                   	                	1               	1               	                       	1                    	                    	                       	                    	                       	                      	                 	1                  	                          	1                    	                       	2                  	                   	                   	                             	          	                    	4                      	             	               	               	                       	                   	1                       	                   	                    	                        	            	                         	1                          	                       	          	                  	                       	                     	                 	                       	                  	                    	               	                      	1             	             	                       	               	                        	2                    	                   	                   	                            	                   	               	              	                          	                     	              	1                	                	                             	                     	                             	                	                     	                     	                            	                   	1                     	                   	                      	                      	                 	                     	            	             	                 	             	             	              	                  	                        	             	                        	                	1                          	                        	                    	                        	                         	                  	              	                                  	                                 	                            	              	                  	                    	2                	                 	                      	                    	                         	                           	1                      	                   	          	                      	           	                  	                 	                     	             	                   	                         	                    	2                  	1                           	1                    	1                   	                               	                     	                   	                             	                       	              	                      	                       	                   	                     	                 	                	                    	                    	                        	                                	                 	                      	                            	Miscellaneous carcareous foraminifers = 2 ; from ODP Leg 134 SR Chapter 12 Table 2 back pocket

  SR	                 	                 	                  	              	134	 827	A	  4	H	 1	  52.00	     29.3200	Akimoto  	Benthic Foraminifers                         	               	                  	3                    	                        	2                     	                  	                    	8                     	                       	                	                 	                	2                 	                   	4                       	1                   	                           	                    	                            	1                      	                      	1                     	                        	                	                      	                    	1                    	3                   	4                   	1                 	                 	11                	1              	                       	                      	                             	1                      	                 	                	1              	              	                  	              	                 	                          	                     	1            	1                  	                       	                   	1                     	7                	2                    	                    	                	                   	              	1                    	                	4                          	               	                  	3                	1                     	                           	                   	                	                	                	                       	1                    	                    	2                      	                    	                       	1                     	                 	                   	                          	                     	3                      	1                  	                   	1                  	                             	          	                    	                       	1            	               	               	                       	                   	7                       	                   	                    	                        	            	1                        	                           	                       	          	                  	                       	                     	                 	                       	3                 	                    	               	1                     	              	5            	                       	               	                        	                     	                   	                   	                            	                   	               	              	1                         	                     	1             	                 	                	                             	4                    	                             	1               	                     	                     	                            	                   	                      	                   	                      	                      	                 	                     	            	             	                 	1            	             	              	                  	                        	             	                        	                	                           	                        	                    	                        	                         	                  	              	                                  	                                 	                            	              	                  	                    	                 	                 	                      	                    	                         	                           	                       	                   	          	                      	           	                  	                 	                     	             	                   	1                        	1                   	                   	                            	                     	                    	                               	                     	                   	                             	                       	              	                      	                       	                   	                     	                 	                	                    	                    	                        	                                	                 	                      	                            	Miscellaneous carcareous foraminifers = 0 ; from ODP Leg 134 SR Chapter 12 Table 2 back pocket
