Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella reissi	Subbotinid gen. et sp. indet (with abortive chambers)	Subbotina utilisindex	Subbotina pseudoeocaena	Subbotina linaperta	Subbotina eocaenica irregularis	Subbotina eocaenica	Subbotina eocaena	Subbotina corpulenta	Subbotina angiporoides minima	Pseudohastigerina spp. <150 µm	Pseudohastigerina micra	Pseudohastigerina danvillensis	Planorotalites spp. <150 µm	Planorotalites pseudoscitulus	Planorotalites planoconicus	Planorotalites australiformis	Morozovella nicoli ex. group (biconvex)	Guembelitria spp. <150 µm	Globorotaloides sp. 1	Globorotaloides oregonensis	Globigerinatheka senni	Chiloguembelinid  gen. et sp. indet <150 µm	Cassigerinelloita amekiensis	Acarininid gen.et sp. indet (subangular)	Acarinina spinuloinflata	Acarinina sp. cf. A.quadratoseptata	Acarinina sp. aff. mattseensis alticonica	Acarinina rugosoaculeata	Acarinina rotundimarginata	Acarinina pseudotopilensis	Acarinina primitiva	Acarinina praetopilensis	Acarinina intermedia	Acarinina decepta	Acarinina collactea	Acarinina bullbrooki/matthewsae	Subbotina pseudoeocaena trilobata	Pseudohastigerina wilcoxensis	Turborotalia sp. cf. T. cerroazulensis frontosa	Subbotina inaequispira	Morozovella sp. cf. M. spinulosa	Globigerinatheka index	Catapsydrax spp.	Subbotinid gen. et sp. indet (with abortive chambers.>400µm)	Subbotina crociapertura	Acarinina topilensis	Subbotina linaperta s.l.	Subbotina hagni	Globorotaloides suteri	Subbotina yeguaensis	Subbotina angiporoides	Chiloguembelina cubensis	Globorotaloides spp. <150 µm	Acarinina echinata	Catapsydrax globiformis	Globigerinatheka subconglobata	Globigerinatheka rubriformis	Globigerina senilis	Catapsydrax unicavus	Pseudohastigerina barbadoensis	Praetenuitella insolita <150 µm	Globorotaloides sp. aff. carcosellensis	Globigerina officinalis	Chiloguembelina spp. >150 µm	Catapsydrax africanus	Acarinina medizzai	Tenuitella clemenciae <150 µm	Tenuitella gemma <150 µm	Praetenuitella patefacta <150 µm	Acarinina aculeata (<150 microns)	Subbotina gortanii	Subbotina brevis	Tenuitellid gen.et sp. indet.<150 µm	Paragloborotalia pseudocontinuosa	Paragloborotalia opima nana	Globigerinatheka luterbacheri	Globigerina ampliapertura	Tenuitellid gen.et sp. indet.>150 µm	Globigerina venezuelana	Catapsydrax sp. cf. C.dissimilis	Tenuitella sp. cf. T. pseudoedita <150 µm	Catapsydrax dissimilis	Tenuitella munda <150 µm	Globigerina labiacrassata	Globigerina praebulloides occlusa	Globigerina praebulloides leroyi	? Prosphaeroidinella sp.	Paragloborotalia opima opima	Tenuitella minutissima <150 µm	Guembelitria stavensis <150 µm	Cassigerinella chipolensis (<150 µm)	Catapsydrax dissimilis ciperoensis	Tenuitellinata angustiumbilicata	Globigerinita juvenilis	Globigerina praebulloides	Globigerina euapertura	Globigerina anguliofficinalis	Globigerina ouachitaensis	Dentoglobigerina pseudovenezuelana	Globigerina brazieri	Dentoglobigerina galavisi	Globorotaloides testarugosa	Globigerinoides sp.	Globigerina ciperoensis	Globorotaloides praestainforthi	Globorotalia obesa	Globoquadrina dehiscens praedehiscens	Globigerinita incrusta	Dentoglobigerina globularis	Globigerina woodi	Globorotaloides variabilis	Globorotalia zealandica	Globoquadrina dehiscens	Paragloborotalia semivera	Globigerina pseudodruryi	Globigerina woodi connecta	Globorotalia praescitula/G. scitula	Neogloboquadrina pachyderma	Globorotalia inflata	Globorotalia crassaformis l.c.	Neogloboquadrina pachyderma (sin.)	Neogloboquadrina pachyderma (dex.)	Globorotalia puncticulata	Globigerina quinqueloba	Globigerina bulloides	Globorotalia truncatulinoides	Comment

  SR	Late Pliocene    	Pleistocene      	                  	              	114	 703	A	  1	H	 3	  50.00	      3.5000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	                	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	                       	                            	                     	                  	                             	                        	                                	                                 	                  	                	                                    	                                 	                           	                             	                         	                                    	                       	                                	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	C                          	                    	                              	                                  	                                  	                         	                       	                     	                             	slight to medium etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Pleistocene 	                 	                  	              	114	 703	A	  1	H	 3	 140.00	      4.4000	Pujol    	Planktonic Foraminifers                      	               	                  	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	                	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	                       	                            	                     	                  	                             	                        	                                	                                 	                  	                	                                    	                                 	                           	                             	                         	                                    	                       	                                	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	1.0%                	                              	73.5%                             	1.0%                              	10.3%                    	1.0%                   	10.7%                	                             	907 300 specimens per 10g; from ODP Leg 114 SR Chapter 11 Table 2 p.219

  SR	Late Pliocene    	Pleistocene      	                  	              	114	 703	A	  1	H	CC	  19.00	      4.8800	Nocchi   	Planktonic Foraminifers                      	C              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	                	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	                       	                            	                     	                  	                             	                        	                                	                                 	                  	                	                                    	                                 	                           	                             	                         	                                    	                       	                                	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	C                          	                    	                              	                                  	                                  	                         	                       	                     	                             	from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Pliocene    	Pleistocene      	                  	              	114	 703	A	  2	H	 1	 105.00	      5.9500	Nocchi   	Planktonic Foraminifers                      	A              	P                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	                	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	                       	                            	                     	                  	                             	                        	                                	                                 	                  	                	                                    	                                 	                           	                             	                         	                                    	                       	                                	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	C                          	C                   	C                             	                                  	                                  	                         	                       	                     	                             	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Pliocene    	Pleistocene      	                  	              	114	 703	A	  2	H	 2	 105.00	      7.4500	Nocchi   	Planktonic Foraminifers                      	A              	P                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	                	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	                       	                            	                     	                  	                             	                        	                                	                                 	                  	                	                                    	                                 	                           	                             	                         	                                    	                       	                                	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	C                          	                    	                              	                                  	                                  	                         	                       	                     	                             	from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Pliocene    	Pleistocene      	                  	              	114	 703	A	  2	H	 3	 105.00	      8.9500	Nocchi   	Planktonic Foraminifers                      	C              	P                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	                	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	                       	                            	                     	                  	                             	                        	                                	                                 	                  	                	                                    	                                 	                           	                             	                         	                                    	                       	                                	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	C                          	C                   	                              	                                  	                                  	                         	                       	                     	                             	slight to medium etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Pliocene    	Pleistocene      	                  	              	114	 703	A	  2	H	 4	 105.00	     10.4500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	                	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	                       	                            	                     	                  	                             	                        	                                	                                 	                  	                	                                    	                                 	                           	                             	                         	                                    	                       	                                	                                         	                      	                        	                         	                                 	                                	                        	                            	                              	                              	                                    	                                  	                                	                       	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	C                          	C                   	                              	                                  	                                  	                         	                       	                     	                             	slight to medium etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)
