Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia truncatulinoides (dex.)	Pulleniatina obliquiloculata	Menardella menardii (sinistral)	Globoconella inflata	Truncorotalia truncatulinoides (sin.)	Sphaeroidinella dehiscens	Globorotalia tumida	Truncorotalia crassaformis	Truncorotalia crassaformis hessi	Hirsutella hirsuta	Globigerina falconensis	Globigerina bulloides	Neogloboquadrina pachyderma	Menardella menardii (dextral)	Globoturborotalita rubescens	Globorotalia tumida flexuosa	Hastigerina pelagica	Globigerinella calida	Globigerina bermudezi	Comment



  IR	                 	Pleistocene      	                  	N22           	172	1060	A	  1	H	CC	  12.00	      9.0300	Chaisson 	Planktonic Foraminifers                      	F              	P                 	R                                    	-                           	+                              	F                   	-                                    	-                        	-                  	R                         	                                	+                 	R                      	-                    	R                          	-                            	R                           	                            	                    	-                    	+                    	may be Holocene; 1 menardii found rads and organic muds present

  IR	                 	Pleistocene      	                  	N22           	172	1060	A	  2	H	CC	  20.00	     18.9400	Chaisson 	Planktonic Foraminifers                      	C              	M                 	F                                    	R                           	-                              	+                   	-                                    	-                        	-                  	R                         	                                	-                 	F                      	-                    	-                          	-                            	-                           	                            	                    	-                    	+                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1060	A	  3	H	 6	  70.00	     26.7000	Chaisson 	Planktonic Foraminifers                      	F              	P                 	-                                    	-                           	-                              	+                   	+                                    	-                        	-                  	-                         	                                	-                 	-                      	+                    	-                          	-                            	-                           	                            	-                   	-                    	-                    	pyrite, 13 Uvigerina

  IR	                 	Pleistocene      	                  	N22           	172	1060	A	  3	H	CC	  23.00	     28.3200	Chaisson 	Planktonic Foraminifers                      	F              	P                 	-                                    	+                           	-                              	F                   	R                                    	R                        	-                  	-                         	                                	-                 	R                      	R                    	-                          	-                            	R                           	                            	-                   	-                    	-                    	many rads

  IR	                 	Pleistocene      	                  	N22           	172	1060	A	  4	H	 1	  70.00	     28.7000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                                    	+                           	-                              	+                   	+                                    	-                        	-                  	-                         	                                	+                 	+                      	-                    	-                          	-                            	-                           	                            	-                   	-                    	-                    	no flexuosa

  IR	                 	Pleistocene      	                  	N22           	172	1060	A	  4	H	 2	  70.00	     30.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                                    	+                           	-                              	-                   	+                                    	-                        	-                  	+                         	                                	                  	-                      	-                    	-                          	-                            	-                           	                            	-                   	-                    	-                    	no flexuosa

  IR	                 	Pleistocene      	                  	N22           	172	1060	A	  4	H	 3	  70.00	     31.7000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	-                                    	R                           	-                              	R                   	F                                    	-                        	-                  	-                         	                                	-                 	-                      	-                    	-                          	-                            	F                           	                            	-                   	-                    	-                    	no flexuosa

