Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Calcareous spp. (indeterminate),Calcarina calcar,Cancris auricula,Cancris sp.,Cassidulina spp.,Cassidulinoides spp.,Cassidulina teretis,Ceratobulimina spp.,Ceratobulimina jonesiana,Chilostomella oolina,Chilostomella ovoidea,Chrysalogonium calomorphum,Chrysalogonium spp.,Cibicides cf. lobatulus,Cibicides lobatulus,Cibicides refulgens,Cibicides spp.,Cibicides/Cibicidoides spp.,Cibicidoides cf. pachyderma,Cibicidoides cf. refulgens,Cibicidoides cf. ungerianus,Cibicidoides cicatricosus,Cibicidoides incrassatus,Cibicidoides kullenbergi,Cibicidoides mollis,Cibicidoides pachyderma,Cibicidoides pseudoungerianus,Cibicidoides robertsonianus,Cibicidoides spp.,Cibicidoides subhaidingerii,Cibicidoides wuellerstorfi,Cibicorbis? sp.,Clavulina mexicana,Conorbina spp.,Cribroloculina sp.,Cribronodosaria sp.,Cribromiliolinella sp.,Cribrostomoides scitulum,Cribrostomoides spp.,Cribrostomoides subglobosus,Crithionina hispida,Crithionina mamilla,Crithionina pisum,Cyclammina cancellata,Cyclammina spp.,Cylindroclavulina spp.?,Dendrophyra spp.,Dentalina advena,Dentalina ariena,Dentalina bradyensis,Dentalina cf. filiformis,Dentalina spp.,Dentalina communis,Deuterammina ochracea,Discammina spp.,Discanomalina coronata,Discanomalina semipunctata,Discanomalina spp.,Discorbis spp.,Dorothia bradyana,Dorothia spp.,Eggerella bradyi,Eggerella spp.,Ehrenbergina pupa?,Ehrenbergina spp.,Elphidid taxa,Elphidiella spp.,Elphidium aculeatum,Elphidium cf. jenseni,Elphidium crispum,Elphidium spp.,Epistomina spp.,Epistominella exigua,Epistominella rugosa,Epistominella spp.,Eponides spp.,Eubuliminella exilis,Cibicidoides cf. wuellerstorfi,Comment,File Data,eodp_id
339-U1391C-2R-CC-PAL-FORAM,339,U1391,C,2,2-CC,R,CC,PAL,FORAM,0,5,345,345.05,,,,,,,P,,,,,,,,,,,A,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958949062570d052e803ae8574273b17
339-U1391C-3R-CC-PAL-FORAM,339,U1391,C,3,3-CC,R,CC,PAL,FORAM,0,5,354.48,354.53,,,,,P,,F,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471cb78b7a439363c2a18567cd323b88
339-U1391C-4R-CC-PAL-FORAM,339,U1391,C,4,4-CC,R,CC,PAL,FORAM,0,7,357.91,357.98,,,,,,,F,,,,,,,,P,,,R,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,A,,,5d86fe42d519bc0246e0dc006617fa95
339-U1391C-5R-CC-PAL-FORAM,339,U1391,C,5,5-CC,R,CC,PAL,FORAM,0,5,374.48,374.53,,,,,,P,R,,,,,,R,,P,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,F,,,aeafb1b6b6b34b6af5046ccf2c89ad49
339-U1391C-6R-CC-PAL-FORAM,339,U1391,C,6,6-CC,R,CC,PAL,FORAM,0,5,377.32,377.37,,,,,,,R,,,,,,,,,,,R,,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,88fc0f64a017d4174f25adeb2fea1abc
339-U1391C-7R-CC-PAL-FORAM,339,U1391,C,7,7-CC,R,CC,PAL,FORAM,0,5,391.44,391.49,,,,,,,,,,,,,,,,P,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a15f7679167a285d2af8d8d674de1a4a
339-U1391C-8R-CC-PAL-FORAM,339,U1391,C,8,8-CC,R,CC,PAL,FORAM,0,5,399.87,399.92,,,,,,,F,,,,,,R,,P,,,P,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,5e5eeacdf4d7a13d86aa29ceb19791e6
339-U1391C-10R-CC-PAL-FORAM,339,U1391,C,10,10-CC,R,CC,PAL,FORAM,0,5,419.55,419.6,,,,,,,R,,,,,,P,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,61381f5f2acd665d6c7c0dad42e85461
339-U1391C-12R-CC-PAL-FORAM,339,U1391,C,12,12-CC,R,CC,PAL,FORAM,0,5,441.6,441.65,,,,,P,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,687cd5d7fa75d1614423b3691e30da9f
339-U1391C-14R-CC-PAL-FORAM,339,U1391,C,14,14-CC,R,CC,PAL,FORAM,0,5,460.79,460.84,,,,,R,,R,,,,,,,,,,,R,,,,P,F,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,826ee64435126e8ae6719f72c1784051
