Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data,eodp_id
339-U1386A-1H-CC-PAL-FORAM,339,U1386,A,1,1-CC,H,CC,PAL,FORAM,0,5,3.81,3.86,,,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,R,A,,,,,,,,,,,,149ef5033c5a07a23896628056e551cd
339-U1386A-2H-CC-PAL-FORAM,339,U1386,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.48,13.53,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,A,,,,,,P,,,,,,da2760f2debc7e06f27053f1d34376b5
339-U1386A-3H-CC-PAL-FORAM,339,U1386,A,3,3-CC,H,CC,PAL,FORAM,0,5,23.22,23.27,,,R,,,R,R,,,,,,,,,,,,,,,,,,,,,,,R,F,A,,,,,,,,,,,,ce69780e3190a26d61e640e7567e7f98
339-U1386A-4H-CC-PAL-FORAM,339,U1386,A,4,4-CC,H,CC,PAL,FORAM,0,5,33.11,33.16,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,R,,,,,,,,,,,,1ddf71221506f508d8b0bbe049a027a5
339-U1386A-5H-CC-PAL-FORAM,339,U1386,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.18,42.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,A,,,,,,,,,,,,4fc738ac928d85773a9278a1c838221b
339-U1386A-6H-CC-PAL-FORAM,339,U1386,A,6,6-CC,H,CC,PAL,FORAM,0,5,50.31,50.36,,,,,,R,,,,P,,,,,,,,,,,,,,,,,,,,,R,A,,,,,,,,,,,,4a0fec86ef6c59dbd94b07cae37fd7d6
339-U1386A-7H-CC-PAL-FORAM,339,U1386,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.22,61.27,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,A,,,,,,,,,,,,245cb0005593e8fe24e41f457b6fdd2f
339-U1386A-8H-CC-PAL-FORAM,339,U1386,A,8,8-CC,H,CC,PAL,FORAM,0,5,70.62,70.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,,,,,,,,,,,,d8162b5555dcf03a9afe9b73360cd319
339-U1386A-9H-CC-PAL-FORAM,339,U1386,A,9,9-CC,H,CC,PAL,FORAM,0,5,80.13,80.18,,,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,A,F,,,,,,,,,,,,d3a5e67fb1a1e6cad15014b58845e756
339-U1386A-10H-CC-PAL-FORAM,339,U1386,A,10,10-CC,H,CC,PAL,FORAM,0,5,90.23,90.28,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,P,F,F,,,,,,R,,,,,,3304d0ad98ef42d7ab7de12d7d0e6fec
