Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,,eodp_id
342-U1404A-23H-5-W 101/103-FORAM,342,U1404,A,23,23-5,H,5,W,101/103-FORAM,0,2,201.91,201.93,201.92,G [P21],R,B,B,B,P,B,dwarfism?,,,942a2fe429b91752ae48c790f8809ada
342-U1404A-23H-6-W 51/53-FORAM,342,U1404,A,23,23-6,H,6,W,51/53-FORAM,0,2,202.91,202.93,202.92,M [P21],D,P,F,B,D,B,,,,690537b519678c4f6a36c3e39a411679
342-U1404A-23H-7-W 40/42-FORAM,342,U1404,A,23,23-7,H,7,W,40/42-FORAM,0,2,203.8,203.82,203.81,G [P21],D,B,R,B,D,B,dwarfism?,,,db4304c2c8fb88a88078bb478a32b81e
342-U1404A-24H-1-W 55/56-FORAM,342,U1404,A,24,24-1,H,1,W,55/56-FORAM,0,1,204.85,204.86,204.86,G [P21],D,B,R,B,D,B,,,,36491196c53f150cf8d0af030dec6b5b
342-U1404A-24H-2-W 55/56-FORAM,342,U1404,A,24,24-2,H,2,W,55/56-FORAM,0,1,206.35,206.36,206.36,,B,,,,,,,,,1de517dd18acd2ea7db7d564fd2b6ac7
342-U1404A-24H-3-W 55/56-FORAM,342,U1404,A,24,24-3,H,3,W,55/56-FORAM,0,1,207.85,207.86,207.86,M [P21],P,B,P,B,B,B,,,,6eafb88ba2ab731baea42bfd12639f96
342-U1404A-24H-4-W 55/56-FORAM,342,U1404,A,24,24-4,H,4,W,55/56-FORAM,0,1,209.35,209.36,209.36,G [P21],D,P,F,B,D,B,,,,b544b8911c599bd4189356816e478c5a
342-U1404A-24H-5-W 55/56-FORAM,342,U1404,A,24,24-5,H,5,W,55/56-FORAM,0,1,210.85,210.86,210.86,M [P21],D,B,R,B,D,B,,,,b48b02790453a5752c0a91b431b12e20
342-U1404A-24H-6-W 55/56-FORAM,342,U1404,A,24,24-6,H,6,W,55/56-FORAM,0,1,212.35,212.36,212.36,P [P21],A,B,F,B,F,B,,,,77893289ec5ffaab1e07d6ae329da887
342-U1404A-25H-1-W 100/101-FORAM,342,U1404,A,25,25-1,H,1,W,100/101-FORAM,0,1,213.8,213.81,213.81,P [P21],P,B,P,B,P,B,,,,1646035352d1d3623f8594be04d92057
342-U1404A-25H-2-W 100/101-FORAM,342,U1404,A,25,25-2,H,2,W,100/101-FORAM,0,1,215.3,215.31,215.31,,B,,,,,,,,,fa5b2989183da30b8c48148fe13fb38e
342-U1404A-25H-3-W 100/101-FORAM,342,U1404,A,25,25-3,H,3,W,100/101-FORAM,0,1,216.8,216.81,216.81,,B,,,,,,,,,d1a97dc4bf4a3211017e35b1f02acc1e
342-U1404A-25H-4-W 100/101-FORAM,342,U1404,A,25,25-4,H,4,W,100/101-FORAM,0,1,218.3,218.31,218.31,,B,,,,,,,,,63fb5f37a33183e80cb18ecaec54839c
342-U1404A-25H-5-W 75/76-FORAM,342,U1404,A,25,25-5,H,5,W,75/76-FORAM,0,1,219.55,219.56,219.56,,B,,,,,,,,,6983fc81b58145ad7a97d77755d83aea
342-U1404A-26H-1-W 50/51-FORAM,342,U1404,A,26,26-1,H,1,W,50/51-FORAM,0,1,221.0,221.01,221.01,P [P21],D,B,R,B,A,B,,,,c38584f1cb50c52a375cdf182d1af674
342-U1404A-26H-2-W 50/51-FORAM,342,U1404,A,26,26-2,H,2,W,50/51-FORAM,0,1,222.5,222.51,222.51,,B,,,,,,,,,bcbb0a55765bee3dc2e8845733cdd372
342-U1404A-26H-3-W 50/51-FORAM,342,U1404,A,26,26-3,H,3,W,50/51-FORAM,0,1,224.0,224.01,224.01,P [P21],D,B,P,B,R,B,,,,2e6dc57d5bcfdaf1a69844cc4584c97b
342-U1404A-26H-4-W 50/51-FORAM,342,U1404,A,26,26-4,H,4,W,50/51-FORAM,0,1,225.5,225.51,225.51,P [P21],P,B,B,B,P,B,,,,887553c89e74d52334f9febac11b210c
342-U1404A-26H-5-W 50/51-FORAM,342,U1404,A,26,26-5,H,5,W,50/51-FORAM,0,1,227.0,227.01,227.01,,B,,,,,,,,,a40218739ecf3b3b20e1e22cf8278d4b
342-U1404A-28H-3-W 15/16-FORAM,342,U1404,A,28,28-3,H,3,W,15/16-FORAM,0,1,239.65,239.66,239.66,M [P21],R,B,P,B,R,B,,,,a18ad7a8ed7314e44ac190823822ef68
342-U1404A-28H-5-W 45/46-FORAM,342,U1404,A,28,28-5,H,5,W,45/46-FORAM,0,1,242.95,242.96,242.96,,B,,,,,,,,,20e7de325571f847b0f4048a65d83b1d
