Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus leptoporus (small 3-5 um),Calcidiscus macintyrei (>11 um),Calcidiscus premacintyrei (> 9 microns),Catinaster calyculus,Catinaster coalitus,Catinaster spp.,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus braarudii,Coronocyclus nitescens,Cyclicargolithus floridanus,Dictyococcites spp. (small),Dictyococcites spp. (medium),Discoaster berggrenii,Discoaster brouweri,Discoaster deflandrei,Discoaster hamatus,Discoaster kugleri,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster sp.,Emiliania huxleyi,Gephyrocapsa sp. (large),Gephyrocapsa sp. medium,Gephyrocapsa spp. (small),Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera sellii,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra minuta,Reticulofenestra minutula (3-5 microns),Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra pseudoumbilica (>7microns),Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus sp.,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,comments,eodp_id
323-U1341B-18H-CC-PAL-NANNO67,323,U1341,B,18,18-CC,H,CC,PAL,NANNO67,0,0.0,166.71,166.71,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db22bf187dcd064214af0deac79fa53a
323-U1341B-19H-CC-PAL-NANNO41,323,U1341,B,19,19-CC,H,CC,PAL,NANNO41,0,0.0,176.55,176.55,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58a2867f16e5aebf6713b8610c4aeacd
323-U1341B-20H-CC-PAL-NANNO47,323,U1341,B,20,20-CC,H,CC,PAL,NANNO47,0,0.0,180.07,180.07,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9d57d78fd4f02b5688e781a99f5a0bbf
323-U1341B-21H-CC-PAL-NANNO52,323,U1341,B,21,21-CC,H,CC,PAL,NANNO52,0,0.0,190.62,190.62,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f7d1c98b9124c83cc4f8daebee8e751a
323-U1341B-22H-CC-PAL-NANNO57,323,U1341,B,22,22-CC,H,CC,PAL,NANNO57,0,0.0,199.87,199.87,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0bfa40a5464448028aa7bfe7e07598ea
323-U1341B-23H-CC-PAL-NANNO12,323,U1341,B,23,23-CC,H,CC,PAL,NANNO12,0,0.0,209.68,209.68,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883c7cd89cea1bd6fe65ab8cf7e64c58
323-U1341B-24H-CC-PAL-NANNO17,323,U1341,B,24,24-CC,H,CC,PAL,NANNO17,0,0.0,218.83,218.83,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28c569a260165e27e2ad279c854fde93
323-U1341B-25H-CC-PAL-NANNO22,323,U1341,B,25,25-CC,H,CC,PAL,NANNO22,0,0.0,228.42,228.42,M,R,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34ec98aae27fbbef16f892f7346b0393
323-U1341B-26H-CC-PAL-NANNO27,323,U1341,B,26,26-CC,H,CC,PAL,NANNO27,0,0.0,238.11,238.11,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381d6862f0b5371b47bd21bb4ce703ac
323-U1341B-27H-CC-PAL-NANNO32,323,U1341,B,27,27-CC,H,CC,PAL,NANNO32,0,0.0,247.5,247.5,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38a664d503cbafbbc9521b27b53d151f
323-U1341B-28H-CC-PAL-NANNO33,323,U1341,B,28,28-CC,H,CC,PAL,NANNO33,0,0.0,257.09,257.09,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb443ae4559c637ef395ca038d70db3f
323-U1341B-29H-CC-PAL-NANNO38,323,U1341,B,29,29-CC,H,CC,PAL,NANNO38,0,0.0,265.92,265.92,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f8db732df3523cb59ae1e6ff5e40d896
323-U1341B-30H-CC-PAL,323,U1341,B,30,30-CC,H,CC,PAL,,0,0.0,276.09,276.09,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6c7dbab919af68cc34a8c2206402ffd2
323-U1341B-31H-CC-PAL-NANNO48,323,U1341,B,31,31-CC,H,CC,PAL,NANNO48,0,0.0,283.71,283.71,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18eb020c49e7636c78c946d4334fa5c0
323-U1341B-32H-CC-PAL-NANNO81,323,U1341,B,32,32-CC,H,CC,PAL,NANNO81,0,0.0,291.56,291.56,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e7c4543d46c467946e82f90fe511dae2
323-U1341B-33H-CC-PAL-NANNO86,323,U1341,B,33,33-CC,H,CC,PAL,NANNO86,0,0.0,301.13,301.13,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890ef3a54ecbb4ba1d97d96b31a3788a
323-U1341B-34H-CC-PAL-NANNO91,323,U1341,B,34,34-CC,H,CC,PAL,NANNO91,0,0.0,307.22,307.22,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,083d87b9bd875cecfe6368aed699f8e5
323-U1341B-35H-CC-PAL,323,U1341,B,35,35-CC,H,CC,PAL,,0,0.0,316.65,316.65,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e9cd8497050dfe0c46a91f5beff8d35
323-U1341B-36H-CC-PAL-NANNO32,323,U1341,B,36,36-CC,H,CC,PAL,NANNO32,0,0.0,325.83,325.83,M,C,,,,,,,,,,,,C,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fe71fa90ab3c83ccbf0a0809481b06a1
323-U1341B-37H-CC-PAL-NANNO37,323,U1341,B,37,37-CC,H,CC,PAL,NANNO37,0,0.0,335.18,335.18,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468de12bde48f0cce00c6b153209d689
323-U1341B-38H-CC-PAL-NANNO45,323,U1341,B,38,38-CC,H,CC,PAL,NANNO45,0,0.0,345.68,345.68,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba0416b23b88010da6febf6f5f88ce93
323-U1341B-39H-CC-PAL58     -NANNO50,323,U1341,B,39,39-CC,H,CC,PAL58,NANNO50,0,0.0,354.99,354.99,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f45e51c0a9f6d817e4fec41dffdfc055
323-U1341B-40H-CC-PAL41     -NANNO55,323,U1341,B,40,40-CC,H,CC,PAL41,NANNO55,0,0.0,358.01,358.01,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922e1eebbf7163f010f7a74412a2a146
323-U1341B-41H-CC-PAL53     -NANNO90,323,U1341,B,41,41-CC,H,CC,PAL53,NANNO90,0,0.0,366.14,366.14,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0af440888f38b5a45cdde90cb8524192
323-U1341B-42H-CC-PAL-NANNO53,323,U1341,B,42,42-CC,H,CC,PAL,NANNO53,0,0.0,375.58,375.58,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f0d8ffd350369b26e41490c6430b2d33
323-U1341B-43H-CC-PAL-NANNO58,323,U1341,B,43,43-CC,H,CC,PAL,NANNO58,0,0.0,385.38,385.38,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ffccf34a8a2593ab2bc7f1bacff95c79
323-U1341B-44H-CC-PAL-NANNO63,323,U1341,B,44,44-CC,H,CC,PAL,NANNO63,0,0.0,395.02,395.02,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1f8a33cb72d649f4869e6f19fedc4d8d
323-U1341B-45H-CC-PAL-NANNO68,323,U1341,B,45,45-CC,H,CC,PAL,NANNO68,0,0.0,403.49,403.49,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832fa90663325c042541696e88423f33
323-U1341B-46H-CC-PAL-NANNO73,323,U1341,B,46,46-CC,H,CC,PAL,NANNO73,0,0.0,413.6,413.6,P,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,e73c7320ad7ed445746064e29e62032c
323-U1341B-47H-CC-PAL-NANNO84,323,U1341,B,47,47-CC,H,CC,PAL,NANNO84,0,0.0,414.43,414.43,M-P,R,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298abc64bfff8b4eaf7edcca25815da3
323-U1341B-48H-CC-PAL-NANNO80,323,U1341,B,48,48-CC,H,CC,PAL,NANNO80,0,0.0,422.74,422.74,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b9ca3f1b1882afd4a1916045ea8b458f
323-U1341B-49H-CC-PAL-NANNO85,323,U1341,B,49,49-CC,H,CC,PAL,NANNO85,0,0.0,423.19,423.19,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a4a5d7603bc3c505a729a7b24a6976b
323-U1341B-50H-CC-PAL-NANNO46,323,U1341,B,50,50-CC,H,CC,PAL,NANNO46,0,0.0,431.08,431.08,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41bbae128edadacd502e1dff4d5f5591
323-U1341B-51H-CC-PAL-NANNO51,323,U1341,B,51,51-CC,H,CC,PAL,NANNO51,0,0.0,438.94,438.94,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dd441e21a28eac848166b84d343eb280
323-U1341B-52H-CC-PAL-NANNO56,323,U1341,B,52,52-CC,H,CC,PAL,NANNO56,0,0.0,448.76,448.76,M-P,C,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,d35b7f9b0eeea77deca92e3bcd0a93fb
323-U1341B-53H-CC-PAL-NANNO61,323,U1341,B,53,53-CC,H,CC,PAL,NANNO61,0,0.0,457.7,457.7,M-P,R,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,b70cefce33cf96de0ff1fc20bffbae49
323-U1341B-54H-CC-PAL-NANNO66,323,U1341,B,54,54-CC,H,CC,PAL,NANNO66,0,0.0,458.23,458.23,M-P,C,,,,,,,,,,,,R,,,,F,F,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,0812145cbe3be0e91630a1648ea791f0
323-U1341B-55H-CC-PAL74     -NANNO68,323,U1341,B,55,55-CC,H,CC,PAL74,NANNO68,0,0.0,458.3,458.3,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18ba92925f7a3c8e33aab5041336756d
323-U1341B-56H-CC-PAL4      -NANNO73,323,U1341,B,56,56-CC,H,CC,PAL4,NANNO73,0,0.0,458.4,458.4,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b76fc36e15dfe2c3bce70dfcdca8a4fe
323-U1341B-57X-CC-PAL-NANNO78,323,U1341,B,57,57-CC,X,CC,PAL,NANNO78,0,0.0,467.23,467.23,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d5e0846b96e95537b2e51d4c1e77b68
323-U1341B-58X-CC-PAL-NANNO83,323,U1341,B,58,58-CC,X,CC,PAL,NANNO83,0,0.0,476.65,476.65,M-P,C,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,da2eda8c5c99054e2b844f11068bb56c
323-U1341B-59X-CC-PAL-NANNO88,323,U1341,B,59,59-CC,X,CC,PAL,NANNO88,0,0.0,486.67,486.67,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f3db1f0b7f106d749ebff3e860011ffd
323-U1341B-60X-CC-PAL-NANNO74,323,U1341,B,60,60-CC,X,CC,PAL,NANNO74,0,0.0,496.36,496.36,M-P,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3871980716a48c99f593dbf619eb2966
323-U1341B-61X-CC-PAL-NANNO31,323,U1341,B,61,61-CC,X,CC,PAL,NANNO31,0,0.0,504.24,504.24,M-P,A,,,,,,,,,,,,R,,,,A,F,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,950f14ef1d8b2407aa542dd32fb40e68
323-U1341B-62X-CC-PAL-NANNO36,323,U1341,B,62,62-CC,X,CC,PAL,NANNO36,0,0.0,515.62,515.62,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d40a16393306dff033b2a6a153ac9df8
323-U1341B-63X-CC-PAL-NANNO43,323,U1341,B,63,63-CC,X,CC,PAL,NANNO43,0,0.0,525.36,525.36,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba00339a98c41f1b242f8313e6bd54f1
323-U1341B-64X-CC-PAL-NANNO60,323,U1341,B,64,64-CC,X,CC,PAL,NANNO60,0,0.0,534.76,534.76,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ad5034b58c6ed2fd88444458bd40eaa
323-U1341B-65X-CC-PAL-NANNO69,323,U1341,B,65,65-CC,X,CC,PAL,NANNO69,0,0.0,542.92,542.92,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11422b5f7d6ac359f09d83d09de3d6d2
323-U1341B-66X-CC-PAL-NANNO23,323,U1341,B,66,66-CC,X,CC,PAL,NANNO23,0,0.0,549.26,549.26,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bad72b6010fc0cefd5152e8e891e2f41
323-U1341B-67X-CC-PAL-NANNO28,323,U1341,B,67,67-CC,X,CC,PAL,NANNO28,0,0.0,563.58,563.58,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be29d5e73aadaf6337dc1b62c3097b53
323-U1341B-68X-CC-PAL-NANNO33,323,U1341,B,68,68-CC,X,CC,PAL,NANNO33,0,0.0,573.38,573.38,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41856a8838df0cec925b045a4d0a0ee7
323-U1341B-69X-CC-PAL-NANNO72,323,U1341,B,69,69-CC,X,CC,PAL,NANNO72,0,0.0,573.52,573.52,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8c864843bced7c1884ee31fe58697f78
323-U1341B-70X-CC-PAL-NANNO77,323,U1341,B,70,70-CC,X,CC,PAL,NANNO77,0,0.0,592.15,592.15,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622d310b5b23ca7d2f49649367e97339
