Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Marginulina pediformis,Marginulina spp.,Marginulinopsis spp.,Marsipella elongata,Martinotiella bacillaris,Martinottiella communis,Martinottiella spp.,Massilina sp.,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Melonis zaandamae,Miliammina spp.,Miliolid taxa (large),Miliolid taxa,Miliolinella sp.,Miliolinella subrotunda,Myllostomella cf. advena,Myllostomella fijiensis,Myllostomella spp.?,Neoconorbina spp.,Neoeponides spp.?,Neolenticulina variabilis,Neodiscorbinella rarescens,Nodosariidae indet.,Nodogenerina spp.,Nodosaria spp.,Nonion asterizans,Nonion commune,Nonion spp.,Nonionella cf. bradii,Nonionella labradorica,Nonionidae indet.,Nonionella spp.,Nonionella turgida,Nothia latissima,Nummoloculina contraria,Nuttallides sp,Oolina spp.,Operculina sp.,Oridorsalis spp.,Oridorsalis umbonatus,Orthomorphina challengeriana,Orthomorphina cf. jedlitschkai,Orthomorphina spp.,Osangularia sp.,Osangulariella? sp.,Pattelina corrugata,Parafissurina sp.,Parafissurina spp.,Pararotalia spp.,Paratrochamminoides spp.,Placopsilina confusa,Planulina ariminensis,Planulina sp.,Planoglabratella cf. opercularis,Planorbulina mediterranensis,Plectofrondicularia spp.,Pleurostomella alternans,Pleurostomella cf. alternans,Pleurostomellidae indet.,Pleurostomella recens,Pleurostomella spp.,Porosononion sp.,Praebulimina spp.,Praeglobobulimina ovata,Protelphidium sp.,Proxifrons inaequalis,Psammosphaera spp.,Pseudoclavulina spp.,Pseudoglandulina spp.,Pseudoglandulina spp.?,Pullenia bulloides,Pullenia quinqueloba,Pullenia spp.,Pyramidulina sp.,Pyrgo anomala,Pyrgo laevis,Pyrgo lucernula,Pyrgo murrinha,Pyrgo oblonga,Pyrgo spp.,Pyrgoella sphaera,Pyrgoella spp.?,Pyrulina? angusta,Comment,File Data,eodp_id
339-U1389A-1H-CC-PAL-FORAM,339,U1389,A,1,1-CC,H,CC,PAL,FORAM,0,5,4.25,4.3,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e33aac288b4ae1350ab44fe50766712
339-U1389A-2H-CC-PAL-FORAM,339,U1389,A,2,2-CC,H,CC,PAL,FORAM,0,5,14.13,14.18,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22949bbff03e38171ce0fe6aab8e9282
339-U1389A-3H-CC-PAL-FORAM,339,U1389,A,3,3-CC,H,CC,PAL,FORAM,0,5,23.66,23.71,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e4cb357608af59b76a8621c7d031a2b
339-U1389A-4H-CC-PAL-FORAM,339,U1389,A,4,4-CC,H,CC,PAL,FORAM,0,5,33.34,33.39,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e4ab6a5e0106b56a02a721ad1f884916
339-U1389A-5H-CC-PAL-FORAM,339,U1389,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.99,43.04,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41851363da999937b0f3aa5e3ac0d298
339-U1389A-6H-CC-PAL-FORAM,339,U1389,A,6,6-CC,H,CC,PAL,FORAM,0,5,52.38,52.43,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0500a24725b3d821a8fdf50d3c27fc
339-U1389A-7H-CC-PAL-FORAM,339,U1389,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.49,61.54,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,R,,,,,,33e1330de43708f4b39397e78952ee86
339-U1389A-8H-CC-PAL-FORAM,339,U1389,A,8,8-CC,H,CC,PAL,FORAM,0,5,71.33,71.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85cc32e70572c662c9c05135909f8dc7
339-U1389A-9H-CC-PAL-FORAM,339,U1389,A,9,9-CC,H,CC,PAL,FORAM,0,5,80.95,81,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,19c83b12b8d7d066f3884a348dc0930f
339-U1389A-10H-CC-PAL-FORAM,339,U1389,A,10,10-CC,H,CC,PAL,FORAM,0,5,90.5,90.55,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,e6b02deb86ddb0d94e7c6ff12b64c853
