Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Fissurina alveolata,Fissurina cf. radiata,Fissurina cf. staphyllearia,Fissurina spp.,Frondicularia sagittula,Frondicularia spp.,Fursenkoina bradyi,Fursenkoina complanata,Fursenkoina rotundata,Fursenkoina schreibersiana,Fursenkoina spp.,Gaudryina spp.,Gavelinella spp.,Gavelinopsis praegeri,Gavelinopsis? Sp.,Gavelinopsis translucens,Glabratella patelliformis,Glandulina ovula,Glandulina spp.,Globobulimina affinis,Globobulimina auriculata,Globobulimina cf. pacifica,Globobulimina pacifica,Globobulimina spinescens,Globobulimina spp.,Globobulimina turgida,Globocassidulina globosa,Globocassidulina oblonga,Globocassidulina spp.,Globocassidulina? sp. 1,Globulina gibba,Glomospira charoides,Glomospira gordialis,Glomospira spp.,Grigelis spp.,Guttulina spp.,Gyroidina orbicularis,Gyroidina cf. broeckhiana,Gyroidina spp.,Gyroidinoides octocameratus,Gyroidinoides soldanii,Gyroidinoides spp.,Hanzawaia concentrica,Hanzawaia rhodiensis,Hanzawaia? sp.,Hanzawaia spp.,Haplophragmoides spp.,Haynesina sp.,Heterolepa sp.,Hoeglundina elegans,Hopkinsina spp.,Hormosina globulifera,Hormosina spp.,Hyalina balthica,Hyaline indet.,Hyalinonetrion gracillimum,Hyperammina elongata,Hyperammina laevigata,Hyperammina spp.,Islandiella islandica,Jaculella obtusa,Karreriella bradyi,Karreriella spp.,Karrerulina spp.,Labrospira jeffreysi,Labrospira sp.,Laevidentalina spp.,Lagena costata,Lagena gracilis,Lagena hispidula,Lagena semistriata,Lagena spp.,Lagenammina spp.,Laticarinina pauperata,Lenticulina gibba,Lenticulina rotulata,Lenticulina spp.,Lingulina seminuda,Lingulina spp.,Loxostomina cf. major,Loxostomina major,Loxostomum spp.,Comment,File Data,eodp_id
339-U1391C-2R-CC-PAL-FORAM,339,U1391,C,2,2-CC,R,CC,PAL,FORAM,0,5,345,345.05,,,,P,,,,,,,,,,,,,,,,P,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,P,,,,,,,,,,,,,32d127927b668cd98638434b10231706
339-U1391C-3R-CC-PAL-FORAM,339,U1391,C,3,3-CC,R,CC,PAL,FORAM,0,5,354.48,354.53,,,,,,,,,,,,,,,,,,,,P,,,,P,,,R,,,,,,,,,,,,,,,R,,,,R,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,5eddc66025fa744e912e5b6429f9d1c7
339-U1391C-4R-CC-PAL-FORAM,339,U1391,C,4,4-CC,R,CC,PAL,FORAM,0,7,357.91,357.98,,,,P,,,,,,,,,,,,,,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,P,,,,,,,,,,,,,,R,,,,,,,,de8227b7e758b11e88cd170973bcdebf
339-U1391C-5R-CC-PAL-FORAM,339,U1391,C,5,5-CC,R,CC,PAL,FORAM,0,5,374.48,374.53,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,R,P,,,,,,,,,,,,,,P,,,,,,,,f2401de9d40902dbb4641c5ad521b8bb
339-U1391C-6R-CC-PAL-FORAM,339,U1391,C,6,6-CC,R,CC,PAL,FORAM,0,5,377.32,377.37,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,b164f9880b9e8e56fae3e327f35d146c
339-U1391C-7R-CC-PAL-FORAM,339,U1391,C,7,7-CC,R,CC,PAL,FORAM,0,5,391.44,391.49,,,,R,,,,,,,P,,,,,,,,R,P,,,,,,,R,,,,,,,,,,,,,,P,P,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,6d8ba287af19cc645e99597fa5590267
339-U1391C-8R-CC-PAL-FORAM,339,U1391,C,8,8-CC,R,CC,PAL,FORAM,0,5,399.87,399.92,,,,R,,,,,,,,,,,,,,,,R,,,,,,,P,,R,,,,,,,,,,,,,R,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,e5fa05529a26f498b311f16240cf211a
339-U1391C-10R-CC-PAL-FORAM,339,U1391,C,10,10-CC,R,CC,PAL,FORAM,0,5,419.55,419.6,,,,R,,,,,,,,,,,,,,,,F,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,P,,,,,,,,,,,,,128aaf4df1d761f37bb8a5a1c8e28d5c
339-U1391C-12R-CC-PAL-FORAM,339,U1391,C,12,12-CC,R,CC,PAL,FORAM,0,5,441.6,441.65,,,,R,,,,,,,,,,,P,,,,,F,,,,,,,P,,A,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,25911ffb0221b5e1a5ddba5e0d28ce5b
339-U1391C-14R-CC-PAL-FORAM,339,U1391,C,14,14-CC,R,CC,PAL,FORAM,0,5,460.79,460.84,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,c89655694e70fc49a1b598a0471d5f2b
