Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,,eodp_id
339-U1387C-2R-CC-PAL-NANNO,339,U1387,C,2,2-CC,R,CC,PAL,NANNO,0,5,299.54,299.59,G,VA,,,,,,,F,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,VA,,,F,,,,,,,,,,,R,C,,,,,,VA,,,,,,R,,,,,,,,,,,,,,,,,,,large gephyr,,,11b210f0601fc9cdfb6fe5a970c26425
339-U1387C-3R-CC-PAL-NANNO,339,U1387,C,3,3-CC,R,CC,PAL,NANNO,0,5,308.31,308.36,G,A,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,F,,,,,,R,,,,,,F,,,,,,A,,,,,,,,,,,,,,,,,,R,,,,,,,large gephy,,,0506814594cd187ac585ffcc070f648b
339-U1387C-5R-CC-PAL-NANNO,339,U1387,C,5,5-CC,R,CC,PAL,NANNO,0,5,327.64,327.69,G,A,,,,,,,F,C,,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large gephy,,,5deea53d1b8baf67e3afb7ae1db969d0
339-U1387C-6R-CC-PAL-NANNO,339,U1387,C,6,6-CC,R,CC,PAL,NANNO,0,5,336.25,336.3,G,A,,,,,,,,C,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,F,,,,,,,,,,,R,F,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,large Geph. 5.5 R,,,621f31b78662994ac515fe2ce6580550
339-U1387C-7R-CC-PAL-NANNO,339,U1387,C,7,7-CC,R,CC,PAL,NANNO,0,5,346,346.05,G,A,,,,,,,,C,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,R,,,,,,R,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,large Geph. 5.5 R,,,33508b5cb0acb8c6400227ace133d3fb
339-U1387C-8R-CC-PAL-NANNO,339,U1387,C,8,8-CC,R,CC,PAL,NANNO,0,5,357.47,357.52,G,A,,,,,,,F,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,F,R,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,6f8e36f996ad5ff90f46502736eef6d6
339-U1387C-9R-CC-PAL-NANNO,339,U1387,C,9,9-CC,R,CC,PAL,NANNO,0,5,365.2,365.25,G,A,,,,,,,R,R,R,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,R,,A,,,,,,,,,R,,,,,,R,,,,,F,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,6da6cae5566ced82d88761527637892b
339-U1387C-10R-CC-PAL-NANNO,339,U1387,C,10,10-CC,R,CC,PAL,NANNO,0,5,376.49,376.54,G,A,,,,,,,,,C,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,R,,A,,,R,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,943f4eac166756440c7ba19a720690f3
339-U1387C-11R-CC-PAL-NANNO,339,U1387,C,11,11-CC,R,CC,PAL,NANNO,0,5,386.08,386.13,G,A,,,,,,,F,F,C,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,R,,,,,,C,,,,,R,,,,,,C,A,,,,,,R,R,,,,,,,,,,,R,,,,,,,,,,e044409d69e8ad090bb3b30c0f379a7d
339-U1387C-12R-CC-PAL-NANNO,339,U1387,C,12,12-CC,R,CC,PAL,NANNO,0,5,395.41,395.46,M-P,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,R,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,a81c46d7baedd3511ea0a9c170d19a50
