Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data,eodp_id
339-U1386A-1H-CC-PAL-FORAM,339,U1386,A,1,1-CC,H,CC,PAL,FORAM,0,5,3.81,3.86,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,P,,,,,,,,,R,R,,P,,,,,,6b3bb72908235b2ae8f2b7705b305584
339-U1386A-2H-CC-PAL-FORAM,339,U1386,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.48,13.53,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,R,,,F,,,,,,,,,F,,,,,,,,,e1c75d45a4bf7909d5921d35a4383819
339-U1386A-3H-CC-PAL-FORAM,339,U1386,A,3,3-CC,H,CC,PAL,FORAM,0,5,23.22,23.27,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,A,,R,,,,,,,R,A,,,,,,,,560e7213ae72bb8478cdcbb3b9e67e8b
339-U1386A-4H-CC-PAL-FORAM,339,U1386,A,4,4-CC,H,CC,PAL,FORAM,0,5,33.11,33.16,G,A,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,,,P,,R,,,,,A,,R,,,,P,,,,F,,R,,,,,,1b2f8b118138dbce57462c167ff3d79f
339-U1386A-5H-CC-PAL-FORAM,339,U1386,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.18,42.23,G,A,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,P,,,D,,R,,,,R,,,,,,R,,,,,,7fc911fa096170d0163c1b154b93255b
339-U1386A-6H-CC-PAL-FORAM,339,U1386,A,6,6-CC,H,CC,PAL,FORAM,0,5,50.31,50.36,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,D,,P,,,,,,,P,F,,,,,,,,15144889f38e640be00bc0aeff92af7c
339-U1386A-7H-CC-PAL-FORAM,339,U1386,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.22,61.27,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,R,,,,,,,,,P,F,,R,,,,,,bdec7977dcf05335750b1401029a825b
339-U1386A-8H-CC-PAL-FORAM,339,U1386,A,8,8-CC,H,CC,PAL,FORAM,0,5,70.62,70.67,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,R,,,,,R,,,,,,,,,,,,P,,,,,,6e0fd779deec2cc7d66061012874f63e
339-U1386A-9H-CC-PAL-FORAM,339,U1386,A,9,9-CC,H,CC,PAL,FORAM,0,5,80.13,80.18,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,A,,,,R,,,F,,,,,,A,,,,,,R,,,,,,ccc4a095b48fab1c862aa41fdc426e59
339-U1386A-10H-CC-PAL-FORAM,339,U1386,A,10,10-CC,H,CC,PAL,FORAM,0,5,90.23,90.28,G,A,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,R,,,R,P,,,,,,,,R,R,R,,,,,,,43cbf446c5991e9ce5a7983364bd942b
