Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Circodiscus (Porodiscus) circularis,Cycladophora nakasekoi,Cycladophora sakaii,Lithelius barbatus,Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
341-U1419A-1H-CC-PAL-RADS,0,5,7.38,7.43,B. aquilonaris,Botyrostrobus aquilonaris,,G,C,,,,,,,,F,R,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,R,,,,,,,,,,,,,,,,,R,R,R,R,,,,,,,,,,,,,,,,,,,,341,U1419,A,1,H,CC,PAL,36d5685577eb7301df6cb8e73d7a46b3
341-U1419A-2H-CC-PAL-RADS,0,5,17.15,17.2,B. aquilonaris,Botyrostrobus aquilonaris,,M,R,,,,,,,,,R,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,2,H,CC,PAL,962e10197d100db2dea256ad855ff25c
341-U1419A-3H-CC-PAL-RADS,0,5,26.6,26.65,B. aquilonaris,Botyrostrobus aquilonaris,,M,R,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,3,H,CC,PAL,9d34ee00444719cc04fce466eb26fc28
341-U1419A-5H-CC-PAL-RADS,0,1,35.91,35.92,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,5,H,CC,PAL,5e4a3cd2f28f9d23fe5e1839ce8ee15b
341-U1419A-6H-CC-PAL-RADS,0,5,48.04,48.09,B. aquilonaris,Botyrostrobus aquilonaris,,M,R,,,,,,,,,R,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,R,,,,,,,,F,,,,,,,,R,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,341,U1419,A,6,H,CC,PAL,3c616033e0ea571f4b3d8f5543963190
341-U1419A-8H-CC-PAL-RADS,0,5,68.16,68.21,B. aquilonaris,Botyrostrobus aquilonaris,,M,R,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,8,H,CC,PAL,8faa87a9c766619934e98f5bf003edaa
341-U1419A-9H-CC-PAL-RADS,0,5,75.02,75.07,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,9,H,CC,PAL,6addad7c7bd1d8001458baaf0a612e1b
341-U1419A-10H-CC-PAL-RADS,0,5,83.74,83.79,B. aquilonaris,Botyrostrobus aquilonaris,,G,A,,,,,,,,R,F,,,,R,,,,,A,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,F,,,,,,C,,,,,,,,F,,,,R,,,,,R,F,,,,,,,,,,,,,,,,,C,,,,,341,U1419,A,10,H,CC,PAL,25b78c5aee48f6a62971495bf2b72134
341-U1419A-11H-CC-PAL-RADS,0,5,88.24,88.29,B. aquilonaris,Botyrostrobus aquilonaris,,G,A,,,,,,,,R,F,,,,R,,,,,A,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,A,,,,,,,,C,,,,,,,,,,,,R,,,,,C,,,,,,,,,,,,,,,,,,R,,,,,341,U1419,A,11,H,CC,PAL,8d1821b816ef21dceb89dbafbdfeffb4
341-U1419A-12H-CC-PAL-RADS,0,5,97.71,97.76,B. aquilonaris,Botyrostrobus aquilonaris,,G,A,,,,,,,,R,F,,,,,,,,,A,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,A,,R,,,,,,A,,,,,,,,R,,,,,,,,,F,,,,,,,,,,,,,,,,,,C,,,,,341,U1419,A,12,H,CC,PAL,f024d407783885aa0de15e6c8f864369
