Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia pseudoampliapertura,Turborotalia increbescens,Tenuitella gemma,Subbotina utilisindex,Subbotina praeturritilina,Subbotina angiporoides angiporoides,Subbotina angiporoides,Pseudohastigerina naguewichiensis,Pseudohastigerina micra,Pseudohastigerina barbadoensis,Paragloborotalia opima nana,Globorotaloides suteri,Globoquadrina tripartita,Globoquadrina tapuriensis,Globigerina venezuelana,Globigerina sp. aff. G. ampliapertura,Globigerina euapertura,Globigerina ampliapertura,Dentoglobigerina galavisi,Chiloguembelinid (unspecified taxon or taxa),Catapsydrax martini,Cassigerinella chipolensis,Tenuitella angustiumbilicata,Paragloborotalia pseudocontinuosa,Globorotaloides sp. 1,Globigerina prasaepis,Dentoglobigerina sp. aff. D. larmeui,Dentoglobigerina larmeui,Catapsydrax unicavus,Catapsydrax sp.,Catapsydrax dissimilis dissimilis,Tenuitella clemenciae,Globorotaloides variabilis,Globigerina ouachitaensis,Dentoglobigerina galavisi/baroemoenensis,Dentoglobigerina baroemoenensis,Turborotalia pseudoampliapertura/increbescens,Paragloborotalia siakensis,Globoquadrina tripartita/sellii,Globoquadrina sellii,Globigerina praebulloides occlusa,Globigerina officinalis,Cassigerinella globulosa,Cassigerinella martinezpicoi,Tenuitella munda,Subbotina gortanii,Globoquadrina praedehiscens,Dentoglobigerina globularis,Globoquadrina rohri,Globorotaloides permicus,Tenuitella clemenciae/munda,Subbotina brazieri,Paragloborotalia sp.,Paragloborotalia opima opima,Globorotalia obesa,Globigerinita juvenilis,Globigerina angulisuturalis,Globigerina anguliofficinalis,Dentoglobigerina globularis/altispira globosa,Dentoglobigerina altispira globosa,Catapsydrax dissimilis ciperoensis,Protentella sp. 1,Protentella sp.,Paragloborotalia semivera,Globigerinita juvenilis/uvula,Globigerina sp. 2,Globigerina sp. 1,Globigerina praebulloides,Globigerina ciperoensis,Protentella clavaticamerata,Globoquadrina binaiensis,Globigerinoides primordius,Globigerinoides praeprimordius,Globorotalia pseudokugleri,Globigerina woodi,Globigerina fariasi,Globorotalia pseudokugleri (ancestral form),Globigerinella? sp.,Globigerina ciperoensis ottnangiensis,Globorotaloides sp. 2,Globorotalia obesa/praesiphonifera,Globorotalia opima nana,Globorotalia mayeri/siakensis,Globoquadrina venezuelana,Globigerina angustiumbilicata,Catapsydrax dissimilis,Protentella navazuelensis,Globoquadrina praedehiscens/dehiscens,Globoquadrina dehiscens,Globorotalia kugleri,Dentoglobigerina altispira altispira,Protentella sp. aff. P. prolixa,Globorotalia pseudokugleri/kugleri,Globorotaloides sp. aff. G. stainforthi,Globigerinita uvula,Globigerinoides quadrilobatus s.l.,Globigerinoides altiaperturus,Globigerinoides obliquus obliquus,Globigerinoides ruber s.l.,Globigerinita glutinata,Globigerinatella insueta,Catapsydrax stainforthi,Sphaeroidinellopsis disjuncta,Praeorbulina sicana,Praeorbulina glomerosa curva,Globigerinoides diminutus,Globigerinoides bisphericus,Praeorbulina transitoria,Praeorbulina glomerosa glomerosa,Globorotalia peripheroronda,Globorotalia scitula,Globorotalia praescitula,Globigerinoides mitra,Orbulina universa,Orbulina suturalis,Globigerinella praesiphonifera,Globorotalia praefohsi,Globorotalia peripheroacuta,Sphaeroidinellopsis kochi,Globorotalia miozea,Globorotalia fohsi lobata,Globorotalia fohsi fohsi,Sphaeroidinellopsis seminulina,Globoturborotalita nepenthes,Globorotaloides hexagona,Globigerinella siphonifera,Globorotalia menardii s.l.,Globorotalia limbata,Globigerinoides obliquus extremus,Neogloboquadrina acostaensis,Candeina nitida,Neogloboquadrina humerosa,Pulleniatina primalis,Globorotalia tumida tumida,Globorotalia plesiotumida,Globorotalia juanai,Globigerinoides conglobatus,Globorotalia margaritae,Pulleniatina obliquiloculata,Globorotalia tumida flexuosa,Sphaeroidinella dehiscens,Globoquadrina conglomerata,Globorotalia crassaformis,Globigerinoides elongatus,Neogloboquadrina dutertrei,Globigerinoides fistulosus,Globorotalia tosaensis,Globorotalia truncatulinoides,Globigerinella calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,115, 707,A,  3,H, 1, 107.00,     17.2700,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                                ,                         ,                ,                     ,                         ,                                   ,                      ,                                 ,                       ,                              ,                           ,                      ,                        ,                         ,                       ,                                     ,                      ,                         ,                         ,                                            ,                   ,                          ,                            ,                                 ,                     ,                     ,                                    ,                        ,                    ,               ,                                 ,                     ,                          ,                         ,                                        ,                               ,                                             ,                          ,                               ,                    ,                                 ,                       ,                        ,                            ,                ,                  ,                           ,                           ,                   ,                        ,                           ,                  ,                    ,                            ,                  ,                       ,                           ,                             ,                                             ,                                  ,                                  ,                 ,               ,                         ,                             ,                 ,                 ,                         ,                       ,                           ,                        ,                          ,                              ,                          ,                 ,                   ,                                           ,                   ,                                     ,                     ,                                  ,                       ,                             ,                         ,                             ,                      ,                         ,                                     ,                       ,                    ,                                    ,                               ,                                  ,                                       ,                   ,+                                 ,                             ,                                 ,+                         ,                       ,                        ,                       ,                             ,                   ,                            ,                         ,                           ,                        ,                                ,                           ,+?                  ,                        ,                     ,+                ,                  ,                              ,                      ,                           ,                         ,                   ,                         ,                        ,                              ,                            ,+                       ,+                         ,+                         ,+                   ,+                                ,                            ,+              ,+                        ,                     ,+                         ,                         ,                   ,+                          ,                       ,+                           ,                            ,+                        ,+?                        ,+                        ,                         ,+                         ,+                         ,                      ,                             ,                     ,benthic foraminifers few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 5. page 804-807.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 707,A,  3,H, 2, 107.00,     18.7700,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                                ,                         ,                ,                     ,                         ,                                   ,                      ,                                 ,                       ,                              ,                           ,                      ,                        ,                         ,                       ,                                     ,                      ,                         ,                         ,                                            ,                   ,                          ,                            ,                                 ,                     ,                     ,                                    ,                        ,                    ,               ,                                 ,                     ,                          ,                         ,                                        ,+                              ,                                             ,                          ,                               ,                    ,                                 ,                       ,                        ,                            ,                ,                  ,                           ,                           ,                   ,                        ,                           ,                  ,                    ,                            ,                  ,                       ,                           ,                             ,                                             ,+                                 ,                                  ,                 ,               ,                         ,                             ,                 ,                 ,                         ,                       ,                           ,                        ,                          ,                              ,                          ,                 ,                   ,                                           ,                   ,                                     ,                     ,                                  ,                       ,                             ,                         ,                             ,                      ,                         ,                                     ,                       ,                    ,                                    ,                               ,                                  ,                                       ,                   ,+                                 ,                             ,                                 ,+                         ,                       ,                        ,                       ,                             ,                   ,                            ,                         ,                           ,                        ,                                ,                           ,+?                  ,                        ,                     ,+                ,                  ,                              ,                      ,                           ,                         ,                   ,                         ,                        ,+                             ,                            ,+                       ,+                         ,+                         ,+                   ,+                                ,                            ,               ,+                        ,+                    ,+                         ,                         ,                   ,+                          ,                       ,+                           ,                            ,+                        ,+?                        ,+?                       ,                         ,+?                        ,+                         ,                      ,                             ,                     ,planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 5. page 804-807.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 707,A,  3,H, 3, 107.00,     20.2700,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                                ,                         ,                ,                     ,                         ,                                   ,                      ,                                 ,                       ,                              ,                           ,                      ,                        ,                         ,                       ,                                     ,                      ,                         ,                         ,                                            ,                   ,                          ,                            ,                                 ,                     ,                     ,                                    ,                        ,                    ,               ,                                 ,                     ,                          ,                         ,                                        ,+                              ,                                             ,                          ,                               ,                    ,                                 ,                       ,                        ,                            ,                ,                  ,                           ,                           ,                   ,                        ,                           ,                  ,                    ,                            ,                  ,                       ,                           ,                             ,                                             ,+                                 ,                                  ,                 ,               ,                         ,                             ,                 ,                 ,                         ,                       ,                           ,                        ,                          ,                              ,                          ,                 ,                   ,                                           ,                   ,                                     ,                     ,                                  ,                       ,                             ,                         ,                             ,                      ,                         ,                                     ,                       ,                    ,+                                   ,                               ,                                  ,                                       ,                   ,+                                 ,                             ,                                 ,+                         ,                       ,                        ,                       ,                             ,                   ,                            ,                         ,                           ,                        ,                                ,                           ,+?                  ,                        ,                     ,+                ,                  ,                              ,                      ,                           ,                         ,                   ,                         ,                        ,+                             ,                            ,+                       ,+                         ,+                         ,+                   ,+                                ,                            ,+              ,+                        ,+                    ,+                         ,                         ,                   ,+                          ,                       ,+                           ,                            ,+                        ,+?                        ,+                        ,                         ,+?                        ,+?                        ,                      ,                             ,                     ,planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 5. page 804-807.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 707,A,  3,H, 4, 107.00,     21.7700,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                                ,                         ,                ,                     ,                         ,                                   ,                      ,                                 ,                       ,                              ,                           ,                      ,                        ,                         ,                       ,                                     ,                      ,                         ,                         ,                                            ,                   ,                          ,                            ,                                 ,                     ,                     ,                                    ,                        ,                    ,               ,                                 ,                     ,                          ,                         ,                                        ,+                              ,                                             ,                          ,                               ,                    ,                                 ,                       ,                        ,                            ,                ,                  ,                           ,                           ,                   ,                        ,                           ,                  ,                    ,                            ,                  ,                       ,                           ,                             ,                                             ,+                                 ,                                  ,                 ,               ,                         ,                             ,                 ,                 ,                         ,                       ,                           ,                        ,                          ,                              ,                          ,                 ,                   ,                                           ,                   ,                                     ,                     ,                                  ,                       ,                             ,                         ,                             ,                      ,                         ,                                     ,                       ,                    ,+                                   ,                               ,                                  ,                                       ,                   ,+                                 ,                             ,                                 ,+                         ,                       ,                        ,                       ,                             ,                   ,                            ,                         ,                           ,                        ,                                ,                           ,                    ,                        ,                     ,+                ,                  ,                              ,                      ,                           ,                         ,                   ,                         ,                        ,+                             ,                            ,+                       ,+                         ,+                         ,+                   ,+                                ,+?                          ,               ,+                        ,+                    ,+                         ,                         ,                   ,+                          ,+?                     ,+                           ,+?                          ,+                        ,+                         ,+                        ,+?                       ,                          ,                          ,                      ,                             ,                     ,planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 5. page 804-807.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 707,A,  3,H,CC,   6.00,     22.4100,Vincent  ,Planktonic Foraminifers                      ,               ,G                 ,                                ,                         ,                ,                     ,                         ,                                   ,                      ,                                 ,                       ,                              ,                           ,                      ,                        ,                         ,                       ,                                     ,                      ,                         ,                         ,                                            ,                   ,                          ,                            ,                                 ,                     ,                     ,                                    ,                        ,                    ,               ,                                 ,                     ,                          ,                         ,                                        ,+                              ,                                             ,                          ,                               ,                    ,                                 ,                       ,                        ,                            ,                ,                  ,                           ,                           ,                   ,                        ,                           ,                  ,                    ,                            ,                  ,                       ,                           ,                             ,                                             ,+                                 ,                                  ,                 ,               ,                         ,                             ,                 ,                 ,                         ,                       ,                           ,                        ,                          ,                              ,                          ,                 ,                   ,                                           ,                   ,                                     ,                     ,                                  ,                       ,                             ,                         ,                             ,                      ,                         ,                                     ,                       ,                    ,+                                   ,                               ,                                  ,                                       ,                   ,+                                 ,                             ,+?                               ,+                         ,                       ,                        ,                       ,                             ,                   ,                            ,                         ,                           ,                        ,                                ,                           ,                    ,                        ,                     ,+                ,                  ,                              ,                      ,                           ,                         ,                   ,                         ,                        ,+                             ,                            ,+                       ,+                         ,+                         ,+                   ,+                                ,+?                          ,               ,+                        ,+                    ,+                         ,                         ,                   ,+                          ,                       ,+                           ,+                           ,+                        ,+                         ,+?                       ,+?                       ,                          ,                          ,                      ,                             ,                     ,benthic foraminifers few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 5. page 804-807.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
