Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stensioina beccariiformis	Spiroplectammina grzybowskii	Ramulina sp.	Pyrulina cylindroides	Pullenia cretacea	Praebulimina reussi	Planularia tricarinella	Nuttallinella coronula	Notoplanulina rakauroana	Nodosaria aff. affinis	Marssonella oxycona	Loxostomum sp. 2	Lenticulina sp. 1	Lenticulina navicula	Lenticulina macrodisca	Lagena aff. aspera	Gyroidinoides quadratus	Gyroidinoides nitidus	Gaudryina rugosa	Ellipsocristellaria sp.	Dentalina sp. A.	Dentalina sp.	Dentalina legumen	Dentalina basitorta	Cibicides ribbingi	Bolivinoides strigillatus	Astacolus cf. richteri	Dentalina cf. sororia	Lenticulina sp.	Gyroidina noda	Eouvigerina sculptura	Spiroplectammina paula	Planularia dissona	Nodosaria sp.	Gyroidinoides diversus	Globorotalites umbilicatus	Valvulineria lenticula	Spiroplectammina laevis	Pyramidina szajnochae	Marginulina trilobata	Marginulina sp. 1	Gavelinella excavata           	Dorothia confraga	Conorboides sp.	Alabamina australis	Osangularia cf. cordieriana	Valvulineria sp.	Notoplanulina aff. compressa	Quadrimorphina allomorphinoides	Gavelinella insculpta	Gavelinella eriksdalensis	Foraminifer (gen. et sp. Indet)	Pullenia americana	Praebulimina plana	Loxostomum eleyi	Pyramidina sp. 3	Osangularia sp.	Nodosaria prismatica	Gyroidinoides exsertus	Gavelinella sp. 2	Frondicularia intermittens	Frondicularia archiaciana	Ellipsopolymorphina sp.	Cibicides sp.	Gavelinella velascoensis	Eouvigerina hispida	Dentalina stephensoni	Dentalina catenula	Osangularia cordieriana	Lagena sp. indet.	Pleurostomella subnodosa	Globulina sp.	Dentalina luma	Anomalinoides sp.	Pyramidina rudita	Dentalina cf. inornata	Bolivinopsis rosula	Marginulina cf. decorata	Loxostomum sp. 1	Globulina lacrima	Glandulina sp.	Gavelinella stephensoni	Ellipsoidella gracillima	Dainita sp.	Polymorphinid [gen. et sp. indet.]	Globulina prisca	Osangularia velascoensis	Oolina apiculata	Ramulina sp. B (Belford)	Nodosaria aspera	Praebulimina sp. 1	Oolina globosa	Lagena exsculpta	Dorothia sp.	Bolivinoides sirticus	Aragonia sp. 1	Quadrimorphina sp.	Gyroidinoides globosa	Dentalina reflexa	Bolivinoides granulatus	Nodosaria sp.	Neoflabellina rugosa	Marginulina sp. 2	Dorothia conicula	Coryphostoma midwayensis	Arenobulimina americana	Praebulimina sp. 2	Gavelinella stellula	Lagena sp.	Marginulina texasensis	Praebulimina callahani	Stilostomella pseudoscripta	Quinqueloculina sp.	Pyramidina triangularis	Praebulimina cf. prolixa	Lingulina sp 1	Lenticulina acutauricula	Lagena semiinterrupta	Guttulina subsphaerica	Dentalina marcki	Gavelinella sandidgei	Lenticulina discrepans	Ramulina cf. navarroana	Pseudoclavulina sp.	Pleurostomella sp.	Lagena aff. plumigera	Gyroidinoides sp.	Clavulinoides sp.	Pyrulina apiculata	Nodosaria cf. proboscidea	Bolivinoides draco draco	Valvulina spinosa	Uvigerina spp.	Uvigerina hispidocostata	Uvigerina havanensis	Uvigerina graciliformis	Uvigerina elongata	Turrilina robertsi/brevispira	Turrilina alsatica	Tritaxia spp.	Trifarina sp.	Tappanina selmensis	Stilostomella spp.	Spiroplectammina spectabilis	Siphotextularia sp.	Rhabdammina/Hyperammina (unspecified taxon or taxa)	Rectuvigerina multicostata	Quadrimorphina spp.	Pullenia subcarinata	Pullenia eocaenica	Pullenia coryelli	Pullenia bulloides	Pleurostomella sp.	Plectofrondicularia sp.	Plectina elongata	Osangularia mexicana	Osangularia culter	Orthomorphina sp.	Oridorsalis umbonatus	Nuttallides umbonifera	Nuttallides truempyi	Nonion sp. 6	Nonion havanensis	Nodosaria spp.	Neoeponides hillebrandti	Neoeponides cf. lunata	Melonis affinis	Martinottiella nodulosa	Marginulina spp.	Lenticulina whitei	Lenticulina spp.	Laticarinina pauperata	Lagena sp.	Karreriella subglabra	Karreriella spp.	Karreriella sp.	Karreriella chapapotensis	Karreriella bradyi	Hanzawaia spp.	Hanzawaia cushmani	Gyroidinoides spp.	Gyroidinoides soldanii	Gyroidina spp.	Gyroidina sp. "small"	Gyroidina lamarckiana	Glomospira charoides	Globocassidulina subglobosa	Gavelinella danica	Gaudryina cf. laevigata	Fursenkoina spp.	Fissurina spp.	Eponides sp. 31	Epistominella exigua	Eggerella sp.	Eggerella bradyi	Dentalina spp.	Cibicidoides velascoensis	Cibicidoides subspiratus	Cibicidoides sp.	Cibicidoides praemundulus	Cibicidoides pachyderma	Cibicidoides mundulus	Cibicidoides micrus	Cibicidoides laurisae	Cibicidoides eocaenus	Cibicidoides bradyi	Cassidulina cf. havanense	Buliminella grata	Bulimina trinitatensis	Bulimina trihedra	Bulimina thanetensis	Bulimina striata	Bulimina spp.	Bulimina semicostata	Bulimina navarroensis	Bulimina macilenta	Bulimina jarvisi	Bulimina elongata	Bulimina bradburyi	Bulimina alazanensis	Bolivinoides delicatulus	Bolivina spp.	Astrononion pusillum	Aragonia velascoensis	Aragonia aragonensis	Anomalinoides spp.	Anomalinoides spissiformis	Anomalinoides semicribratus	Anomalinoides capitatus	Anomalina praeacuta	Alabamina dissonata	Alabamina creta	Abyssamina poagi	Cibicidoides mexicanus	Bulimina glomarchallengeri	Hormosina ovulum-ovuloides	Bulimina impendens	Eponides tumidulus	Cribrostomoides spp.	Reophax spp.	Buliminoides sp.	Bulimina cf. alazanensis	Comment



  SR	                 	                 	                  	              	120	 747	A	 14	H	CC	  14.00	    132.7400	Mackensen	Benthic Foraminifers                         	               	                  	.0%                      	                            	            	                     	                 	                   	                       	                      	                        	                      	                   	                	                 	                    	                      	                  	                       	                     	                	                       	                	             	                 	                   	                  	                         	                      	                     	               	              	                     	                      	                  	             	                      	                          	                      	                       	                     	                     	                 	                               	                 	               	                   	                           	                	                            	                               	                     	                         	                               	                  	                  	                	                	               	                    	                      	                 	                          	                         	                       	             	                        	                   	                     	                  	                       	                 	                        	             	              	                 	.0%              	                      	                   	                        	                	                 	              	                       	                        	           	                                  	                	.0%                     	                	                        	                	                  	              	                	            	                     	              	                  	                     	                 	                       	.0%          	                    	                 	                 	.0%                     	                       	                  	                    	          	                      	                      	                           	                   	                       	                        	              	                        	                     	                      	                	                     	                      	                       	                   	                  	                     	                 	                 	                  	                         	                        	.0%              	6.1%          	.0%                     	.0%                 	.0%                    	.0%               	.0%                          	.0%               	.0%          	.0%          	.0%                	25.8%             	.0%                         	.0%                	.0%                                                	.0%                       	.0%                	.0%                 	.0%               	.0%              	.0%               	.0%               	.0%                    	.0%              	.0%                 	.0%               	.0%              	1.5%                 	7.6%                  	.0%                 	.0%         	.0%              	              	.0%                     	.0%                   	.0%            	.0%                    	.0%             	.0%               	.0%             	4.5%                  	1.5%      	.0%                  	.0%             	               	.0%                      	.0%               	.0%           	.0%               	.0%               	.0%                   	4.5%          	.0%                  	.0%                  	.0%                 	3.0%                       	.0%               	.0%                    	.0%             	4.5%          	.0%            	3.0%                	.0%          	4.5%            	.0%           	.0%                      	.0%                     	.0%             	.0%                      	.0%                    	19.7%                	.0%                	.0%                  	.0%                  	.0%                	3.0%                     	.0%              	.0%                   	.0%              	.0%                 	.0%             	.0%          	.0%                 	.0%                  	.0%               	.0%             	.0%              	.0%               	1.5%                	.0%                     	.0%          	3.0%                	.0%                  	.0%                 	.0%               	.0%                       	.0%                        	.0%                    	.0%                	.0%                	.0%            	.0%             	                      	                          	                          	                  	                  	                    	1           	1               	1                       	Indeterminant specimens = 3%; All others = 3%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619

  SR	                 	                 	                  	              	120	 747	A	 15	H	CC	  12.00	    142.3300	Mackensen	Benthic Foraminifers                         	               	                  	.0%                      	                            	            	                     	                 	                   	                       	                      	                        	                      	                   	                	                 	                    	                      	                  	                       	                     	                	                       	                	             	                 	                   	                  	                         	                      	                     	               	              	                     	                      	                  	             	                      	                          	                      	                       	                     	                     	                 	                               	                 	               	                   	                           	                	                            	                               	                     	                         	                               	                  	                  	                	                	               	                    	                      	                 	                          	                         	                       	             	                        	                   	                     	                  	                       	                 	                        	             	              	                 	.0%              	                      	                   	                        	                	                 	              	                       	                        	           	                                  	                	.0%                     	                	                        	                	                  	              	                	            	                     	              	                  	                     	                 	                       	.0%          	                    	                 	                 	.0%                     	                       	                  	                    	          	                      	                      	                           	                   	                       	                        	              	                        	                     	                      	                	                     	                      	                       	                   	                  	                     	                 	                 	                  	                         	                        	.0%              	9.1%          	.0%                     	.0%                 	.0%                    	.0%               	.0%                          	.0%               	.0%          	.0%          	.0%                	12.1%             	.0%                         	.0%                	.0%                                                	.0%                       	1.5%               	.0%                 	.0%               	.0%              	4.5%              	1.5%              	.0%                    	.0%              	.0%                 	.0%               	.0%              	3.0%                 	7.6%                  	.0%                 	1.5%        	.0%              	              	.0%                     	.0%                   	3.0%           	.0%                    	.0%             	.0%               	.0%             	6.1%                  	.0%       	.0%                  	.0%             	               	.0%                      	.0%               	.0%           	.0%               	.0%               	.0%                   	6.1%          	.0%                  	.0%                  	.0%                 	3.0%                       	.0%               	.0%                    	1.5%            	.0%           	.0%            	.0%                 	.0%          	.0%             	.0%           	.0%                      	.0%                     	13.6%           	.0%                      	.0%                    	13.6%                	.0%                	.0%                  	.0%                  	4.5%               	1.5%                     	.0%              	.0%                   	.0%              	.0%                 	.0%             	.0%          	.0%                 	.0%                  	.0%               	.0%             	.0%              	.0%               	.0%                 	.0%                     	.0%          	3.0%                	.0%                  	.0%                 	.0%               	.0%                       	.0%                        	.0%                    	.0%                	.0%                	.0%            	.0%             	                      	                          	                          	                  	                  	                    	            	                	                        	Indeterminant specimens = 3%; All others = 0%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619

  SR	                 	                 	                  	              	120	 747	A	 16	H	CC	  20.00	    151.9100	Mackensen	Benthic Foraminifers                         	               	                  	.0%                      	                            	            	                     	                 	                   	                       	                      	                        	                      	                   	                	                 	                    	                      	                  	                       	                     	                	                       	                	             	                 	                   	                  	                         	                      	                     	               	              	                     	                      	                  	             	                      	                          	                      	                       	                     	                     	                 	                               	                 	               	                   	                           	                	                            	                               	                     	                         	                               	                  	                  	                	                	               	                    	                      	                 	                          	                         	                       	             	                        	                   	                     	                  	                       	                 	                        	             	              	                 	.0%              	                      	                   	                        	                	                 	              	                       	                        	           	                                  	                	.0%                     	                	                        	                	                  	              	                	            	                     	              	                  	                     	                 	                       	.0%          	                    	                 	                 	.0%                     	                       	                  	                    	          	                      	                      	                           	                   	                       	                        	              	                        	                     	                      	                	                     	                      	                       	                   	                  	                     	                 	                 	                  	                         	                        	.0%              	6.8%          	.0%                     	.0%                 	.0%                    	.0%               	.0%                          	.5%               	.0%          	.0%          	.0%                	1.5%              	.5%                         	.0%                	1.0%                                               	.0%                       	.0%                	2.0%                	.0%               	.0%              	2.0%              	1.0%              	.0%                    	.0%              	.0%                 	.0%               	.0%              	2.4%                 	7.8%                  	.0%                 	.0%         	.0%              	              	.0%                     	.0%                   	12.7%          	.0%                    	.0%             	.0%               	.5%             	5.4%                  	1.5%      	.0%                  	.0%             	               	.0%                      	.5%               	.0%           	.0%               	.0%               	.0%                   	7.8%          	.0%                  	.0%                  	1.0%                	6.8%                       	.0%               	.0%                    	.0%             	1.0%          	.0%            	.0%                 	.0%          	.0%             	.0%           	.0%                      	.0%                     	7.8%            	.0%                      	.0%                    	7.3%                 	.0%                	.0%                  	.0%                  	.0%                	1.5%                     	.0%              	.0%                   	.0%              	.0%                 	.0%             	.0%          	.0%                 	.0%                  	.0%               	.0%             	.0%              	.0%               	.0%                 	.0%                     	.0%          	17.6%               	.0%                  	.0%                 	.0%               	.0%                       	.0%                        	.0%                    	.0%                	.0%                	.0%            	.0%             	                      	                          	1                         	                  	2                 	1                   	            	                	                        	Indeterminant specimens = 1.5%; All others = 1.5%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619

  SR	                 	                 	                  	              	120	 747	A	 17	X	CC	  14.00	    159.6800	Mackensen	Benthic Foraminifers                         	               	                  	.0%                      	                            	            	                     	                 	                   	                       	                      	                        	                      	                   	                	                 	                    	                      	                  	                       	                     	                	                       	                	             	                 	                   	                  	                         	                      	                     	               	              	                     	                      	                  	             	                      	                          	                      	                       	                     	                     	                 	                               	                 	               	                   	                           	                	                            	                               	                     	                         	                               	                  	                  	                	                	               	                    	                      	                 	                          	                         	                       	             	                        	                   	                     	                  	                       	                 	                        	             	              	                 	.0%              	                      	                   	                        	                	                 	              	                       	                        	           	                                  	                	.0%                     	                	                        	                	                  	              	                	            	                     	              	                  	                     	                 	                       	.0%          	                    	                 	                 	.0%                     	                       	                  	                    	          	                      	                      	                           	                   	                       	                        	              	                        	                     	                      	                	                     	                      	                       	                   	                  	                     	                 	                 	                  	                         	                        	.0%              	18.6%         	.0%                     	.0%                 	.0%                    	.0%               	.0%                          	.0%               	.0%          	.0%          	.0%                	5.8%              	.0%                         	.0%                	4.7%                                               	.0%                       	.0%                	2.3%                	.0%               	.0%              	.0%               	.0%               	1.2%                   	.0%              	.0%                 	.0%               	.0%              	2.3%                 	3.5%                  	.0%                 	.0%         	.0%              	              	.0%                     	.0%                   	1.2%           	.0%                    	.0%             	.0%               	.0%             	8.1%                  	2.3%      	.0%                  	1.2%            	1              	.0%                      	1.2%              	.0%           	.0%               	.0%               	.0%                   	4.7%          	.0%                  	.0%                  	1.2%                	4.7%                       	.0%               	.0%                    	.0%             	1.2%          	1.2%           	.0%                 	.0%          	3.5%            	.0%           	.0%                      	.0%                     	.0%             	.0%                      	.0%                    	12.8%                	.0%                	1.2%                 	.0%                  	.0%                	.0%                      	.0%              	.0%                   	.0%              	.0%                 	.0%             	.0%          	.0%                 	.0%                  	.0%               	3.5%            	.0%              	.0%               	.0%                 	.0%                     	4.7%         	5.8%                	.0%                  	.0%                 	.0%               	.0%                       	.0%                        	.0%                    	.0%                	.0%                	.0%            	.0%             	                      	                          	1                         	3                 	                  	                    	            	                	                        	Indeterminant specimens = 0%; All others = 3.5%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
