Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylosphaera radiosa	Stylatractus santaeannae	Hexastylus spp.	Heliodiscus(?) sp. B	Actinomma sp. B	Stylosphaera sp. B	Siphocampe sp.	Orosphaera sp.	Lychnocanoma conica	Lamprocyclas sp.	Cenosphaera sp.	Carpocanarium papillosum	Amphistylus angelinus	Stylosphaera sp. C	Cycladophora sp.	Ceratocyrtis stigi	Prunopyle hayesi	Cyrtocapsella tetrapera	Corythospyris fiscella	Spongodiscus craticulatus	Lithartractus timmsi?	Actinomma magnifenestra	Hexalonche philosophica?	Cyrtocapsella longithorax	Cycladophora golli golli	Stylatractus universus	Stylacontarium bispiculum	Stauroxiphos communis	Eucyrtidium cienkowskii	Cycladophora golli regipileus	Stylatractus neptunus	Prunopyle sp. B	Dendrospyris stabilis	Acrosphaera spp.	Triceraspyris coronata	Eucyrtidium calvertense	Eucyrtidium punctatum	Stylosphaera sp. A	Eucyrtidium sp. B	Saturnalis circularis	Lampromitra coronata	Druppatractus hastatus	Dictyophimus crisiae	Desmospyris rhodospyroides	Circodiscus ellipticus	Lychnocanoma sp. B	Lamprocyclas aegles	Ceratocyrtis sp.	Calocyclas disparidens	Velicucullus sp.	Thyrsocyrtis clausa	Pterocanium sp.	Pterocanium korotnevi	Lamprocyrtis (?) cf. hannai	Hexacontium cf. enthacanthum	Gondwanaria deflandrei	Prunopyle sp. D	Eucyrtidium sp. A	Calocyclas humerus	Stylatractus universus var. transparum	Lithomelissa stigi	Spongoplegma sp.	Pterocanium charybdeum trilobum	Cyrtocapsella japonica	Velicucullus cf. oddgurneri	Stichocorys peregrina	Heliodiscus sp. A	Rhopalastrum spp.	Didymocyrtis/Diartus spp.	Acrosphaera mercurius	Spongomelissa dilli	Peripyramis circumtexta	Actinomma golownini	Trissocyclid sp. A	Stylodictya validispina	Spongopyle osculosa	Dendrospyris rhodospyroides	Stichopileum bicorne?	Cornutella profunda	Cornutella clathrata	Cyrtocapsella cornuta	Cycladophora spongothorax	Antarctissa deflandrei	Rhopalodictyum sp.	Prunopyle titan	Lithocarpium polyacantha	Collosphaerid sp. B	Cycladophora bicornis	Eucyrtidium pseudoinflatum	Dendrospyris megalocephalis	Acrosphaera australis	Siphonosphaera vesuvius	Dendrospyris cf. megalocephalis	Antarctissa denticulata	Lychnocanium grande	Anthocyrtidium sp.	Spongotrochus glacialis	Cycladophora pliocenica	Acrosphaera labrata	Antarctissa cylindrica	Amphymenium challengerae	Antarctissa strelkovi	Desmospyris spongiosa	Helotholus vema	Cycladophora davisiana	Triceraspyris antarctica	Comment

  SR	                 	                 	Omega             	              	120	 747	A	  1	H	 5	  45.00	      6.4500	Lazarus  	Radiolarians                                 	A              	M-G               	                    	                        	               	                    	               	                  	              	              	                   	                	               	                        	                     	                  	                	                  	                	                       	                      	                         	                     	                       	                        	                         	                        	R                     	                         	                     	                       	                             	                     	               	                     	                	                      	                       	                     	                  	                 	                     	                    	                      	                    	                          	                      	                  	                   	                	                      	                	                   	               	                     	                           	                            	                      	               	                 	                  	                                      	                  	                	                               	                      	                           	                     	                 	                 	                         	                     	                   	                       	                   	                  	                       	                   	                           	                     	                   	                    	                     	                         	                      	                  	               	                        	                   	R                    	                          	                           	                     	                       	                               	A                      	                   	                  	F                      	                       	                   	                      	                        	R                    	                     	               	F                     	F                       	uncertain zone assignment; from ODP Leg 120 SR Vol 2 Chapter 41 Table 3 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	Psi               	              	120	 747	A	  1	H	 6	  45.00	      7.9500	Lazarus  	Radiolarians                                 	A              	G                 	                    	                        	               	                    	               	                  	              	              	                   	                	               	                        	                     	                  	                	                  	                	                       	                      	                         	                     	                       	                        	                         	                        	                      	                         	                     	                       	                             	                     	               	                     	                	                      	                       	                     	                  	                 	                     	                    	                      	                    	                          	                      	                  	                   	                	                      	                	                   	               	                     	                           	                            	                      	               	                 	                  	                                      	                  	                	                               	                      	                           	                     	                 	                 	                         	                     	                   	                       	                   	                  	                       	                   	                           	                     	                   	                    	                     	                         	                      	                  	               	                        	                   	+                    	                          	                           	                     	                       	                               	A                      	                   	                  	                       	                       	                   	                      	                        	A                    	                     	               	C                     	F                       	from ODP Leg 120 SR Vol 2 Chapter 41 Table 3 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	Psi               	              	120	 747	A	  1	H	CC	   9.00	      8.9800	Lazarus  	Radiolarians                                 	C              	G                 	                    	                        	               	                    	               	                  	              	              	                   	                	               	                        	                     	                  	                	                  	                	                       	                      	                         	                     	                       	                        	                         	                        	                      	                         	                     	                       	                             	                     	               	                     	                	                      	                       	                     	                  	                 	R                    	                    	                      	                    	                          	                      	                  	                   	                	                      	                	                   	               	                     	                           	                            	                      	               	                 	                  	                                      	                  	                	R                              	                      	                           	                     	                 	                 	                         	                     	                   	                       	                   	                  	                       	                   	                           	                     	                   	                    	                     	                         	                      	                  	R              	                        	                   	R                    	                          	                           	                     	                       	                               	A                      	                   	                  	                       	                       	                   	F                     	                        	F                    	                     	               	R                     	                        	from ODP Leg 120 SR Vol 2 Chapter 41 Table 3 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	up. Chi           	              	120	 747	A	  2	H	 1	  45.00	      9.4500	Lazarus  	Radiolarians                                 	A              	G                 	                    	                        	               	                    	               	                  	              	              	                   	                	               	                        	                     	                  	                	                  	                	                       	                      	                         	                     	                       	                        	                         	                        	                      	                         	                     	                       	                             	                     	               	                     	                	                      	                       	                     	                  	                 	                     	                    	                      	                    	                          	                      	                  	                   	                	                      	                	                   	               	                     	                           	                            	                      	               	                 	                  	                                      	                  	                	F                              	                      	                           	                     	                 	                 	                         	                     	                   	                       	                   	                  	                       	                   	                           	                     	                   	                    	                     	                         	                      	                  	               	                        	                   	R                    	                          	                           	                     	                       	                               	A                      	                   	                  	R                      	                       	                   	C                     	                        	C                    	                     	               	R                     	R                       	from ODP Leg 120 SR Vol 2 Chapter 41 Table 3 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	up. Chi           	              	120	 747	A	  2	H	 2	  45.00	     10.9500	Lazarus  	Radiolarians                                 	A              	G                 	                    	                        	               	                    	               	                  	              	              	                   	                	               	                        	                     	                  	                	                  	                	                       	                      	                         	                     	                       	                        	                         	                        	R                     	                         	                     	                       	                             	                     	               	                     	                	                      	                       	                     	                  	                 	                     	                    	                      	                    	                          	                      	                  	                   	                	                      	                	                   	               	                     	                           	                            	                      	               	                 	                  	                                      	                  	                	F                              	                      	                           	                     	                 	                 	                         	                     	                   	                       	                   	                  	                       	                   	                           	                     	                   	                    	                     	                         	                      	                  	R              	                        	                   	                     	                          	                           	                     	                       	                               	A                      	                   	                  	                       	                       	                   	C                     	                        	A                    	                     	               	R                     	C                       	from ODP Leg 120 SR Vol 2 Chapter 41 Table 3 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	up. Chi           	              	120	 747	A	  2	H	 3	  45.00	     12.4500	Lazarus  	Radiolarians                                 	A              	G                 	                    	                        	               	                    	               	                  	              	              	                   	                	               	                        	                     	                  	                	                  	                	                       	                      	                         	                     	                       	                        	                         	                        	+                     	                         	                     	                       	                             	                     	               	                     	                	                      	                       	                     	                  	                 	                     	                    	                      	                    	                          	                      	                  	                   	                	                      	                	                   	               	                     	                           	                            	                      	               	                 	                  	                                      	                  	                	R                              	                      	                           	                     	                 	                 	                         	                     	                   	                       	                   	                  	                       	                   	                           	                     	                   	                    	                     	                         	                      	                  	               	                        	                   	                     	                          	                           	                     	                       	                               	A                      	                   	                  	R                      	                       	                   	C                     	                        	A                    	                     	               	F                     	F                       	from ODP Leg 120 SR Vol 2 Chapter 41 Table 3 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	up. Chi           	              	120	 747	A	  2	H	 4	  45.00	     13.9500	Lazarus  	Radiolarians                                 	A              	G                 	                    	                        	               	                    	               	                  	              	              	                   	                	               	                        	                     	                  	                	                  	                	                       	                      	                         	                     	                       	                        	                         	                        	R                     	                         	                     	                       	                             	                     	               	                     	                	                      	                       	                     	                  	                 	                     	                    	                      	                    	                          	                      	                  	                   	                	                      	                	                   	               	                     	                           	                            	                      	               	                 	                  	                                      	                  	                	                               	                      	                           	                     	                 	                 	                         	                     	                   	                       	                   	                  	                       	                   	                           	                     	                   	                    	                     	                         	                      	                  	               	                        	                   	                     	                          	                           	                     	                       	                               	A                      	                   	                  	                       	+                      	                   	F                     	                        	C                    	                     	               	F                     	                        	from ODP Leg 120 SR Vol 2 Chapter 41 Table 3 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	up. Chi           	              	120	 747	A	  2	H	 5	  45.00	     15.4500	Lazarus  	Radiolarians                                 	A              	G                 	                    	                        	               	                    	               	                  	              	              	                   	                	               	                        	                     	                  	                	                  	                	                       	                      	                         	                     	                       	                        	                         	                        	                      	                         	                     	                       	                             	                     	               	                     	                	                      	                       	                     	                  	                 	+                    	                    	                      	                    	                          	                      	                  	                   	                	                      	                	                   	               	                     	                           	                            	                      	               	                 	                  	                                      	                  	                	R                              	                      	                           	                     	                 	                 	                         	                     	                   	                       	                   	                  	                       	                   	                           	                     	                   	                    	                     	                         	                      	                  	               	                        	                   	R                    	                          	                           	                     	                       	                               	A                      	                   	                  	R                      	                       	                   	A                     	                        	A                    	                     	               	R                     	R                       	from ODP Leg 120 SR Vol 2 Chapter 41 Table 3 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	low. Chi          	              	120	 747	A	  2	H	 6	  45.00	     16.9500	Lazarus  	Radiolarians                                 	A              	G                 	                    	                        	               	                    	               	                  	              	              	                   	                	               	                        	                     	                  	                	                  	                	                       	                      	                         	                     	                       	+                       	                         	                        	+                     	                         	                     	                       	                             	                     	               	                     	                	                      	                       	                     	                  	                 	R                    	                    	                      	                    	                          	                      	                  	                   	                	                      	                	                   	               	                     	                           	                            	                      	               	                 	                  	                                      	                  	                	                               	                      	                           	                     	                 	                 	                         	                     	                   	                       	                   	                  	                       	                   	                           	                     	                   	                    	                     	                         	                      	                  	               	                        	                   	                     	                          	                           	                     	                       	                               	A                      	                   	                  	                       	F                      	                   	A                     	                        	C                    	                     	               	R                     	F                       	from ODP Leg 120 SR Vol 2 Chapter 41 Table 3 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	low. Chi          	              	120	 747	A	  2	H	 7	  45.00	     18.4500	Lazarus  	Radiolarians                                 	A              	G                 	                    	+                       	               	                    	               	                  	              	              	                   	                	               	                        	                     	                  	                	                  	                	                       	                      	                         	+                    	                       	                        	                         	                        	+                     	                         	                     	                       	                             	                     	               	                     	                	                      	                       	                     	                  	                 	+                    	                    	                      	                    	                          	                      	                  	                   	                	                      	                	                   	               	                     	                           	                            	                      	               	                 	                  	                                      	                  	                	+                              	                      	                           	                     	                 	                 	                         	                     	                   	                       	                   	                  	                       	                   	                           	                     	                   	                    	                     	                         	                      	                  	               	                        	                   	                     	                          	                           	                     	                       	                               	A                      	                   	                  	R                      	A                      	                   	A                     	                        	C                    	                     	               	                      	R                       	from ODP Leg 120 SR Vol 2 Chapter 41 Table 3 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	Phi               	              	120	 747	A	  2	H	CC	  12.00	     18.9400	Lazarus  	Radiolarians                                 	A              	G                 	                    	                        	               	                    	               	                  	              	              	                   	                	               	                        	                     	                  	                	                  	                	                       	                      	                         	                     	                       	                        	                         	                        	                      	                         	                     	                       	                             	                     	               	                     	                	                      	R                      	                     	                  	                 	                     	                    	                      	                    	                          	                      	                  	                   	                	                      	                	                   	               	                     	                           	                            	                      	               	                 	                  	                                      	                  	                	                               	                      	                           	                     	                 	                 	                         	                     	                   	                       	                   	                  	                       	                   	                           	                     	                   	                    	                     	                         	                      	                  	               	                        	                   	                     	                          	                           	                     	                       	                               	C                      	                   	                  	                       	C                      	                   	F                     	                        	                     	                     	               	R                     	                        	from ODP Leg 120 SR Vol 2 Chapter 41 Table 3 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	Phi               	              	120	 747	A	  3	H	 1	  45.00	     18.9500	Lazarus  	Radiolarians                                 	A              	G                 	                    	                        	               	                    	               	                  	              	              	                   	                	               	                        	                     	                  	                	                  	                	                       	                      	                         	                     	                       	                        	                         	                        	                      	                         	                     	                       	                             	                     	               	                     	                	                      	F                      	                     	                  	                 	                     	                    	                      	                    	                          	                      	                  	                   	                	                      	                	                   	               	                     	                           	                            	                      	               	                 	                  	                                      	                  	                	                               	                      	                           	                     	                 	                 	                         	                     	                   	                       	                   	                  	                       	                   	                           	                     	                   	                    	                     	                         	                      	                  	               	                        	                   	                     	                          	                           	                     	                       	                               	A                      	                   	                  	                       	C                      	                   	C                     	                        	                     	                     	               	F                     	                        	from ODP Leg 120 SR Vol 2 Chapter 41 Table 3 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	up. Upsilon       	              	120	 747	A	  3	H	 2	  45.00	     20.4500	Lazarus  	Radiolarians                                 	A              	G                 	                    	                        	               	                    	               	                  	              	              	                   	                	               	                        	                     	                  	                	                  	                	                       	                      	                         	                     	                       	                        	                         	                        	F                     	                         	                     	                       	                             	                     	               	                     	                	                      	F                      	                     	                  	                 	                     	                    	                      	                    	                          	                      	                  	                   	                	                      	                	                   	               	R                    	                           	                            	                      	               	                 	                  	R                                     	                  	                	                               	                      	                           	                     	                 	                 	                         	                     	                   	                       	                   	                  	                       	                   	                           	                     	                   	                    	                     	                         	                      	                  	+              	                        	                   	R                    	                          	                           	                     	                       	                               	C                      	                   	                  	                       	F                      	                   	F                     	                        	C                    	C                    	C              	+                     	                        	from ODP Leg 120 SR Vol 2 Chapter 41 Table 3 microfiche backpocket & Fig 5 p 790
