Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Lithopera neotera,Theocyrtis sp. A,Theocorys spongoconus,Stichocorys delmontensis,Lychnocanoma elongata,Lychnocanium nipponicum,Dorcadospyris alata,Carpocanium kinugasense,Calocycletta costata,Stylacontarium acquilonium,Lamprocyclas margatensis,Anthocyrtidium ophirense,Astrophacus sp.,Didymocyrtis sp.,Dictyocoryne profunda,Botryostrobus auritus group,Saturnalis circularis,Peripyramis circumtexta,Liriospyris mutuaria,Lamprocyclas sp. A,Eucyrtidium hexagonatum,Stylotrochus sol,Hexacontium arachnoidale,Didymocyrtis laticonus,Theocorythium vetulum,Siphonosphaera spinosa,Pterocanium orcinum,Heliodiscus asteriscus,Diartus petterssoni,Stichocorys sp. B,Dictyophimus crisiae,Otosphaera auriculata,Didymocyrtis sp. A,Stichocorys sp. A,Siphostichartus corona,Didymocyrtis penultima,Didymocyrtis antepenultima,Diartus sp. cf. D. petterssoni,Stichocorys peregrina,Cornutella bimarginata,Haeckeliella sp.,Clathrocyclas bicornis,Pterocanium praetextum eucolpum,Eucyrtidium matuyamai,Cornutella profunda,Spongocore cylindrica,Lamprocyclas junonis,Lamprocyclas maritalis maritalis,Hexacontium axotrias,Pterocanium bicorne,Spongaster tetras tetras,Pterocanium korotnevi,Eucyrtidium punctatum,Eucyrtidium hexasticum,Pterocanium sp. B,Pterocanium sp.,Axoprunum angelinum,Dictyocoryne truncatum,Actinomma sp.,Actinomma boreale,Amphirhopalum ypsilon,Spongaster pentas,Hexacontium heracliti,Lamprocyclas maritalis polypora,Comment
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 784,A, 27,R,CC,   5.00,    249.6500,Wang     ,Radiolarians                                 ,C              ,M                 ,                 ,                ,                     ,F                       ,                     ,                       ,                   ,                       ,                    ,F                         ,F                       ,R                       ,F              ,                ,                     ,                           ,F                    ,F                      ,F                   ,F                 ,F                      ,                ,                        ,                      ,                     ,                      ,                   ,                      ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,                      ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 784,A, 28,R,CC,   5.00,    255.3100,Wang     ,Radiolarians                                 ,F              ,M                 ,                 ,F               ,R                    ,                        ,                     ,                       ,                   ,                       ,                    ,R                         ,                        ,                        ,               ,F               ,R                    ,F                          ,                     ,                       ,                    ,                  ,                       ,                ,                        ,                      ,                     ,                      ,                   ,                      ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,                      ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 784,A, 29,R,CC,   5.00,    271.0100,Wang     ,Radiolarians                                 ,F              ,P                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,F                      ,                    ,                          ,F                       ,                        ,F              ,                ,                     ,                           ,                     ,                       ,                    ,                  ,                       ,                ,                        ,                      ,                     ,                      ,                   ,                      ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,                      ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 784,A, 30,R, 5,  76.00,    277.8600,Wang     ,Radiolarians                                 ,F              ,P                 ,F                ,F               ,                     ,                        ,                     ,                       ,                   ,F                      ,F                   ,F                         ,F                       ,F                       ,               ,                ,                     ,                           ,                     ,                       ,                    ,                  ,                       ,                ,                        ,                      ,                     ,                      ,                   ,                      ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,                      ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 784,A, 31,R,CC,   5.00,    285.1000,Wang     ,Radiolarians                                 ,F              ,M                 ,F                ,F               ,F                    ,F                       ,F                    ,F                      ,F                  ,F                      ,F                   ,                          ,                        ,                        ,               ,                ,                     ,                           ,                     ,                       ,                    ,                  ,                       ,                ,                        ,                      ,                     ,                      ,                   ,                      ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,                      ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 784,A, 39,R, 1,   5.00,    357.9500,Wang     ,Radiolarians                                 ,               ,                  ,F                ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,                          ,                        ,                        ,               ,                ,                     ,                           ,                     ,                       ,                    ,                  ,                       ,                ,                        ,                      ,                     ,                      ,                   ,                      ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,                      ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
