Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Toweius? sp. 1,Sphenolithus spiniger,Sphenolithus radians,Sphenolithus moriformis,Sphenolithus furcatolithoides,Scapholithus rhombiformis,Reticulofenestra samodurovii,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Pontosphaera scissura,Pontosphaera latoculata,Pedinocyclus larvalis,Nannotetrina sp. (small),Markalius sp. 2,Markalius sp. 1,Lophodolithus acutus,Helicosphaera seminulum,Helicosphaera lophota,Helicosphaera heezenii,Ericsonia formosa,Discoaster saipanensis,Discoaster deflandrei,Discoaster barbadiensis,Cyclicargolithus floridanus,Cruciplacolithus spp.,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus solitus,Chiasmolithus grandis,Chiasmolithus gigas,Chiasmolithus consuetus,Campylosphaera dela,Calcidiscus protoannulus,Calcidiscus kingii,Bramletteius serraculoides,Braarudosphaera bigelowii,Pontosphaera formosa,Pemma basquensis,Markalius inversus,Lophodolithus mochlophorus,Lanternithus minutus,Holococcolith type A,Ericsonia pacifica,Discoaster germanicus,Discoaster distinctus,Cyclolithella kalianata,Cruciplacolithus vanheckae,Cruciplacolithus staurion,Coccolithus sp.1,Chiasmolithus titus,Transversopontis pax,Pontosphaera pectinata,Nannotetrina alata,Discoaster nodifer,Cruciplacolithus cruciformis,Sphenolithus pseudoradians,Pontosphaera segmenta,Pontosphaera ocellata,Micrantholithus altus,Chiasmolithus expansus,Nannotetrina austriacus,Chiasmolithus medius,Discoaster bifax,Nannotetrina spinosus,Transversopontis fimbriatus,Reticulofenestra umbilica,Pemma papillatum,Cribrocentrum reticulatum,Helicosphaera compacta,Discoaster tanii,Micrantholithus procerus,Triquetrorhabdulus rugosus/rioensis,Sphenolith (unspecified taxon or taxa),Scyphosphaera spp.,Reticulofenestrid taxa,Helicosphaera carteri,Geminilithella rotula,Discoaster variabilis,Discoaster triradiatus,Discoaster surculus,Discoaster sp. 2,Discoaster sp. 1,Discoaster quinqueramus/berggrenii,Discoaster pentaradiatus,Discoaster brouweri,Dictyococcites spp.,Coccolithus radiatus,Calcidiscus macintyrei,Calcidiscus leptoporus,Amaurolithus primus,Amaurolithus delicatus,Thoracosphaera spp.,Reticulofenestra pseudoumbilicus,Pontosphaera spp.,Amaurolithus amplificus,Discoaster asymmetricus,Discoaster neohamatus,Discoaster intercalaris,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus rugosus,Discoaster tristellifer,Amaurolithus tricorniculatus,Discoaster decorus,Syracosphaera spp.,Pseudoemiliania lacunosa,Helicosphaera sellii,Discoaster tamalis,Rhabdosphaera spp.,Umbilicosphaera spp.,Gephyrocapsa (small),Ceratolithus cristatus,Gephyrocapsa sp. 3,Gephyrocapsa oceanica s.l.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12d             ,              ,115, 713,A,  2,R, 3,  50.00,      5.1000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,              ,                     ,                    ,                       ,                             ,                         ,                            ,                         ,                                 ,                     ,                       ,                     ,                        ,               ,               ,                    ,                       ,                     ,                      ,                 ,                      ,                     ,                       ,                           ,                     ,R                    ,                       ,                     ,                     ,                   ,                       ,                   ,                        ,                  ,                          ,                         ,                    ,                ,                  ,                          ,                    ,                    ,                  ,                     ,                     ,                       ,                          ,                         ,                ,                   ,                    ,                      ,                  ,                  ,                            ,                          ,                     ,                     ,                     ,                      ,                       ,                    ,                ,                     ,                           ,                         ,                ,                         ,                      ,                ,                        ,                                   ,                                      ,                  ,C                     ,C                    ,C                    ,                     ,                      ,                   ,                ,                ,                                  ,                        ,C                  ,F                  ,R                   ,F                     ,C                     ,                   ,                      ,R                  ,                                ,                 ,                       ,R                      ,                     ,R                      ,                   ,                    ,                    ,                       ,                            ,                  ,C                 ,C                       ,R                   ,                  ,R                 ,R                   ,F                   ,                      ,                  ,                          ,from 115 SR. Chapter 15. Table 22. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12c             ,              ,115, 713,A,  2,R, 3, 130.00,      5.9000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,              ,                     ,                    ,                       ,                             ,                         ,                            ,                         ,                                 ,                     ,                       ,                     ,                        ,               ,               ,                    ,                       ,                     ,                      ,                 ,                      ,                     ,                       ,                           ,                     ,R                    ,                       ,                     ,                     ,                   ,                       ,                   ,                        ,                  ,                          ,                         ,                    ,                ,                  ,                          ,                    ,                    ,                  ,                     ,                     ,                       ,                          ,                         ,                ,                   ,                    ,                      ,                  ,                  ,                            ,                          ,                     ,                     ,                     ,                      ,                       ,                    ,                ,                     ,                           ,                         ,                ,                         ,                      ,                ,                        ,                                   ,                                      ,                  ,C                     ,F                    ,C                    ,                     ,                      ,                   ,                ,                ,                                  ,C                       ,C                  ,                   ,F                   ,F                     ,C                     ,                   ,                      ,F                  ,                                ,                 ,                       ,                       ,                     ,R                      ,                   ,                    ,R                   ,                       ,                            ,                  ,C                 ,C                       ,                    ,                  ,                  ,R                   ,                    ,                      ,                  ,                          ,from 115 SR. Chapter 15. Table 22. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12c             ,              ,115, 713,A,  2,R, 4,  50.00,      6.6000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,              ,                     ,                    ,                       ,                             ,                         ,                            ,                         ,                                 ,                     ,                       ,                     ,                        ,               ,               ,                    ,                       ,                     ,                      ,                 ,                      ,                     ,                       ,                           ,                     ,F                    ,                       ,                     ,                     ,                   ,                       ,                   ,                        ,                  ,                          ,                         ,                    ,                ,                  ,                          ,                    ,                    ,                  ,                     ,                     ,                       ,                          ,                         ,                ,                   ,                    ,                      ,                  ,                  ,                            ,                          ,                     ,                     ,                     ,                      ,                       ,                    ,                ,                     ,                           ,                         ,                ,                         ,                      ,                ,                        ,                                   ,                                      ,                  ,C                     ,C                    ,C                    ,R                    ,R                     ,F                  ,                ,                ,                                  ,C                       ,C                  ,                   ,F                   ,C                     ,C                     ,                   ,                      ,F                  ,                                ,                 ,                       ,R                      ,                     ,                       ,                   ,                    ,R                   ,                       ,                            ,                  ,C                 ,C                       ,                    ,F                 ,R                 ,                    ,                    ,                      ,                  ,                          ,from 115 SR. Chapter 15. Table 22. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12a             ,CN12b         ,115, 713,A,  2,R, 4, 130.00,      7.4000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,              ,                     ,                    ,                       ,                             ,                         ,                            ,                         ,                                 ,                     ,                       ,                     ,                        ,               ,               ,                    ,                       ,                     ,                      ,                 ,                      ,                     ,                       ,                           ,                     ,C                    ,                       ,                     ,                     ,                   ,                       ,                   ,                        ,                  ,                          ,                         ,                    ,                ,                  ,                          ,                    ,                    ,                  ,                     ,                     ,                       ,                          ,                         ,                ,                   ,                    ,                      ,                  ,                  ,                            ,                          ,                     ,                     ,                     ,                      ,                       ,                    ,                ,                     ,                           ,                         ,                ,                         ,                      ,                ,                        ,                                   ,                                      ,                  ,C                     ,C                    ,C                    ,                     ,R                     ,F                  ,                ,                ,                                  ,C                       ,C                  ,                   ,F                   ,F                     ,C                     ,                   ,                      ,F                  ,                                ,                 ,                       ,                       ,                     ,R                      ,                   ,                    ,R                   ,                       ,                            ,                  ,C                 ,C                       ,R                   ,R                 ,                  ,                    ,                    ,                      ,                  ,                          ,from 115 SR. Chapter 15. Table 22. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12a             ,CN12b         ,115, 713,A,  2,R, 5,  50.00,      8.1000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,              ,                     ,                    ,                       ,                             ,                         ,                            ,                         ,                                 ,                     ,                       ,                     ,                        ,               ,               ,                    ,                       ,                     ,                      ,                 ,                      ,                     ,                       ,                           ,                     ,R                    ,                       ,                     ,                     ,                   ,                       ,                   ,                        ,                  ,                          ,                         ,                    ,                ,                  ,                          ,                    ,                    ,                  ,                     ,                     ,                       ,                          ,                         ,                ,                   ,                    ,                      ,                  ,                  ,                            ,                          ,                     ,                     ,                     ,                      ,                       ,                    ,                ,                     ,                           ,                         ,                ,                         ,                      ,                ,                        ,                                   ,                                      ,                  ,C                     ,C                    ,C                    ,                     ,R                     ,F                  ,                ,                ,                                  ,C                       ,C                  ,                   ,F                   ,C                     ,C                     ,                   ,                      ,F                  ,                                ,                 ,                       ,                       ,                     ,                       ,                   ,                    ,R                   ,                       ,                            ,                  ,C                 ,C                       ,                    ,R                 ,                  ,                    ,                    ,                      ,                  ,                          ,from 115 SR. Chapter 15. Table 22. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12a             ,CN12b         ,115, 713,A,  2,R, 5, 130.00,      8.9000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,              ,                     ,                    ,                       ,                             ,                         ,                            ,                         ,                                 ,                     ,                       ,                     ,                        ,               ,               ,                    ,                       ,                     ,                      ,                 ,                      ,                     ,                       ,                           ,                     ,                     ,                       ,                     ,                     ,                   ,                       ,                   ,                        ,                  ,                          ,                         ,                    ,                ,                  ,                          ,                    ,                    ,                  ,                     ,                     ,                       ,                          ,                         ,                ,                   ,                    ,                      ,                  ,                  ,                            ,                          ,                     ,                     ,                     ,                      ,                       ,                    ,                ,                     ,                           ,                         ,                ,                         ,                      ,                ,                        ,                                   ,                                      ,                  ,C                     ,C                    ,C                    ,                     ,                      ,F                  ,                ,                ,                                  ,C                       ,C                  ,                   ,F                   ,F                     ,C                     ,                   ,                      ,R                  ,                                ,                 ,                       ,                       ,                     ,R                      ,                   ,                    ,R                   ,                       ,                            ,R                 ,C                 ,C                       ,R                   ,F                 ,                  ,                    ,                    ,                      ,                  ,                          ,from 115 SR. Chapter 15. Table 22. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12a             ,CN12b         ,115, 713,A,  2,R, 6,  50.00,      9.6000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,              ,                     ,                    ,                       ,                             ,                         ,                            ,                         ,                                 ,                     ,                       ,                     ,                        ,               ,               ,                    ,                       ,                     ,                      ,                 ,                      ,                     ,                       ,                           ,                     ,                     ,                       ,                     ,                     ,                   ,                       ,                   ,                        ,                  ,                          ,                         ,                    ,                ,                  ,                          ,                    ,                    ,                  ,                     ,                     ,                       ,                          ,                         ,                ,                   ,                    ,                      ,                  ,                  ,                            ,                          ,                     ,                     ,                     ,                      ,                       ,                    ,                ,                     ,                           ,                         ,                ,                         ,                      ,                ,                        ,                                   ,C                                     ,R                 ,C                     ,C                    ,C                    ,C                    ,                      ,C                  ,                ,                ,                                  ,C                       ,C                  ,F                  ,F                   ,F                     ,C                     ,                   ,                      ,R                  ,                                ,                 ,                       ,R                      ,                     ,                       ,                   ,                    ,R                   ,                       ,                            ,F                 ,F                 ,C                       ,R                   ,R                 ,                  ,                    ,                    ,                      ,                  ,                          ,from 115 SR. Chapter 15. Table 22. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10c             ,CN11          ,115, 713,A,  3,R, 1,  50.00,     11.7000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,              ,                     ,                    ,                       ,                             ,                         ,                            ,                         ,                                 ,                     ,                       ,                     ,                        ,               ,               ,                    ,                       ,                     ,                      ,                 ,                      ,                     ,                       ,                           ,                     ,                     ,                       ,                     ,                     ,                   ,                       ,                   ,                        ,                  ,                          ,                         ,                    ,                ,                  ,                          ,                    ,                    ,                  ,                     ,                     ,                       ,                          ,                         ,                ,                   ,                    ,                      ,                  ,                  ,                            ,                          ,                     ,                     ,                     ,                      ,                       ,                    ,                ,                     ,                           ,                         ,                ,                         ,                      ,                ,                        ,                                   ,C                                     ,F                 ,C                     ,F                    ,C                    ,C                    ,R                     ,C                  ,                ,                ,                                  ,C                       ,C                  ,                   ,F                   ,R                     ,C                     ,                   ,                      ,F                  ,C                               ,                 ,                       ,                       ,                     ,                       ,                   ,                    ,F                   ,C                      ,                            ,R                 ,                  ,                        ,                    ,                  ,                  ,                    ,                    ,                      ,                  ,                          ,from 115 SR. Chapter 15. Table 22. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10c             ,CN11          ,115, 713,A,  3,R, 1, 130.00,     12.5000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,              ,                     ,                    ,                       ,                             ,                         ,                            ,                         ,                                 ,                     ,                       ,                     ,                        ,               ,               ,                    ,                       ,                     ,                      ,                 ,                      ,                     ,                       ,                           ,                     ,R                    ,                       ,                     ,                     ,                   ,                       ,                   ,                        ,                  ,                          ,                         ,                    ,                ,                  ,                          ,                    ,                    ,                  ,                     ,                     ,                       ,                          ,                         ,                ,                   ,                    ,                      ,                  ,                  ,                            ,                          ,                     ,                     ,                     ,                      ,                       ,                    ,                ,                     ,                           ,                         ,                ,                         ,                      ,                ,                        ,                                   ,C                                     ,R                 ,C                     ,F                    ,C                    ,C                    ,R                     ,C                  ,                ,                ,                                  ,C                       ,C                  ,                   ,F                   ,F                     ,C                     ,                   ,                      ,R                  ,C                               ,R                ,                       ,R                      ,                     ,R                      ,                   ,                    ,R                   ,F                      ,                            ,                  ,                  ,                        ,                    ,                  ,                  ,                    ,                    ,                      ,                  ,                          ,from 115 SR. Chapter 15. Table 22. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10c             ,CN11          ,115, 713,A,  3,R, 2, 130.00,     14.0000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,              ,                     ,                    ,                       ,                             ,                         ,                            ,                         ,                                 ,                     ,                       ,                     ,                        ,               ,               ,                    ,                       ,                     ,                      ,                 ,                      ,                     ,                       ,                           ,                     ,                     ,                       ,                     ,                     ,                   ,                       ,                   ,                        ,                  ,                          ,                         ,                    ,                ,                  ,                          ,                    ,                    ,                  ,                     ,                     ,                       ,                          ,                         ,                ,                   ,                    ,                      ,                  ,                  ,                            ,                          ,                     ,                     ,                     ,                      ,                       ,                    ,                ,                     ,                           ,                         ,                ,                         ,                      ,                ,                        ,R                                  ,C                                     ,F                 ,C                     ,C                    ,C                    ,C                    ,R                     ,C                  ,                ,C               ,A                                 ,F                       ,C                  ,F                  ,F                   ,R                     ,C                     ,R                  ,F                     ,R                  ,                                ,                 ,                       ,                       ,                     ,                       ,                   ,                    ,                    ,                       ,                            ,                  ,                  ,                        ,                    ,                  ,                  ,                    ,                    ,                      ,                  ,                          ,from 115 SR. Chapter 15. Table 22. microfiche in back pocket.
