Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,normalized_name,taxon_group,verbatim_name,initial_comments,comments
,,Euuvigerina,,,,miozea,,,,Euuvigerina miozea,benthic_foraminfera,Euuvigerina miozea (group) >100 m,group,>100 m group
,,Euuvigerina,,,,rodleyi,,,,Euuvigerina rodleyi,benthic_foraminfera,Euuvigerina rodleyi (group) >50 m,group,>50 m group
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_foraminfera,Others,not a taxa,other benthic foraminifera
Pleurostomellia indet.,,,,,,,,,,Pleurostomellia indet.,benthic_foraminfera,Pleurostomellids comment,not a taxa,
Ostracoda indet.,,,,,,,,,,Ostracoda indet.,benthic_foraminfera,Ostracoda spp.,group abundance,
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_foraminfera,Elongated,not a taxa ,
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_foraminfera,Planispiral,not a taxa,
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_foraminfera,Trochospiral,not a taxa,
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_foraminfera,Tube-shaped agglutinated forms,not a taxa,
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_foraminfera,Unidentified agglutinants,not a taxa,
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_foraminfera,Unidentified benthic forams,not a taxa,
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_foraminfera,Unilocular species,not a taxa,
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,benthic_foraminfera,Tapered,not a taxa,
,,Nodosaria,,,,spp.,,,,Nodosaria spp.,benthic_foraminfera,Nodosariid taxa,not a taxa; Nodosariata (class) or Nodosariana (subclass)?,
,,Nodosaria,,,,spp.,,,,Nodosaria spp.,benthic_foraminfera,Nodosariids,not a taxa; Nodosariata (class) or Nodosariana (subclass)?,
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_foraminfera,Agglutinated,not a specific taxa,
Textulariia indet.,,,,,,,,,,Textulariia indet.,benthic_foraminfera,Agglutinated gen. et sp. indet.,not a specific taxa,
