Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Tranolithus phacelosus	Thiersteinia ecclesiastica	Stradneria crenulata	Stoverius asymmetricus	Seribiscutum primitivum	Rhagodiscus angustus	Quadrum gartneri	Prediscosphaera spinosa	Prediscosphaera intercisa	Prediscosphaera cretacea	Placozygus sigmoides	Placozygus fibuliformis	Lithraphidites carniolensis	Lithastrinus moratus	Lapideacassis mariae	Kamptnerius magnificus	Glaukolithus compactus	Gephyrorhabdus coronadventis	Gartnerago obliquum	Eprolithus floralis	Eiffellithus turriseiffelii	Eiffellithus eximius	Cribrosphaerella ehrenbergii	Coccolith species G	Chiastozygus litterarius	Broinsonia dentata	Braarudosphaera bigelowii	Biscutum constans	Ahmuellerella octoradiata	Lithastrinus septenarius	Lapideacassis tricornus	Broinsonia enormis	Zeugrhabdotus kerguelenensis	Microrhabdulus belgicus	Marthasterites furcatus	Vekshinella stradnerii	Repagalum parvidentatum	Reinhardtites anthophorus	Micula decussata	Micula concava	Microrhabdulus decoratus	Manivitella pemmatoidea	Lucianorhabdus cayeuxii	Lucianorhabdus arcuatus	Lithastrinus grillii	Helicolithus trabeculatus	Biscutum dissimilis	Aspidolithus parcus expansus	Arkhangelskiella specillata	Quadrum trifidum	Quadrum gothicum	Coccolith species B	Calculites obscurus	Biscutum coronum	Aspidolithus parcus parcus	Watznaueria supracretacea	Reinhardtites levis	Neocrepidolithus watkinsii	Chiastozygus garrisonii	Vekshinella sp. cf. V. parma	Cretarhabdus sp. cf. C. conicus	Vekshinella dibrachiata	Sollasites lowei	Acuturris scotus	Octolithus multiplus	Thoracosphaera spp.	Markalius inversus	Cruciplacolithus tenuis	Cruciplacolithus primus	Prinsius bisulcus	Prinsius martinii	Cruciplacolithus edwardsii	Chiasmolithus danicus	Hornibrookina teuriensis	Ericsonia subpertusa	Chiasmolithus bidens	Toweius pertusus	Toweius eminens	Heliolithus riedelii	Fasciculithus tympaniformis	Discoaster multiradiatus	Discoaster mohleri	Chiasmolithus consuetus	Toweius callosus	Sphenolithus radians	Neochiastozygus junctus	Discoaster diastypus	Tribrachiatus orthostylus	Sphenolithus primus	Ellipsolithus macellus	Discoaster lodoensis	Chiasmolithus solitus	Chiasmolithus expansus	Zygrhablithus bijugatus	Neococcolithes dubius	Ellipsolithus distichus	Chiasmolithus grandis	Toweius magnicrassus	Discoaster pacificus	Discoaster kuepperi	Chiasmolithus eograndis	Sphenolithus moriformis	Discoaster binodosus	Pontosphaera fimbriata	Helicosphaera lophota	Ericsonia formosa	Coccolithus crassus	Toweius gammation	Heliolithus kleinpellii	Discoaster cruciformis	Discoaster barbadiensis	Discoaster robustus	Clausicoccus vanheckae	Rhabdosphaera tenuis	Reticulofenestra umbilica	Reticulofenestra oamaruensis	Reticulofenestra hillae	Reticulofenestra bisecta	Isthmolithus recurvus	Chiasmolithus titus	Chiasmolithus oamaruensis	Reticulofenestra hampdenensis	Discoaster tanii	Clausicoccus subdistichus	Pedinocyclus larvalis	Discoaster saipanensis	Reticulofenestra hesslandii	Reticulofenestra floridana	Chiasmolithus altus	Lanternithus minutus	Comment

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 747	C	  1	R	 5	  42.00	    165.4200	Aubry    	Nannofossils                                 	A              	M                 	                    	                      	                          	                    	                      	                       	                    	                	                       	                         	                        	                    	                       	                           	                    	                    	                      	                      	                            	                   	                   	                           	                    	                            	                   	                        	                  	                         	                 	                         	                        	                       	                  	                            	                       	                       	                      	                       	                         	                	              	                        	                       	                       	                       	                    	                         	                   	                            	                           	                	                	                   	                   	                	                          	                         	                   	                          	                       	                            	                               	                       	                	                	                    	                   	                  	                       	                       	                 	                 	                          	                     	                        	                    	                    	                	               	                    	                           	                        	                  	                       	                	                    	                       	                    	                         	                   	                      	                    	                     	                      	                       	                     	                       	                     	                    	                    	                   	                       	F                      	                    	                      	                     	                 	                   	                 	                       	                      	                       	                   	                      	                    	                         	                            	                       	C                       	                     	                   	                         	F                            	                	                         	                     	                      	                           	A                         	A                  	                    	from ODP 120 SR vol 2  Chapter 26 Table 2 p 476-477

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 747	C	  1	R	 6	   9.00	    166.5900	Aubry    	Nannofossils                                 	A              	M                 	                    	                      	                          	                    	                      	                       	                    	                	                       	                         	                        	                    	                       	                           	                    	                    	                      	                      	                            	                   	                   	                           	                    	                            	                   	                        	                  	                         	                 	                         	                        	                       	                  	                            	                       	                       	                      	                       	                         	                	              	                        	                       	                       	                       	                    	                         	                   	                            	                           	                	                	                   	                   	                	                          	                         	                   	                          	                       	                            	                               	                       	                	                	                    	                   	                  	                       	                       	                 	                 	                          	                     	                        	                    	                    	                	               	                    	                           	                        	                  	                       	                	                    	                       	                    	                         	                   	                      	                    	                     	                      	                       	                     	                       	                     	                    	                    	                   	                       	R                      	                    	                      	                     	                 	                   	                 	                       	                      	                       	                   	                      	                    	                         	                            	                       	C                       	                     	                   	                         	A                            	                	                         	                     	                      	                           	C                         	A                  	                    	from ODP 120 SR vol 2  Chapter 26 Table 2 p 476-477

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 747	C	  1	R	 6	  18.00	    166.6800	Aubry    	Nannofossils                                 	A              	M                 	                    	                      	                          	                    	                      	                       	                    	                	                       	                         	                        	                    	                       	                           	                    	                    	                      	                      	                            	                   	                   	                           	                    	                            	                   	                        	                  	                         	                 	                         	                        	                       	                  	                            	                       	                       	                      	                       	                         	                	              	                        	                       	                       	                       	                    	                         	                   	                            	                           	                	                	                   	                   	                	                          	                         	                   	                          	                       	                            	                               	                       	                	                	                    	                   	                  	                       	                       	                 	                 	                          	                     	                        	                    	                    	                	               	                    	                           	                        	                  	                       	                	                    	                       	                    	                         	                   	                      	                    	                     	                      	                       	                     	                       	                     	                    	                    	                   	                       	                       	                    	                      	                     	                 	                   	                 	                       	                      	                       	                   	                      	                    	                         	                            	                       	C                       	                     	                   	                         	F                            	                	                         	                     	                      	C                          	C                         	C                  	                    	from ODP 120 SR vol 2  Chapter 26 Table 2 p 476-477

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 747	C	  2	R	 1	  64.00	    169.1400	Aubry    	Nannofossils                                 	A              	M                 	                    	                      	                          	                    	                      	                       	                    	                	                       	                         	                        	                    	                       	                           	                    	                    	                      	                      	                            	                   	                   	                           	                    	                            	                   	                        	                  	                         	                 	                         	                        	                       	                  	                            	                       	                       	                      	                       	                         	                	              	                        	                       	                       	                       	                    	                         	                   	                            	                           	                	                	                   	                   	                	                          	                         	                   	                          	                       	                            	                               	                       	                	                	                    	                   	                  	                       	                       	                 	                 	                          	                     	                        	                    	                    	                	               	                    	                           	                        	                  	                       	                	                    	                       	                    	                         	                   	                      	                    	                     	                      	                       	                     	                       	                     	                    	                    	                   	                       	                       	                    	                      	                     	                 	                   	                 	                       	                      	                       	                   	                      	                    	                         	                            	                       	C                       	                     	                   	                         	C                            	                	                         	                     	                      	                           	C                         	C                  	                    	from ODP 120 SR vol 2  Chapter 26 Table 2 p 476-477

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 747	C	  2	R	 1	  83.00	    169.3300	Aubry    	Nannofossils                                 	A              	M                 	                    	                      	                          	                    	                      	                       	                    	                	                       	                         	                        	                    	                       	                           	                    	                    	                      	                      	                            	                   	                   	                           	                    	                            	                   	                        	                  	                         	                 	                         	                        	                       	                  	                            	                       	                       	                      	                       	                         	                	              	                        	                       	                       	                       	                    	                         	                   	                            	                           	                	                	                   	                   	                	                          	                         	                   	                          	                       	                            	                               	                       	                	                	                    	                   	                  	                       	                       	                 	                 	                          	                     	                        	                    	                    	                	               	                    	                           	                        	                  	                       	                	                    	                       	                    	                         	                   	                      	                    	                     	                      	                       	                     	                       	                     	                    	                    	                   	                       	C                      	                    	                      	                     	                 	                   	                 	                       	                      	                       	                   	                      	                    	                         	                            	                       	C                       	                     	                   	                         	C                            	                	                         	                     	                      	                           	C                         	C                  	F                   	from ODP 120 SR vol 2  Chapter 26 Table 2 p 476-477

  SR	Late Eocene      	Early Oligocene  	NP22              	              	120	 747	C	  2	R	 1	  94.50	    169.4450	Aubry    	Nannofossils                                 	A              	M                 	                    	                      	                          	                    	                      	                       	                    	                	                       	                         	                        	                    	                       	                           	                    	                    	                      	                      	                            	                   	                   	                           	                    	                            	                   	                        	                  	                         	                 	                         	                        	                       	                  	                            	                       	                       	                      	                       	                         	                	              	                        	                       	                       	                       	                    	                         	                   	                            	                           	                	                	                   	                   	                	                          	                         	                   	                          	                       	                            	                               	                       	                	                	                    	                   	                  	                       	                       	                 	                 	                          	                     	                        	                    	                    	                	               	                    	                           	                        	                  	                       	                	                    	                       	                    	                         	                   	                      	                    	                     	                      	                       	                     	                       	                     	                    	                    	                   	                       	                       	                    	                      	                     	                 	                   	                 	                       	                      	                       	                   	                      	                    	C                        	                            	C                      	C                       	                     	                   	                         	                             	                	                         	                     	                      	                           	C                         	C                  	                    	from ODP 120 SR vol 2  Chapter 26 Table 2 p 476-477

  SR	Late Eocene      	Early Oligocene  	NP19/20           	NP2           	120	 747	C	  2	R	 1	 134.50	    169.8450	Aubry    	Nannofossils                                 	A              	M                 	                    	                      	                          	                    	                      	                       	                    	                	                       	                         	                        	                    	                       	                           	                    	                    	                      	                      	                            	                   	                   	                           	                    	                            	                   	                        	                  	                         	                 	                         	                        	                       	                  	                            	                       	                       	                      	                       	                         	                	              	                        	                       	                       	                       	                    	                         	                   	                            	                           	                	                	                   	                   	                	                          	                         	                   	                          	                       	                            	                               	                       	                	                	                    	                   	                  	                       	                       	                 	                 	                          	                     	                        	                    	                    	                	               	                    	                           	                        	                  	                       	                	                    	                       	                    	                         	                   	                      	                    	                     	                      	C                      	                     	                       	                     	                    	                    	                   	                       	F                      	                    	                      	                     	F                	                   	                 	                       	                      	                       	                   	                      	                    	                         	C                           	A                      	C                       	C                    	                   	C                        	C                            	                	C                        	                     	                      	C                          	                          	                   	                    	from ODP 120 SR vol 2  Chapter 26 Table 2 p 476-477

  SR	Late Eocene      	Early Oligocene  	NP19/20           	NP2           	120	 747	C	  2	R	 2	  19.50	    170.1950	Aubry    	Nannofossils                                 	A              	M                 	                    	                      	                          	                    	                      	                       	                    	                	                       	                         	                        	                    	                       	                           	                    	                    	                      	                      	                            	                   	                   	                           	                    	                            	                   	                        	                  	                         	                 	                         	                        	                       	                  	                            	                       	                       	                      	                       	                         	                	              	                        	                       	                       	                       	                    	                         	                   	                            	                           	                	                	                   	                   	                	                          	                         	                   	                          	                       	                            	                               	                       	                	                	                    	                   	                  	                       	                       	                 	                 	                          	                     	                        	                    	                    	                	               	                    	                           	                        	                  	                       	                	                    	                       	                    	                         	                   	                      	                    	                     	                      	                       	                     	                       	                     	                    	                    	                   	                       	F                      	                    	                      	                     	                 	                   	                 	                       	                      	                       	                   	                      	C                   	C                        	                            	                       	C                       	C                    	                   	C                        	                             	                	C                        	                     	                      	                           	                          	                   	                    	from ODP 120 SR vol 2  Chapter 26 Table 2 p 476-477

  SR	Late Eocene      	Early Oligocene  	NP19/20           	NP2           	120	 747	C	  2	R	 2	  67.50	    170.6750	Aubry    	Nannofossils                                 	A              	M                 	                    	                      	                          	                    	                      	                       	                    	                	                       	                         	                        	                    	                       	                           	                    	                    	                      	                      	                            	                   	                   	                           	                    	                            	                   	                        	                  	                         	                 	                         	                        	                       	                  	                            	                       	                       	                      	                       	                         	                	              	                        	                       	                       	                       	                    	                         	                   	                            	                           	                	                	                   	                   	                	                          	                         	                   	                          	                       	                            	                               	                       	                	                	                    	                   	                  	                       	                       	                 	                 	                          	                     	                        	                    	                    	                	               	                    	                           	                        	                  	                       	                	                    	                       	                    	                         	                   	                      	                    	                     	                      	C                      	                     	                       	                     	                    	                    	                   	                       	                       	                    	                      	                     	R                	                   	                 	                       	                      	                       	                   	                      	C                   	C                        	C                           	C                      	C                       	C                    	                   	C                        	C                            	                	C                        	                     	                      	                           	                          	                   	                    	from ODP 120 SR vol 2  Chapter 26 Table 2 p 476-477
