Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1461D-2R-CC-PAL-FORAM-150-2000,0,10,456.26,456.36,,,,,,,,,,VR,P,S [F02],50,3,,,,,"Ostracod (P), 90% cemented",,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,2,R,CC,PAL,446f78fdeb25d3d06c0fc47ed72f9d4f
356-U1461D-5R-CC-PAL-FORAM-150 2000,0,10,510.28,510.38,,,,,,,,,,R,P,,60,,,,,,Ostracod (P); 95% cemented; spicules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,5,R,CC,PAL,5b2eee3580b6d1e13a12fe4e4cb7a832
356-U1461D-7R-CC-PAL-FORAM-150 2000,0,10,566.82,566.92,,,,,,,,,,F,P,,60,,,,,,Ostracod (R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,P,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,356,U1461,D,7,R,CC,PAL,0b842d0e6f0f11af76aa1706f82670e8
356-U1461D-9R-CC-PAL-FORAM-150-2000,0,10,585.64,585.74,"T Globoturborotalita apertura (Gradstein et al., 2012)",T Globoturborotalita apertura,,1.64,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,R,P,S [F02],70,3,,,,,glauconite,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,F,,,,,P,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,9,R,CC,PAL,ac864b6ee4eedc126d968cdbdcf6e952
356-U1461D-11R-CC-PAL-FORAM-150-2000,0,10,611.45,611.55,,,,,,,,,,F,P,S [F02],80,3,,,,,glauconite,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,R,,,P,,,,,,R,,,,,,,R,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1461,D,11,R,CC,PAL,9e51275380b18dee161c6d4be2c926cb
356-U1461D-13R-7-PAL-FORAM-150-2000,0,10,632.43,632.53,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,F,P,S [F02],80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,R,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,,,,,F,F,P,,,,,P,,,,,,,R,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,13,R,7,PAL,a12fe5a5d1a3e9f78cc93a75a902ac51
356-U1461D-15R-CC-PAL-FORAM-150-2000,0,10,652.51,652.61,,,,,,,,,,R,P,S [F02],80,3,,,,,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,P,,,P,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,D,15,R,CC,PAL,ce0fee99cbd597809bfe2d8073c2e841
356-U1461D-17R-CC-PAL-FORAM-150-2000,0,5,665.62,665.67,"T Globigerinoides fistulosus (Gradstein et al., 2012)",T Globigerinoides fistulosus,G. trunc is present too,1.88,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",G. trunc is present too,0.61,1.88,A,M,M [F02],90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,R,,,,,,,R,,,,F,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,R,R,P,,,,,R,,,,,,,R,,,,,P,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,356,U1461,D,17,R,CC,PAL,1a800b6f611dbc4433d1017f338edcd7
356-U1461D-19R-CC-PAL-FORAM-150-2000,0,10,684.7,684.8,"B Globorotalia truncatulinoides (Gradstein et al., 2012)",B Globorotalia truncatulinoides,,1.93,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,F,P,S [F02],70,3,,,,,"Ostracod, glauconite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,R,P,P,,R,,,P,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1461,D,19,R,CC,PAL,8c51265719f751f3620e080852178400
356-U1461D-20R-7-PAL-FORAM-150-2000,0,10,700.5,700.6,"T Globigerinoides extremus (Gradstein et al., 2012)",T Globigerinoides extremus,,1.98,PL6,"PL6 - Globigerinoides fistulosus Highest-occurrence Zone (Atlantic) (Gradstein et al., 2012)",,1.88,2.39,A,M,M [F02],90,2,,,,,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,P,,P,,,,,,P,,P,P,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,356,U1461,D,20,R,7,PAL,2a2199897ed249da06e570c6d1f58df1
