Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum region,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Fragmentation,Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Beella digitata,Beella praedigitata,Candeina nitida,Dentoglobigerina altispira,Dentoglobigerina globosa,Globigerina bulloides,Globigerina conglomerata,Globigerina eamesi,Globigerina falconensis,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella pseudobesa,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miocenica,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Neogloboquadrina pachyderma (sin.),Orbulina suturalis,Orbulina universa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Turborotalita humilis,Turborotalita quinqueloba,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
353-U1447A-1H-CC-PAL-FORAMP,0,5,3.32,3.37,,,,,,,,,,,0.12,G,D,,,,,,,,,,,,F,R,,,F,R,,,R,,R,,,,,,,,C,R,,,F,,,,,,,,,,,,,F,,,,,,,R,R,,,,,,,,,,R,,,C,,F,,,F,,,,C,,,F,,,,,,,,353,U1447,A,1,H,CC,PAL,49f7acce4018fe454c1e54413ad8142f
353-U1447A-2H-CC-PAL-FORAMP,0,5,12.66,12.71,,,,,,,,,,,0.12,G,D,,,,,,,,,,,,C,R,,,F,R,,,C,,R,,,,,,,,A,R,,,R,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,,,R,,,F,,R,,,R,,,,C,,,R,,,,,,,,353,U1447,A,2,H,CC,PAL,a12ce9952c587a6d1d29e3d029bbd882
353-U1447A-3H-CC-PAL-FORAMP,0,5,22.68,22.73,,,,,,,,,,,0.12,G,D,,,,,,,,,,,,F,R,,,R,,,,C,,R,,,,,,,,C,,,,F,,,R,,,,,,,,,,F,,,,,,,R,R,,,R,,,,,,,,,,F,,F,,,R,,,,F,,,,,,,,,,,353,U1447,A,3,H,CC,PAL,f6236d8d5196a6f97419a03cea5d7f08
353-U1447A-4H-CC-PAL-FORAMP,0,5,32.23,32.28,,,,,,,,,,0.12,,G,D,,,,,,,,,,,,C,R,,,R,R,,,R,,R,,,,,,,F,C,R,,,R,,,F,,,,,,,,,,R,,,,,,,R,,,,,,R,,,,,R,,,C,,F,,,R,,,,R,,,,,,,,,,,353,U1447,A,4,H,CC,PAL,49eb8868604b550b6e6b160ed2c94658
353-U1447A-5H-CC-PAL-FORAMP,0,5,41.62,41.67,,,,,,,,,,0.12,,G,D,,,,,,,,,,,,C,R,,,R,F,,,C,,R,,,,,,,R,C,R,,,F,,,R,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,R,,,F,,F,,,R,,,,F,,,,,,,,,,,353,U1447,A,5,H,CC,PAL,7e798bf0e966f709c38479e8edc1016b
353-U1447A-6H-CC-PAL-FORAMP,0,5,51.22,51.27,,,,,,,,,,0.12,,G,D,,,,,,,,,,,,F,,,,R,F,,,F,,,,,,,,,R,A,R,,,R,,,R,,,,,,,,,,R,,,,,,,R,,,,R,,R,,,,,,,,F,,F,,,R,,,,F,,,,,,,,,,,353,U1447,A,6,H,CC,PAL,3248e9a32ea6dfbdfd6a4ec7b2fe4d70
353-U1447A-7H-CC-PAL-FORAMP,0,5,60.61,60.66,,,,,,,,,,0.12,,G,D,,,,,,,,,,,,F,R,,,R,,,,R,,R,,,,,,,R,A,R,,,F,,,R,,,,,,,,,,R,,,,,,,,R,,,,,R,,,,,R,,,C,,F,,,R,,,,F,,,R,,,,,,,,353,U1447,A,7,H,CC,PAL,1c3867771639b619d376ec4223436f94
353-U1447A-8H-CC-PAL-FORAMP,0,5,70.08,70.13,,,,,,,,,,,,G,D,,,,1,,,,,,,,F,R,,,R,R,,,F,,F,,,,,,,R,C,R,,,F,,,R,,,,,,,,,,R,,,,,,,,,,,R,,R,,,,,,,,F,,F,,,R,,,,C,,,R,,,,,,,,353,U1447,A,8,H,CC,PAL,e7cd0552a151c82158b4353f1b0986aa
353-U1447A-9H-CC-PAL-FORAMP,0,5,79.49,79.54,,,,,,,,,,,,G,D,,,,,,,,,,,,R,R,,,R,,,,R,,R,,,,,,,,C,R,,,F,,,R,,,,,,,,,,R,,,,,,,,,,,R,,R,,,,,,,,F,,R,,,R,,,,C,,,R,,,,,,,,353,U1447,A,9,H,CC,PAL,d5396890b40f84bf1c4150c807fcbaec
353-U1447A-10H-CC-PAL-FORAMP,0,5,89.43,89.48,,,,,,,,,,,,G,D,,,,,,,,,,,,F,F,,,C,F,,,F,,R,,,,,,,,A,A,,F,F,,,R,,,,,,,,,,F,,,,,,,R,,,,R,,R,,,,,F,,,A,,C,,,C,,,,A,,,F,,,,,,,,353,U1447,A,10,H,CC,PAL,504a4aa9954a8fec28055d28ec665c8b
