Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Globigerinoides ruber (pink),Globorotalia tosaensis,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides extremus,Globorotalia miocenica,Globorotalia limbata,Globorotalia multicamerata,Dentoglobigerina altispira,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia margaritae,Globoturborotalita nepenthes,Globorotalia merotumida,Globoquadrina dehiscens,Globorotalia lenguaensis,Neogloboquadrina acostaensis,Paragloborotalia mayeri,Fohsella fohsi,Fohsella robusta,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Praeorbulina sicana,Globigerinatella insueta,Orbulina suturalis,Praeorbulina glomerosa,Catapsydrax dissimilis,Globigerina ciperoensis,Globigerinoides trilobus,Paragloborotalia kugleri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1472A-11H-CC-PAL-FORAM >150,0,5,100.21,100.26,,,,M,,,,,P,,P,,R,P,,,R,P,,,,,P,,,,,,,,,P,,,,R,,,,,359,U1472,A,11,H,CC,PAL,08bf4c3aaf819f960ca168a3ff327cc5
359-U1472A-12H-CC-PAL-FORAM >150,0,5,109.75,109.8,,,,P,,,,,P,,P,,P,P,,,P,,,,,,P,,,,,,,,,P,,,,P,,,,,359,U1472,A,12,H,CC,PAL,841f6147a4705cecaa74b8217d74da1b
359-U1472A-13H-CC-PAL-FORAM >150,0,5,119.12,119.17,,,,VP,,,,,,,P,,R,,,,P,,,,,,P,,,,,,,,,P,,,,P,,,,,359,U1472,A,13,H,CC,PAL,096c1529cdf9658f011d584dfd6c9a20
359-U1472A-14H-CC-PAL-FORAM >150,0,5,128.82,128.87,,,,VP,,,,,,,P,,P,,,,P,P,,P,,,R,,,,,,,,,P,,,,P,,,,,359,U1472,A,14,H,CC,PAL,98a9d148808056a920fd1ec847bf7ad5
359-U1472A-15H-CC-PAL-FORAM >150,0,5,138.31,138.36,,,,VP,,,,,,,P,,P,P,,,,,,P,P,,R,,,,,,,,,P,,,,P,,,,,359,U1472,A,15,H,CC,PAL,d976f199c58d852f53acdbbc090f5885
359-U1472A-16H-CC-PAL-FORAM >150,0,5,147.99,148.04,,,,VP,,,,,,,P,,P,,,,,,,R,,,P,,,,,,,,,P,,,,P,,,,,359,U1472,A,16,H,CC,PAL,e6af35fc1b7f8c4ff47ea50835a51d64
359-U1472A-17H-CC-PAL-FORAM >150,0,5,156.98,157.03,,,,VP,,,,,,,P,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,359,U1472,A,17,H,CC,PAL,99c35d18aa28208682819ccb3f009499
359-U1472A-18H-CC-PAL-FORAM >150,0,5,166.75,166.8,,,,VP,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,P,,,,P,,,,,359,U1472,A,18,H,CC,PAL,ab7acce2b0c9c526ddec362770c659c3
359-U1472A-19H-CC-PAL-FORAM >150,0,5,176.54,176.59,,,,VP,,,,,,,P,,P,P,,,,,,,P,,P,,,,,,,,,P,,,,P,,,,,359,U1472,A,19,H,CC,PAL,d0e5ac95634b1b865db5762100d9bfdc
359-U1472A-20H-CC-PAL-FORAM >150,0,5,185.96,186.01,,,,VP,,,,,,,P,,P,P,,,,,,P,P,,P,,,,,,,,,P,,,,P,,,,,359,U1472,A,20,H,CC,PAL,7ce589051dec643fa4bd6acc0dab3dba
359-U1472A-21H-CC-PAL-FORAM >150,0,5,195.21,195.26,,,,VP,,,,,,,,,,P,,,,,,P,P,,,,,,,,,,,P,,,,P,,,,,359,U1472,A,21,H,CC,PAL,92a136e6f6437130bcd8f62c348efa78
359-U1472A-22H-CC-PAL-FORAM >150,0,5,198.34,198.39,,,,VP,,,,,,,,,P,,,,,,,P,P,,,,,,,,,,,P,,,,P,,,,,359,U1472,A,22,H,CC,PAL,007f9796364f7bdb5483fd5303199a90
359-U1472A-23H-CC-PAL-FORAM >150,0,5,200.33,200.38,,,,VP,,,,,,,,,P,P,,,,,,R,P,,,,,,,,,,,P,,,,P,,,,,359,U1472,A,23,H,CC,PAL,729e3258de6a97352db41e1ed687f58d
359-U1472A-24F-CC-PAL-FORAM >150,0,5,201.05,201.1,,,,VP,,,,,,,,,P,,,,,,,R,,,,,,,,,,,,P,,,,P,,,,,359,U1472,A,24,F,CC,PAL,f7879987a5d5bc373937ced5446997a8
359-U1472A-25F-CC-PAL-FORAM >150,0,5,205.61,205.66,,,,VP,,,,,,,,,P,,,,,,,R,P,,,,,,,,,,,P,,,,P,,,,,359,U1472,A,25,F,CC,PAL,05c44bf5c4585525bd43b1cd14e2a9d5
359-U1472A-26F-CC-PAL-FORAM >150,0,5,214.1,214.15,,,,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,359,U1472,A,26,F,CC,PAL,227a90c672ac420bf18b9dc456344a69
359-U1472A-27F-CC-PAL-FORAM >150,0,5,218.53,218.58,,,,VP,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,P,,,,P,,,,,359,U1472,A,27,F,CC,PAL,6977fce8c688aa1c3db88e5bf3a0a4f4
359-U1472A-28F-CC-PAL-FORAM >150,0,5,223.14,223.19,,,,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,359,U1472,A,28,F,CC,PAL,8bf26f74229a1df60ae191f5ce11f5b9
359-U1472A-29F-CC-PAL-FORAM >150,0,5,225.21,225.26,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,29,F,CC,PAL,586efe61619c9312e3ff5bb9cfa6d798
359-U1472A-30F-CC-PAL-FORAM >150,0,5,232.38,232.43,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,30,F,CC,PAL,bd73aee569d06ee361351d29f8b3498c
359-U1472A-31F-CC-PAL-FORAM >150,0,5,237.33,237.38,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,31,F,CC,PAL,1cd49f0cad90bbce9092ae1818f4ab2e
359-U1472A-32F-CC-PAL-FORAM >150,0,5,241.43,241.48,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,32,F,CC,PAL,397588f938987aa16230681a97e452d0
359-U1472A-33F-CC-PAL-FORAM >150,0,5,245.91,245.96,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,33,F,CC,PAL,aaea1bf4fc9b245c3b627ed3731af6c9
359-U1472A-34F-CC-PAL-FORAM >150,0,5,249.19,249.24,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,34,F,CC,PAL,4b1a979414f07d35b0bd88e654f55bd6
