Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Chiasmolithus grandis,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Cyclicargolithus luminis,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster nodifer,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster triradiatus,Discoaster variabilis,Discoaster williamsii,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (>5.5 microns),Gephyrocapsa sp. (4-5.5 microns),Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera burkei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera sellii,Lanternithus minutus,Minylitha convallis,Nicklithus amplificus,Orthorhabdus serratus,Pontosphaera exilis,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera punctosa,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra circus,Reticulofenestra erbae,Reticulofenestra lockeri,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Reticulofenestra umbilicus,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus pospichalii,Sphenolithus predistentus,Sphenolithus pseudoheteromorphus,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
368-U1502A-2R-CC-PAL(27-32)-NANNO,0,5,376.76,376.81,NN11,G,A,R,,,,F,,F,,,,,,,,,,,F,,,,,,,,C,,C,,,C,,,,,,,,,C,,,C,,,,F,,,,C,,,,,,,,,,,F,,F,,,,,,,,,,F,,,,,,,,F,C,A,,,R,C,,,,,,,,,,,,,,,C,,,,,F,,,REWORKED Sphenolithus heteromorphus (R),,,,368,U1502,A,2,R,CC,PAL,0b0f40b82d778f98ea92037b15c37982
368-U1502A-3R-CC-PAL(6-11)-NANNO,0,5,385.4,385.45,NN11,G,A,R,,,,F,,F,,,,,,,,,,,F,,,,,,,,C,,C,,,C,,,,,,,,,C,,,C,,,,F,,,,C,,,,,,,,,,,F,,F,,,,,,,,,,F,,,,,,,,F,C,A,,,R,C,,,,,,,,,,,,,,,C,,,,,F,,,REWORKED Cyclicargolithus floridanus (F),,,,368,U1502,A,3,R,CC,PAL,faab9cd8cee3d207a1f2aa2da91d13ea
368-U1502A-4R-CC-PAL(0-5)-NANNO,0,5,394.62,394.67,NN11,G,A,,,,,C,,,,,,,,,,,,,C,,,,,,F,,C,,C,,,F,,,,,,,,,C,,,C,,,,R,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,A,,,,,,,,,,,,,,,,,,,A,,,,,,,,BROKEN DISCOASTER COMMON,,,,368,U1502,A,4,R,CC,PAL,ecd0f6b3f1177f74a949e6dfb5413893
368-U1502A-5R-CC-PAL-NANNO,0,5,403.8,403.85,NN11,G,A,R,,,,C,,,,,,,R,,,,,,C,,,,,,C,,C,,C,,,C,,,,,,,,,F,,,C,,,,C,,,,C,,,,,,,,,,,C,,,,,,R,,,,,,R,,,,,,,,C,,A,,,,,,,,,,,,,,,,,,,A,,,,,,,,"BROKEN DISCOASTER COMMON, reworked Chiasmolithus grandis and Sphenolithus heteromorphus",,,,368,U1502,A,5,R,CC,PAL,e004bcffad7a4ec97fea7a8d96ffd68c
368-U1502A-6R-CC-PAL(0-5)-NANNO,0,5,413.99,414.04,NN11,G,A,R,,,,F,,,,,,,,,,,,,F,,,,,,F,,C,,C,,,,,,,,,,,,C,,,C,,,,C,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,F,,A,,,,,,,,,,,,,,,,,,,C,,,,,,,,"BROKEN, OVERGROWN DISCOASTER",,,,368,U1502,A,6,R,CC,PAL,92b0ba1e44f63fb21077e8a730b796ce
368-U1502A-7R-CC-PAL(0-5)-NANNO,0,5,423.0,423.05,NN11,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,,,,,F,,,C,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,BROKEN DISCOASTER,,,,368,U1502,A,7,R,CC,PAL,497d6d47d3ebc0af688998dfed0356e5
368-U1502A-8R-CC-PAL(9-14)-NANNO,0,5,432.69,432.74,NN11,M,A,R,F,,,,,,,,,,,,,,,F,,,,,,,,,C,,C,,,,,,,,,,,,F,,,C,,,,C,,,,C,,,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,368,U1502,A,8,R,CC,PAL,e400123d28cba893ec254ea1b91713cc
368-U1502A-9R-CC-PAL(25-30)-NANNO,0,5,450.17,450.22,NN11,M,C,R,,,,,,,,,,,,,,,,,F,,,,,,,,C,,F,,,,,,,,,,,,,,,C,,,,C,,,,C,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,BROKEN DISCOASTER,,,,368,U1502,A,9,R,CC,PAL,65ac5706a813e746e5fe23f051980d9d
368-U1502A-10R-CC-PAL(19-24)-NANNO,0,5,458.76,458.81,NN11,M,C,,R,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,F,,,C,,,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,SEVERE DISSOLUTION,,,,368,U1502,A,10,R,CC,PAL,67a1dc7b56bc8f0e410786e6141f57e4
368-U1502A-11R-CC-PAL(14-19)-NANNO,0,5,470.5,470.55,NN11,M,C,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,F,,,,,,,,,,,,F,,,C,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,C,,,,,R,,,SEVERE DISSOLUTION,,,,368,U1502,A,11,R,CC,PAL,c3c627d09ec1af661e6985b221d387b1
