Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Alabamina creta,Allomorphina conica,Amphistegina aucklandica,Anomalina aotea,Anomalina visenda,Anomalinoides fasciatus,Anomalinoides orbiculus,Anomalinoides parvumbilia,Anomalinoides semiteres,Aragonia tenera,Aragonia zelandica,Arenodosaria antipoda,Astacolus compressus,Asterigerina cyclops,Asterocyclina hornibrooki,Asterocyclina speighti,Astrononion parki,Baggatella cf. inconspicua,Baggina ampla,Bathysiphon sp.,Bigenerina burri,Bolivina alata,Bolivina finlayi,Bolivina lapsus,Bolivina pontis,Bolivina reticulata,Bolivina semitruncata,Bolivina sp.,Bolivina subcompacta,Bolivina tectiformis,Bolivinella bensoni,Bolivinella rugosa,Bolivinella subrugosa,Bolivinopsis compta,Bolivinopsis cubensis,Buccella lotella,Bueningia creeki,Bulimina bortonica,Bulimina forticosta,Bulimina miolaevis,Bulimina pupula,Bulimina senta,Bulimina serratospina,Bulimina sp.,Bulimina striata,Bulimina subbortonica,Bulimina truncanella,Buliminella browni,Buliminella creta,Buliminoides chattonensis,Cancris lateralis,Cassidulina cuneata,Cassidulina sp.,Cibicides collinsi,Cibicides hampdenensis,Cibicides ihungia,Cibicides karreriformis,Cibicides maculatus,Cibicides molestus,Cibicides notocenicus,Cibicides novozelandicus,Cibicides parki,Cibicides perforatus,Cibicides pseudoconvexus,Cibicides semiperforatus,Cibicides sp.,Cibicides thiara,Cibicides tholus,Cibicides verrucosus,Cibicides vortex,Clavulina anglica,Clavulina sp.,Conotrochammina depressa,Cribrorotalia dorreeni,Cribrorotalia keari,Cribrorotalia longwoodensis,Cribrorotalia okokoensis,Cribrorotalia ornatissima,Cribrorotalia tainuia,Cyclammina amplectans,Cyclammina incisa,Dentalina sp.,Discorotalia tenuissima,Dorothia agrestis,Dorothia minima,Eggerella columna,Eggerella decepta,Ehrenbergina cf. bicornis,Elphidium hampdenense,Elphidium saginatum,Eoeponidella zealandica,Euuvigerina bortotara,Euuvigerina maynei,Euuvigerina miozea,Euuvigerina picki,Euuvigerina sp.,Euuvigerina wanzea,Evolvocassidulina orientalis,Frondicularia teuria,Gaudryina minuscula,Gaudryina proreussi,Gaudryina quadrazea,Gaudryina reliqua,Gaudryina reussi,Gaudryina sp.,Gaudryina whangaia,Gavelinella becarriformis,Gavelinella zealandica,Globocassidulina pseudocrassa,Globocassidulina subglobosa,Gyroidinoides allani,Gyroidinoides sp.,Gyroidinoides zelandicus,Haeuslerella decepta,Haeuslerella hectori,Haeuslerella textilariformis,Halkyardia bartrumi,Hanzawaia scopos,Hanzawaia turgida,Hauserella sp.,Heterostegina borneensis,Hoeglundina elegans,Hofkerina semiornata,Karreulina bortonica,Kolesnikovella australis,Lagenoglandulina annulata,Lamarckina novozealandica,Laticarinina pauperata,Lenticulina callifera,Lenticulina costata,Lenticulina foliata,Lenticulina gyroscalpra,Lenticulina hampdenensis,Lenticulina lenticula,Lenticulina loculosa,Lenticulina mamilligera,Lenticulina pseudocalcarata,Lenticulina pseudomamilligera,Lenticulina sp.,Lenticulina taettowata,Lingulina decipiens,Loxostomoides bortonica,Loxostomum limonense,Marginulinopsis allani,Marginulinopsis spinobesa,Martinottiella weymouthi,Melonis dorreeni,Melonis maorica,Melonis sp.,Mississippina concentrica,Mucronina cf. subtetragona,Neoflabellina semireticulata,Nodosaria sp.,Nonionella novazealandica,Notorotalia stachei,Notorotalia uttleyi,Nuttalides carinotruempyi,Nuttalides florialis,Nuttallides truempyi,Pararotalia mackayi,Planularia halophora,Planulina catilla,Planulina renzi,Plectofrondicularia awamoana,Plectofrondicularia proparri,Plectofrondicularia whaingaroica,Pleurostomella sp.,Polymorphina incavata,Polymorphina lingulata,Polymorphina marshalli,Polymorphina marwicki,Polymorphina waitakiensis,Pseudopolymorphina parri,Pullenia sp.,Quasibolivina finlayi,Quasibolivina taylori,Quinqueloculina sp.,Rectobolivina maoriella,Rectuvigerina clifdenensis,Rectuvigerina ongleyi,Rectuvigerina postprandia,Rectuvigerina prisca,Rectuvigerina rerensis,Rectuvigerina striatissima,Reussella finlayi,Rotaliatina sulcigera,Saracenaria arcuatula,Semivulvulina capitata,Semivulvulina prisca,Semivulvulina waitakia,Sigmavirgulina cf. tortuosa,Sigmoilopsis neocelata,Sigmomorphina pernaeformis,Siphonina australis,Siphotextularia acutangula,Siphotextularia awamoana,Siphotextularia bolivina,Siphotextularia finlayi,Siphouvigerina sp.,Sphaeroidina bulloides,Sphaeroidina variabilis,Stilostomella sp.,Tappanina glaessneri,Tappanina olsoni,Textularia pseudomiozea,Textularia zeaggluta,Trifarina elliptica,Trifarina ototara,Trifarina parva,Tritaxia instar,Tritaxilina zealandica,Vaginulina sp.,Vaginulinopsis cristellata,Vaginulinopsis hochstetteri,Vaginulinopsis interrupta,Vaginulinopsis marshalli,Vaginulinopsis marwicki,Vaginulinopsis recta,Vaginulinopsis spinulosa,Vaginulinopsis waipaerensis,Victoriella conoidea,Virgulopsis costata,Virgulopsis pustulata,Vulvulina bortonica,Vulvulina bueningi,Vulvulina granulosa,Vulvulina jablonksii,Vulvulina pennatula,Vulvulina sp.,Vulvulina zespinosa,Wadella globiformis,Zeaflorilus stachei,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1520D-1H-1-PAL_MUDLINE-FORAM,0,0,0,0,VG-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,1,H,1,PAL_MUDLINE,99d136d177c63bb5b4b85afabea4a7a8
375-U1520D-1H-CC-PAL-FORAM,0,5,5.88,5.93,VG-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,1,H,CC,PAL,7adacad310e9f38b655aacbfe1afe065
375-U1520D-2H-CC-PAL-FORAM,0,10,15.7,15.8,VG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,2,H,CC,PAL,f9c6d1304f787fa5c553f725d5f666df
375-U1520D-4H-CC-PAL-FORAM,0,10,34.87,34.97,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,4,H,CC,PAL,351257a57dcc69ad98fed110531f26fb
375-U1520D-6H-CC-PAL-FORAM,0,10,53.21,53.31,VG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,6,H,CC,PAL,115649f88d8d181b0f7b8493d9606e7e
375-U1520D-8H-CC-PAL-FORAM,0,10,70.82,70.92,G-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,8,H,CC,PAL,2d05f08d6913f32685b122fa3b4cd69c
375-U1520D-11H-CC-PAL(7-17)-FORAM,0,10,101.87,101.97,VG-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,11,H,CC,PAL,903e746d78e403976a78927e0d36211a
375-U1520D-13H-CC-PAL-FORAM,0,10,120.89,120.99,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,13,H,CC,PAL,ecb589751749cd806c513247c734ea50
375-U1520D-15H-CC-PAL-FORAM,0,10,139.34,139.44,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,15,H,CC,PAL,554a799168c954d6b4d8fd6943f6c94d
375-U1520D-17H-CC-PAL-FORAM,0,10,156.18,156.28,VG-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,D,17,H,CC,PAL,b93bc164b11b70588617087cfab2e5ec
