Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1466A-1H-1-W,33,33,0.33,0.33,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,C,C,,F,C,,,,,F,A,,,,,,F,,,,,,,,,,,,,,,C,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,359,U1466,A,1,H,1,W,974dc1d94598ecd71f56a13b5c53abc0
359-U1466A-1H-2-W,79,79,2.29,2.29,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,C,C,A,,F,C,,,,,F,A,,,,,,F,,,,,,,,,,,,,,,C,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,359,U1466,A,1,H,2,W,86fd05d1d88ccf0bc50ced621397d386
359-U1466A-1H-3-W,58,58,3.59,3.59,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,C,C,C,,F,F,,,,,F,A,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,359,U1466,A,1,H,3,W,da61026c7e1aca8f31022c0515dee1f5
359-U1466A-1H-4-W,35,35,4.37,4.37,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,C,F,C,,F,F,,,,,F,A,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,359,U1466,A,1,H,4,W,c94c371f3cf825f135eddc75026c834f
359-U1466A-1H-CC-PAL,0,5,4.98,5.03,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,C,R,R,,C,C,,,,,C,A,,,,,,F,,,,,C,R,,,,,R,,,,C,,,,,,,F,,,,R,F,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,359,U1466,A,1,H,CC,PAL,67c5f18bf12fc492a416b418f7b1e5bd
359-U1466A-2H-1-W,73,73,5.73,5.73,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,C,,,C,C,,,,,,,,,,,,F,,,,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,2,H,1,W,613182a7e03d8f4aeb2b8b3d5db7f2a1
359-U1466A-2H-3-W,12,12,8.13,8.13,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,F,,,C,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,2,H,3,W,dabb257953abe5c4275c9be2473c3fa7
359-U1466A-2H-5-W,28,28,11.29,11.29,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,C,,A,,A,,R,,,,,,,,,,,A,,,,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,2,H,5,W,48b9a2e5ef3b775c88923b519ed156f0
359-U1466A-2H-CC-REIJ,0,5,13.76,13.81,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,C,A,A,R,R,,,,,,,,,,,,,,,,A,,,,,,F,,,,,,,,,,,,,,,,R,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,359,U1466,A,2,H,CC,REIJ,df7ef0d549c50e3809c270006e2d3ed7
359-U1466A-3H-1-W,10,10,14.6,14.6,,,G,A,,,,,,F,,,R,A,A,,,,,,C,,,,,R,,,,,,,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,3,H,1,W,355ee19a9f8ee13b28a328be2c951954
