Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Algirosphaera robusta,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus spp.,Amaurolithus tricorniculatus,Blackites sp.,Braarudosphaera bigelowii,Calcidiscus carlae,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia murrayi,Catinaster calyculus,Catinaster coalitus,Catinaster mexicanus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus spp.,Clausicoccus obrutus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pliopelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites productus,Dictyococcites spp.,Discoaster adamanteus,Discoaster asymmetricus,Discoaster aulakos,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster decorus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis (small),Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster pseudovariabilis,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Discosphaera tubifera,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa lumina,Gephyrocapsa margerelii,Gephyrocapsa margerelii/muellerae,Gephyrocapsa muellerae,Gephyrocapsa oceanica ss,Gephyrocapsa omega,Gephyrocapsa parallela,Gephyrocapsa spp. (>4 microns),Gephyrocapsa spp. (large >5.5 microns),Gephyrocapsa spp. small (<4 microns),Hayaster perplexus,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera elongata,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera scissura,Helicosphaera sellii,Helicosphaera spp.,Helicosphaera wallichii,Minylitha convallis,Nicklithus amplificus,Oolithotus fragilis,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilica,Reticulofenestra rotaria,"Reticulofenestra ""small""",Reticulofenestra spp.,Rhabdosphaera clavigera,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus compactus,Sphenolithus grandis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus neoabies,Sphenolithus quadrispinatus,Sphenolithus spp.,Sphenolithus verensis,Syracosphaera pulchra,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus extensus,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
346-U1427A-1H-1-PAL(Mudline),0,0,0.0,0.0,M,F,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,C,,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,1,H,1,PAL,5085f333462d596e12b0e89d851741ee
346-U1427A-1H-CC-PAL,0,5,1.74,1.79,G,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,C,,,,F,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,1,H,CC,PAL,996535e52f9ba15ddfd74cdafcb704ff
346-U1427A-2H-CC-PAL,0,5,11.29,11.34,G,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,CC,PAL,ef2f604b5199dc38c11e40a76a25633e
346-U1427A-3H-CC-PAL,0,5,21.39,21.44,M,F,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,R,,R,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,3,H,CC,PAL,26a8d2a619a42dfea2fa09b4850c9756
346-U1427A-4H-2-W 75/75-NANNO,0,0,22.06,22.06,M,F,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,R,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,4,H,2,W,c5eb532e072ebe5c2be3b3283f4d742c
346-U1427A-4H-4-W 75/75-NANNO,0,0,24.76,24.76,M,F,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,F,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,4,H,4,W,508bea4f7ac5fbd86682b95e8bea20a3
346-U1427A-4H-6-W 75/75-NANNO,0,0,27.25,27.25,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,A,F,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,4,H,6,W,36cdfdfcf89d41d957e18587e444e8ff
346-U1427A-4H-CC-PAL,0,5,30.79,30.84,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,C,F,,C,F,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,4,H,CC,PAL,ba120604ae18a6bba8bbe55a2c3549a7
346-U1427A-5H-1-W 75/75-NANNO,0,0,31.05,31.05,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,C,C,,,,,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,5,H,1,W,22a32f93e6b932e6610df767dce6c197
346-U1427A-5H-3-W 30/32-PAL,0,2,33.53,33.55,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,C,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,5,H,3,W,131d748f8e57efef82e0e2f663920a6d
