Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Calcidiscus leptoporus,Chiasmolithus spp.,Coccolithus pelagicus,Cyclicargolithus cf. floridanus,Cyclicargolithus floridanus,Dictyococcites antarcticus,Reticulofenestra daviesii,Reticulofenestra hampdenensis,Reticulofenestra lockeri,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra umbilicus,Thoracosphaera spp.,Nannofossil fragments,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
374-U1522A-14R-CC-PAL-NANNO,0,6,125.97,126.03,,B,,,,,,,,,,,,,,,,,,,374,U1522,A,14,R,CC,PAL,48285b8c2e4820add60264ec0bbc7e25
374-U1522A-23R-CC-PAL-NANNO,0,5,218.12,218.17,,B,,,,,,,,,,,,,,,,,,,374,U1522,A,23,R,CC,PAL,7d69f9067b2835fd3073fc9776ac03e2
374-U1522A-28R-CC-PAL-NANNO,0,5,264.71,264.76,,B,,,,,,,,,,,,,,,,,,,374,U1522,A,28,R,CC,PAL,c0bea0d2dbeff5a1b0b07190e9f09d87
374-U1522A-32R-CC-PAL-NANNO,0,5,300.37,300.42,,B,,,,,,,,,,,,,,,,,,,374,U1522,A,32,R,CC,PAL,6977782c1f2c38e13309b835b84d322d
374-U1522A-39R-CC-PAL-NANNO,0,7,352,352.07,,B,,,,,,,,,,,,,,,,,,,374,U1522,A,39,R,CC,PAL,d65b734b1d660a1915b3c1dd5792d95e
374-U1522A-45R-CC-PAL-NANNO,0,5,397.87,397.92,,B,,,,,,,,,,,,,,,,,,,374,U1522,A,45,R,CC,PAL,cec55e8f8d0c4e2d146d37fa4f0ad774
374-U1522A-50R-CC-PAL-NANNO,0,5,450.36,450.41,,B,,,,,,,,,,,,,,,,,,,374,U1522,A,50,R,CC,PAL,f437f3cc520cf72283bee7a46a2d6ab9
374-U1522A-55R-CC-PAL-NANNO,0,5,494.97,495.02,,B,,,,,,,,,,,,,,,,,,,374,U1522,A,55,R,CC,PAL,805ec22bc49ec1f4910129b94348b9fe
374-U1522A-60R-CC-PAL-NANNO,0,5,548.9,548.95,,B,,,,,,,,,,,,,,,,,,,374,U1522,A,60,R,CC,PAL,1b5a91084d737471444ef5b6dfd87ca1
374-U1522A-68R-CC-PAL-NANNO,0,5,623.11,623.16,,B,,,,,,,,,,,,,,,,,,,374,U1522,A,68,R,CC,PAL,a601c6f85bc65cc20631f763df2b1739
374-U1522A-72R-CC-PAL-NANNO,0,5,660.65,660.7,,B,,,,,,,,,,,,,,,,,,,374,U1522,A,72,R,CC,PAL,3543fe227bc8d24723a4cf3ec9cd7031
