Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygocircus sp.,Tholospyris fornicata,Theocorythium trachelium,Theocalyptra gegenbauri,Theocalyptra davisiana,Theocalyptra bicornis,Tetrapyle octacantha,Tessarastrum straussi,Stylosphaera sp.,Stylodictya sp.,Stylodictya multispina,Stylochlamidium asteriscus,Spongurus sp. cf. S. elliptica,Spongurus sp.,Spongotrochus (?) venustum,Spongotrochus glacialis,Spongopyle osculosa,Spongodiscus sp.,Spongocore puella,Spongaster tetras tetras,Spongaster tetras irregularis,Siphonosphaera sp.,Siphonosphaera polysiphonia,Pterocorys zancleus,Pterocorys sp.,Pterocorys macroceras,Pterocanium trilobum,Pterocanium praetextum praetextum,Porodiscus sp.,Phormostichoartus corbula,Peromelissa phalacra,Peripyramis circumtexta,Otosphaera auriculata,Octopyle stenozona,Lithopera bacca,Lithelius minor,Liriospyris reticulata,Larcospira quadrangula,Larcopyle butshclii,Lamprocyrtis nigriniae,Lamprocyrtis maritalis,Lamprocyrtis hannai,Hexapyle sp.,Hexacontium sp.,Helotholus histricosa,Heliodiscus asteriscus,Gondwanaria dogieli,Giraffospyris angulata,Eucyrtidium punctatum,Eucyrtidium hexasticum,Eucyrtidium hexagonatum,Eucyrtidium calvertense,Eucyrtidium anomalum,Eucyrtidium acuminatum,Euchitonia sp.,Euchitonia furcata,Euchitonia elegans,Disolenia zanqyebarica,Disolenia quadrata,Didymocyrtis tetrathalamus,Dictyophimus sp.,Dictyocoryne truncatum,Dictyocoryne sp.,Dictyocoryne profunda,Cyrtolagena aglaolampa,Cornutella profunda,Collosphaera tuberosa,Carpocanistrum sp.,Buccinosphaera invaginata,Botryostrobus auritus/australis,Botryostrobus aquilonaris,Botryocyrtis scutum,Artobotrys auriculaleporis,Anthocyrtidium zanguebaricum,Anthocyrtidium ophirense,Amphirhopalum ypsilon,Acrosphaera spinosa forma C,Acrosphaera sp.,?Pylospira octopyle,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,134, 833,A,  1,H,CC,  37.00,      9.5700,Riedel   ,Radiolarians                                 ,               ,                  ,-             ,-                    ,-                       ,-                      ,-                     ,R                    ,-                   ,-                    ,-               ,R              ,-                     ,-                         ,R                             ,R            ,-                         ,R                      ,-                  ,F               ,-                ,-                       ,-                            ,-                 ,-                          ,-                  ,-             ,-                    ,-                   ,-                                ,F             ,-                        ,-                   ,-                      ,-                    ,-                 ,-              ,-              ,-                     ,-                     ,-                  ,-                     ,-                     ,-                  ,-           ,R              ,-                    ,-                     ,-                  ,-                     ,-                    ,-                     ,-                      ,-                      ,-                   ,-                     ,-             ,-                 ,-                 ,-                     ,-                 ,-                         ,-               ,-                     ,R               ,-                    ,-                     ,-                  ,-                    ,-                 ,-                        ,-                              ,-                        ,-                  ,-                         ,-                           ,-                       ,-                    ,F                          ,-              ,-                  ,from ODP Leg 134 SR Chapter 14 Talbe 5 p 316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,134, 833,A,  2,H,CC,  27.00,     19.5600,Riedel   ,Radiolarians                                 ,               ,                  ,F             ,-                    ,-                       ,-                      ,R                     ,F                    ,F                   ,-                    ,-               ,F              ,-                     ,-                         ,F                             ,F            ,R                         ,R                      ,-                  ,F               ,R                ,-                       ,-                            ,-                 ,F                          ,-                  ,-             ,-                    ,-                   ,-                                ,F             ,R                        ,-                   ,R                      ,-                    ,-                 ,-              ,R              ,-                     ,-                     ,F                  ,-                     ,-                     ,-                  ,-           ,-              ,-                    ,-                     ,-                  ,R                     ,-                    ,-                     ,-                      ,VR                     ,-                   ,-                     ,-             ,R                 ,-                 ,-                     ,-                 ,-                         ,F               ,R                     ,R               ,R                    ,-                     ,R                  ,-                    ,R                 ,-                        ,R                              ,R                        ,-                  ,-                         ,-                           ,-                       ,-                    ,F                          ,-              ,F                  ,from ODP Leg 134 SR Chapter 14 Talbe 5 p 316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,134, 833,A,  3,H,CC,  44.00,     28.9400,Riedel   ,Radiolarians                                 ,               ,                  ,-             ,-                    ,-                       ,-                      ,R                     ,F                    ,F                   ,-                    ,R               ,F              ,F                     ,-                         ,F                             ,F            ,F                         ,F                      ,-                  ,F               ,F                ,R                       ,-                            ,-                 ,R                          ,-                  ,-             ,-                    ,-                   ,-                                ,F             ,-                        ,-                   ,R                      ,-                    ,-                 ,-              ,F              ,-                     ,R                     ,F                  ,-                     ,-                     ,-                  ,F           ,F              ,-                    ,-                     ,-                  ,-                     ,-                    ,-                     ,-                      ,VR                     ,R                   ,VR                    ,R             ,R                 ,-                 ,-                     ,-                 ,F                         ,F               ,R                     ,F               ,F                    ,-                     ,R                  ,-                    ,F                 ,-                        ,-                              ,-                        ,F                  ,-                         ,-                           ,-                       ,VR                   ,F                          ,-              ,F                  ,from ODP Leg 134 SR Chapter 14 Talbe 5 p 316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
