Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia opima nana/continuosa transition,Globorotalia mayeri,Globigerina ciperoensis ciperoensis,Globigerina ciperoensis angulisuturalis,Catapsydrax dissimilis,Globorotaloides suteri,Globorotaloides spp.,Globorotalia opima nana,Globoquadrina venezuelana,Globigerina spp.,Globigerina ciperoensis angustiumbilicata,Globigerina praebulloides,Catapsydrax unicavus,Globigerina ciperoensis,Globigerina sellii,Catapsydrax spp.,Globoquadrina dehiscens dehiscens,Globoquadrina dehiscens praedehiscens,Globigerinoides trilobus/immaturus,Globigerinita naparimaensis,Catapsydrax stainforthi,Globorotalia fohsi peripheroronda,Globorotalia continuosa,Globoquadrina dehiscens,Globigerinoides spp.,Globigerinoides primordius,Cassigerinella chipolensis,Globorotalia acrostoma,Globoquadrina altispira altispira,Globigerina tripartita,Marginotruncana spp.,Globorotalia siakensis,Globoquadrina spp.,Globoquadrina baroemoenensis,Globigerinoides sacculifer,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis disjuncta,Globorotalia praescitula,Praeorbulina transitoria,Globorotalia spp.,Globorotalia miozea,Globigerinoides subquadratus,Globigerina woodi woodi,Globigerina druryi,Globigerina bulloides,Praeorbulina sicana,Globorotalia obesa,Globoquadrina altispira globosa,Globoquadrina altispira,Globigerinoides altiaperturus,Globorotalia scitula,Orbulina suturalis,Hedbergella spp.,Globorotalia scitula s.l.,Globigerina megastoma cariacoensis,Globorotalia mayeri (small),Globorotalia inflata,Globigerinoides ruber (white),Globigerina nepenthes (small),Globigerina falconensis,Globigerina decoraperta,Orbulina universa,Orbulina bilobata,Neogloboquadrina pachyderma,Neogloboquadrina dutertrei,Neogloboquadrina atlantica,Hastigerina siphonifera,Hastigerina aequilateralis,Globorotalia truncatulinoides,Globorotalia triangula,Globorotalia tosaensis,Globigerinoides obliquus obliquus,Globigerinoides elongatus/obliquus extremus,Beella digitata,Sphaeroidinella dehiscens,Neogloboquadrina acostaensis,Globigerinoides conglobatus,Globigerina calida,Beella praedigitata,Globorotalia crassaformis ronda,Globorotalia crassaformis crassaformis,Globorotalia crassaformis,Globorotalia tumida,Globorotalia menardii,Globigerina bermudezi,Pulleniatina primalis,Neogloboquadrina humerosa,Globorotalia cf. Gr. hirsuta,Globorotalia crassaformis hessi,Pulleniatina obliquiloculata,Pulleniatina finalis,Pulleniatina obliquiloculata/inflata transition,Globorotalia hirsuta,Globigerinoides ruber (pink),Globigerinoides elongatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,Holocene         ,N22               ,N23           ,149, 898,A,  5,H, 2, 119.00,     40.3900,Gervais  ,Planktonic Foraminifers                      ,F              ,M                 ,                                             ,                   ,                                   ,                                       ,                      ,                      ,                    ,                       ,                         ,                ,                                         ,                         ,                    ,                       ,                  ,                ,                                 ,                                     ,                                  ,                           ,                       ,                                 ,                       ,                       ,                    ,                          ,                          ,                      ,                                 ,                      ,                    ,                      ,                  ,                            ,                          ,                              ,                             ,                        ,                        ,                 ,                   ,                            ,                       ,                  ,                     ,                   ,                  ,                               ,                       ,                             ,                    ,                  ,                ,                         ,                                  ,                           ,F                   ,                             ,                             ,                       ,                       ,R                ,                 ,F                          ,                          ,                          ,R                      ,R                         ,                             ,F                     ,                      ,                                 ,                                           ,               ,                         ,                            ,                           ,                  ,                   ,                               ,                                      ,                         ,                   ,                     ,                     ,                     ,                         ,                            ,                               ,                            ,                    ,                                               ,                    ,                            ,                         ,from 149 SR. Chapter 6. Table 5. page 174.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,Holocene         ,N22               ,N23           ,149, 898,A,  5,H, 5,  92.00,     44.6500,Gervais  ,Planktonic Foraminifers                      ,F              ,M                 ,                                             ,                   ,                                   ,                                       ,                      ,                      ,                    ,                       ,                         ,                ,                                         ,                         ,                    ,                       ,                  ,                ,                                 ,                                     ,                                  ,                           ,                       ,                                 ,                       ,                       ,                    ,                          ,                          ,                      ,                                 ,                      ,                    ,                      ,                  ,                            ,                          ,                              ,                             ,                        ,                        ,                 ,                   ,                            ,                       ,                  ,                     ,                   ,                  ,                               ,                       ,                             ,                    ,                  ,                ,                         ,                                  ,                           ,R                   ,                             ,                             ,                       ,                       ,                 ,                 ,R                          ,                          ,                          ,                       ,                          ,                             ,                      ,                      ,                                 ,                                           ,               ,                         ,R                           ,                           ,                  ,                   ,                               ,                                      ,                         ,                   ,                     ,                     ,                     ,                         ,                            ,                               ,                            ,                    ,                                               ,                    ,                            ,                         ,from 149 SR. Chapter 6. Table 5. page 174.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,Holocene         ,N22               ,N23           ,149, 898,A,  6,H, 4,  89.00,     52.6000,Gervais  ,Planktonic Foraminifers                      ,A              ,M                 ,                                             ,                   ,                                   ,                                       ,                      ,                      ,                    ,                       ,                         ,                ,R                                        ,                         ,                    ,                       ,                  ,                ,                                 ,                                     ,R                                 ,                           ,                       ,                                 ,                       ,                       ,                    ,                          ,                          ,                      ,                                 ,                      ,                    ,                      ,                  ,                            ,                          ,                              ,                             ,                        ,                        ,                 ,                   ,                            ,                       ,                  ,F                    ,                   ,                  ,                               ,                       ,                             ,                    ,                  ,                ,                         ,R                                 ,                           ,C                   ,C                            ,                             ,R                      ,                       ,R                ,                 ,C                          ,                          ,                          ,F                      ,R                         ,F                            ,C                     ,R                     ,F                                ,F                                          ,               ,                         ,R                           ,R                          ,                  ,R                  ,F                              ,                                      ,R                        ,                   ,                     ,                     ,R                    ,                         ,                            ,                               ,F                           ,                    ,                                               ,                    ,                            ,                         ,from 149 SR. Chapter 6. Table 5. page 174.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,Holocene         ,N22               ,N23           ,149, 898,A,  7,H, 6, 106.00,     65.2600,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,                                             ,                   ,                                   ,                                       ,                      ,                      ,                    ,                       ,                         ,                ,                                         ,                         ,                    ,                       ,                  ,                ,                                 ,                                     ,                                  ,R                          ,                       ,                                 ,                       ,                       ,                    ,                          ,                          ,                      ,                                 ,                      ,                    ,                      ,                  ,                            ,                          ,                              ,                             ,                        ,                        ,                 ,                   ,                            ,                       ,                  ,F                    ,                   ,                  ,                               ,                       ,                             ,F                   ,                  ,                ,                         ,F                                 ,                           ,C                   ,C                            ,                             ,                       ,                       ,C                ,R                ,F                          ,R                         ,                          ,F                      ,C                         ,F                            ,C                     ,R                     ,R                                ,F                                          ,               ,                         ,F                           ,                           ,                  ,                   ,R                              ,R                                     ,F                        ,R                  ,                     ,                     ,R                    ,F                        ,                            ,                               ,F                           ,R                   ,                                               ,                    ,                            ,                         ,from 149 SR. Chapter 6. Table 5. page 174.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,Holocene         ,N22               ,N23           ,149, 898,A,  8,H, 1, 110.00,     67.3000,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,                                             ,                   ,                                   ,                                       ,                      ,                      ,                    ,                       ,                         ,                ,                                         ,                         ,                    ,                       ,                  ,                ,                                 ,                                     ,                                  ,                           ,                       ,                                 ,                       ,                       ,                    ,                          ,                          ,                      ,                                 ,                      ,                    ,                      ,                  ,                            ,                          ,                              ,                             ,                        ,                        ,                 ,                   ,                            ,                       ,                  ,C                    ,                   ,                  ,                               ,                       ,                             ,F                   ,                  ,                ,                         ,F                                 ,                           ,C                   ,F                            ,                             ,R                      ,                       ,C                ,                 ,F                          ,                          ,                          ,F                      ,F                         ,F                            ,C                     ,R                     ,F                                ,F                                          ,               ,                         ,F                           ,R                          ,                  ,                   ,F                              ,R                                     ,F                        ,                   ,                     ,?                    ,                     ,R                        ,                            ,                               ,R                           ,                    ,                                               ,                    ,                            ,                         ,from 149 SR. Chapter 6. Table 5. page 174.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,Holocene         ,N22               ,N23           ,149, 898,A,  8,H, 5, 107.00,     73.3300,Gervais  ,Planktonic Foraminifers                      ,F              ,P                 ,                                             ,                   ,                                   ,                                       ,                      ,                      ,                    ,                       ,                         ,                ,                                         ,                         ,                    ,                       ,                  ,                ,                                 ,                                     ,                                  ,                           ,                       ,                                 ,                       ,                       ,                    ,                          ,                          ,                      ,                                 ,                      ,                    ,                      ,                  ,                            ,                          ,                              ,                             ,                        ,                        ,                 ,                   ,                            ,                       ,                  ,                     ,                   ,                  ,                               ,                       ,                             ,                    ,                  ,                ,                         ,                                  ,                           ,F                   ,                             ,                             ,                       ,                       ,                 ,                 ,                           ,                          ,                          ,                       ,                          ,                             ,F                     ,                      ,                                 ,                                           ,               ,                         ,                            ,                           ,                  ,                   ,                               ,                                      ,                         ,                   ,                     ,                     ,                     ,                         ,                            ,                               ,                            ,                    ,                                               ,                    ,                            ,                         ,from 149 SR. Chapter 6. Table 5. page 174.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
